family,scale_a,scale_b,cka,cosine_rsm_pearson
xg2,130M,370M,0.7425463019538905,0.7163120803936378
xg2,130M,790M,0.43574706253096784,0.3989411880186479
xg2,130M,1.4B,0.34251030803115157,0.2957302277107003
xg2,130M,2.8B,0.5554137480414237,0.5222535451176982
xg2,370M,790M,0.5640593526403643,0.5412582440163308
xg2,370M,1.4B,0.5044833435816207,0.47448941157779684
xg2,370M,2.8B,0.6493439028634386,0.6342463696809015
xg2,790M,1.4B,0.6636777615923835,0.6408513202518832
xg2,790M,2.8B,0.6399627405682541,0.6201524221841686
xg2,1.4B,2.8B,0.5321850816907481,0.5040365146688671
xg4,130M,370M,0.542295089937388,0.5098566163186026
xg4,130M,790M,0.4518615266759832,0.43157399757363696
xg4,130M,1.4B,0.48130360209504075,0.4526401451091742
xg4,130M,2.8B,0.5442772105064825,0.5116185854005079
xg4,370M,790M,0.5585686113167371,0.5339894231680443
xg4,370M,1.4B,0.43683400621806734,0.40338070854183694
xg4,370M,2.8B,0.5909832224488579,0.5457619361308703
xg4,790M,1.4B,0.4443316663542622,0.4126230807686745
xg4,790M,2.8B,0.39271700005130383,0.33761976482584505
xg4,1.4B,2.8B,0.4556978076631216,0.3828076623693903
