family,scale_a,scale_b,N_pairs,point_cka,bootstrap_mean,bootstrap_sd,ci_low,ci_high
xg2,130M,370M,300,0.7425463019538905,0.7489253317186995,0.030451849431028806,0.6861676839623649,0.8045155438096722
xg2,130M,790M,300,0.43574706253096784,0.4498539413091428,0.040965371166514296,0.3731135866669218,0.5331836897206907
xg2,130M,1.4B,300,0.34251030803115157,0.3577900196886465,0.03729040415048976,0.2883999965337519,0.4342636588585343
xg2,130M,2.8B,300,0.5554137480414237,0.566151098735509,0.03439078192644226,0.4987018288429533,0.6332218639133287
xg2,370M,790M,300,0.5640593526403643,0.5755741219027969,0.04047845789161922,0.49652747045955986,0.6551390475900746
xg2,370M,1.4B,300,0.5044833435816207,0.5162898286808153,0.041545597534285106,0.4362251471177286,0.5973203057077212
xg2,370M,2.8B,300,0.6493439028634386,0.6583328921354034,0.03233837559236886,0.5925762763433713,0.7189961896847905
xg2,790M,1.4B,300,0.6636777615923835,0.6720755349133184,0.03963946695007032,0.5928728300106604,0.746388280153636
xg2,790M,2.8B,300,0.6399627405682541,0.6498632834355007,0.037293122380097105,0.5752408127954203,0.7217647707109889
xg2,1.4B,2.8B,300,0.5321850816907481,0.5434395917191766,0.037559672133840885,0.4695061789474557,0.6171639689036865
xg4,130M,370M,300,0.542295089937388,0.5530902629174648,0.04056913363558746,0.4718829117256126,0.6302616906479405
xg4,130M,790M,300,0.4518615266759832,0.4651650031702585,0.04081672741186247,0.38509889424504834,0.544525742002917
xg4,130M,1.4B,300,0.48130360209504075,0.49358930993487893,0.04432794082310776,0.40758406086408033,0.5815926652804676
xg4,130M,2.8B,300,0.5442772105064825,0.5555623484055208,0.033806092110782546,0.4889003092105664,0.6217247176572844
xg4,370M,790M,300,0.5585686113167371,0.5689198930972782,0.041012619969927375,0.4873610640037261,0.6492316161777981
xg4,370M,1.4B,300,0.43683400621806734,0.4505417277277116,0.035927752539473085,0.3814338816950619,0.5218943236220497
xg4,370M,2.8B,300,0.5909832224488579,0.601701996464944,0.03258425739478523,0.5373453353093888,0.6651488521931108
xg4,790M,1.4B,300,0.4443316663542622,0.4579261121356584,0.03393036497513739,0.39226303543386165,0.5261543826917593
xg4,790M,2.8B,300,0.39271700005130383,0.40802814479331645,0.03199510225728564,0.3477505724106407,0.47245240689065837
xg4,1.4B,2.8B,300,0.4556978076631216,0.46915329764253894,0.031295223469847186,0.41022496578737655,0.5327172910751506
