scale,objective,N_pairs,point_mean,bootstrap_mean,bootstrap_sd,ci_low,ci_high,ci_contains_zero,bootstrap_positive_fraction,bootstrap_negative_fraction,bootstrap_zero_fraction
130M,task,300,0.002240732073064253,0.002240817692937457,0.0007156792580257845,0.0008329985734834713,0.0036227012178765565,False,0.9994,0.0006,0.0
130M,lm,300,-0.05641684638644803,-0.056446767679986354,0.0063480529351043315,-0.06882598712118973,-0.044195008774200614,False,0.0,1.0,0.0
370M,task,300,0.0010179127037708347,0.0010180441863468861,0.0001855838188905903,0.0006649774361610281,0.0013934151744453822,False,1.0,0.0,0.0
370M,lm,300,-0.0019753191100731616,-0.0019485283144725517,0.002313410497574115,-0.006551474274649998,0.0025359292834950076,True,0.2043,0.7957,0.0
790M,task,300,0.004553422899712989,0.0045468560524742655,0.0005850762751850027,0.0034547763497614985,0.005736269935225796,False,1.0,0.0,0.0
790M,lm,300,-0.01596436428883387,-0.015946379614004552,0.0035128946906232607,-0.022894954365233113,-0.009158140244690478,False,0.0,1.0,0.0
1.4B,task,300,-0.0023908950117724477,-0.0023952740178348982,0.00029282671932033994,-0.002984584833534631,-0.0018318702745548127,False,0.0,1.0,0.0
1.4B,lm,300,0.007833182803823639,0.007841178013671138,0.0016218576681264402,0.004651858539541116,0.011012203391822614,False,1.0,0.0,0.0
2.8B,task,300,-0.0001483499070046979,-0.00014654984041887018,0.00017237104497498518,-0.0004860163949396766,0.00018914839266922622,True,0.1964,0.8036,0.0
2.8B,lm,300,0.016448402252375247,0.016420190942687787,0.002912460676661764,0.010704810914055278,0.02223104096952608,False,1.0,0.0,0.0
