stage123b_interface,stage122_source_stage121_family,stage122_variant,gold_label,correct_SUPPORT,correct_REFUTE,correct_NE,false_NE_SUPPORT,false_NE_REFUTE,false_entitlement,SUPPORT_to_REFUTE,REFUTE_to_SUPPORT,other,total,failure_total,failure_rate
context_prefix_core,explicit_before_temporal,core_only,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,core_plus_suffix,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,core_with_neutral_marker,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,original_control,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,prefix_only,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,prefix_plus_core,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,explicit_before_temporal,prefix_separator_core,NOT_ENTITLED,0,0,41,0,0,34,0,0,0,75,34,0.453333
context_prefix_core,length_matched_neutral_tokens,core_only,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,core_plus_suffix,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,core_with_neutral_marker,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,original_control,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,prefix_only,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,prefix_plus_core,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_neutral_tokens,prefix_separator_core,NOT_ENTITLED,0,0,63,0,0,12,0,0,0,75,12,0.16
context_prefix_core,length_matched_nonsense,core_only,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,core_plus_suffix,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,core_with_neutral_marker,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,original_control,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,prefix_only,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,prefix_plus_core,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,length_matched_nonsense,prefix_separator_core,NOT_ENTITLED,0,0,75,0,0,0,0,0,0,75,0,0.0
context_prefix_core,long_discourse_no_temporal,core_only,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,core_plus_suffix,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,core_with_neutral_marker,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
context_prefix_core,long_discourse_no_temporal,original_control,NOT_ENTITLED,0,0,71,0,0,4,0,0,0,75,4,0.053333
