interface,stage122_variant,n,accuracy,macro_f1,false_NE_total,false_entitlement_total,polarity_error_total,pred_counts,gold_counts,REFUTE_recall,REFUTE_precision,NOT_ENTITLED_recall,NOT_ENTITLED_precision,SUPPORT_recall,SUPPORT_precision
context_prefix_core,core_only,900,0.775556,0.57819,51,98,53,"{'NOT_ENTITLED': 628, 'REFUTE': 251, 'SUPPORT': 21}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.871795,0.406375,0.854815,0.91879,0.175926,0.904762
context_prefix_core,core_plus_suffix,900,0.775556,0.57819,51,98,53,"{'NOT_ENTITLED': 628, 'REFUTE': 251, 'SUPPORT': 21}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.871795,0.406375,0.854815,0.91879,0.175926,0.904762
context_prefix_core,core_with_neutral_marker,900,0.775556,0.57819,51,98,53,"{'NOT_ENTITLED': 628, 'REFUTE': 251, 'SUPPORT': 21}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.871795,0.406375,0.854815,0.91879,0.175926,0.904762
context_prefix_core,original_control,900,0.775556,0.57819,51,98,53,"{'NOT_ENTITLED': 628, 'REFUTE': 251, 'SUPPORT': 21}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.871795,0.406375,0.854815,0.91879,0.175926,0.904762
context_prefix_core,prefix_only,800,0.7475,0.508191,51,98,53,"{'NOT_ENTITLED': 553, 'REFUTE': 238, 'SUPPORT': 9}","{'NOT_ENTITLED': 600, 'REFUTE': 104, 'SUPPORT': 96}",0.855769,0.37395,0.836667,0.907776,0.072917,0.777778
context_prefix_core,prefix_plus_core,900,0.775556,0.57819,51,98,53,"{'NOT_ENTITLED': 628, 'REFUTE': 251, 'SUPPORT': 21}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.871795,0.406375,0.854815,0.91879,0.175926,0.904762
context_prefix_core,prefix_separator_core,900,0.775556,0.57819,51,98,53,"{'NOT_ENTITLED': 628, 'REFUTE': 251, 'SUPPORT': 21}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.871795,0.406375,0.854815,0.91879,0.175926,0.904762
core_first_context_suffix,core_only,900,0.896667,0.752714,54,12,27,"{'NOT_ENTITLED': 717, 'REFUTE': 147, 'SUPPORT': 36}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.940171,0.748299,0.982222,0.924686,0.314815,0.944444
core_first_context_suffix,core_plus_suffix,900,0.896667,0.752714,54,12,27,"{'NOT_ENTITLED': 717, 'REFUTE': 147, 'SUPPORT': 36}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.940171,0.748299,0.982222,0.924686,0.314815,0.944444
core_first_context_suffix,core_with_neutral_marker,900,0.896667,0.752714,54,12,27,"{'NOT_ENTITLED': 717, 'REFUTE': 147, 'SUPPORT': 36}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.940171,0.748299,0.982222,0.924686,0.314815,0.944444
core_first_context_suffix,original_control,900,0.896667,0.752714,54,12,27,"{'NOT_ENTITLED': 717, 'REFUTE': 147, 'SUPPORT': 36}","{'NOT_ENTITLED': 675, 'REFUTE': 117, 'SUPPORT': 108}",0.940171,0.748299,0.982222,0.924686,0.314815,0.944444
