axis,category,hard_count,hard_total,hard_rate,control_count,control_total,control_rate,risk_difference,risk_ratio,fisher_exact_p,benjamini_hochberg_q
independent_frame_judgment,ambiguous,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
independent_frame_judgment,compatible,14,39,0.358974358974359,14,39,0.358974358974359,0.0,1.0,0.9999999999999775,1.0
independent_frame_judgment,incompatible,25,39,0.6410256410256411,25,39,0.6410256410256411,0.0,1.0,0.9999999999999775,1.0
independent_frame_judgment,insufficient_context,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
gold_frame_assessment,cannot_determine,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
gold_frame_assessment,gold_consistent,39,39,1.0,39,39,1.0,0.0,1.0,1.0,1.0
gold_frame_assessment,gold_likely_incorrect,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
gold_frame_assessment,gold_questionable,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
intervention_validity,cannot_determine,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
intervention_validity,canonical_control,6,39,0.15384615384615385,6,39,0.15384615384615385,0.0,1.0,0.9999999999999719,1.0
intervention_validity,clean_single_axis_edit,13,39,0.3333333333333333,18,39,0.46153846153846156,-0.12820512820512825,0.7222222222222221,0.35484908701848966,1.0
intervention_validity,unnatural_or_broken_text,20,39,0.5128205128205128,15,39,0.38461538461538464,0.12820512820512814,1.333333333333333,0.36263552954172595,1.0
intervention_validity,valid_but_multi_axis_edit,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
intervention_validity,weak_or_ineffective_edit,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
primary_semantic_phenomenon,cannot_determine,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
primary_semantic_phenomenon,entity_identity,2,39,0.05128205128205128,2,39,0.05128205128205128,0.0,1.0,0.999999999999994,1.0
primary_semantic_phenomenon,event_identity,1,39,0.02564102564102564,1,39,0.02564102564102564,0.0,1.0,0.9999999999999742,1.0
primary_semantic_phenomenon,evidence_sufficiency_interaction,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
primary_semantic_phenomenon,lexical_or_surface_artifact,1,39,0.02564102564102564,1,39,0.02564102564102564,0.0,1.0,0.9999999999999742,1.0
primary_semantic_phenomenon,location_scope,13,39,0.3333333333333333,13,39,0.3333333333333333,0.0,1.0,0.9999999999999896,1.0
primary_semantic_phenomenon,other,6,39,0.15384615384615385,6,39,0.15384615384615385,0.0,1.0,0.9999999999999719,1.0
primary_semantic_phenomenon,polarity,7,39,0.1794871794871795,7,39,0.1794871794871795,0.0,1.0,1.0,1.0
primary_semantic_phenomenon,predicate_scope,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
primary_semantic_phenomenon,referent_resolution,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
primary_semantic_phenomenon,role_relation,6,39,0.15384615384615385,6,39,0.15384615384615385,0.0,1.0,0.9999999999999719,1.0
primary_semantic_phenomenon,temporal_scope,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
primary_semantic_phenomenon,title_name_identity,3,39,0.07692307692307693,3,39,0.07692307692307693,0.0,1.0,0.9999999999999638,1.0
primary_semantic_phenomenon,world_knowledge_dependency,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
diagnostic_failure_locus,cannot_determine,0,39,0.0,24,39,0.6153846153846154,-0.6153846153846154,0.0,6.359498054221437e-10,1.4308870621998233e-08
diagnostic_failure_locus,data_or_intervention_design,20,39,0.5128205128205128,15,39,0.38461538461538464,0.12820512820512814,1.333333333333333,0.36263552954172595,1.0
diagnostic_failure_locus,downstream_final_boundary,11,39,0.28205128205128205,0,39,0.0,0.28205128205128205,,0.0004309358233977735,0.004848028013224951
diagnostic_failure_locus,genuinely_hard_semantic_case,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
diagnostic_failure_locus,head_direction_or_readout,1,39,0.02564102564102564,0,39,0.0,0.02564102564102564,,0.9999999999999768,1.0
diagnostic_failure_locus,input_representation_insensitivity,7,39,0.1794871794871795,0,39,0.0,0.1794871794871795,,0.01164383561643794,0.10479452054794147
diagnostic_failure_locus,label_semantics_or_annotation,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
diagnostic_failure_locus,mixed,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
recommended_data_action,add_minimal_counterpart,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
recommended_data_action,cannot_determine,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
recommended_data_action,exclude_from_training,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
recommended_data_action,keep_unchanged,0,39,0.0,24,39,0.6153846153846154,-0.6153846153846154,0.0,6.359498054221437e-10,1.4308870621998233e-08
recommended_data_action,manual_adjudication,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
recommended_data_action,redesign_intervention,20,39,0.5128205128205128,15,39,0.38461538461538464,0.12820512820512814,1.333333333333333,0.36263552954172595,1.0
recommended_data_action,retain_as_diagnostic_only,19,39,0.48717948717948717,0,39,0.0,0.48717948717948717,,2.053541152327281e-07,3.0803117284909214e-06
recommended_data_action,revise_frame_label,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
recommended_data_action,rewrite_claim_or_evidence,0,39,0.0,0,39,0.0,0.0,,1.0,1.0
