item_role,axis,category,count,denominator,rate
control,recommended_data_action,add_minimal_counterpart,0,39,0.0
control,recommended_data_action,cannot_determine,0,39,0.0
control,recommended_data_action,exclude_from_training,0,39,0.0
control,recommended_data_action,keep_unchanged,24,39,0.6153846153846154
control,recommended_data_action,manual_adjudication,0,39,0.0
control,recommended_data_action,redesign_intervention,15,39,0.38461538461538464
control,recommended_data_action,retain_as_diagnostic_only,0,39,0.0
control,recommended_data_action,revise_frame_label,0,39,0.0
control,recommended_data_action,rewrite_claim_or_evidence,0,39,0.0
hard,recommended_data_action,add_minimal_counterpart,0,39,0.0
hard,recommended_data_action,cannot_determine,0,39,0.0
hard,recommended_data_action,exclude_from_training,0,39,0.0
hard,recommended_data_action,keep_unchanged,0,39,0.0
hard,recommended_data_action,manual_adjudication,0,39,0.0
hard,recommended_data_action,redesign_intervention,20,39,0.5128205128205128
hard,recommended_data_action,retain_as_diagnostic_only,19,39,0.48717948717948717
hard,recommended_data_action,revise_frame_label,0,39,0.0
hard,recommended_data_action,rewrite_claim_or_evidence,0,39,0.0
