view,stage176_cohort,category,count,denominator,rate,other_cohort_count,other_cohort_denominator,other_cohort_rate,risk_difference,fisher_exact_p,interpretation
roadmap,beneficial_correction,DATA_INTERVENTION_REPAIR_CANDIDATE,13,25,0.52,7,14,0.5,0.020000000000000018,0.9999999999999997,descriptive_only_no_causal_claim
roadmap,harmful_regression,DATA_INTERVENTION_REPAIR_CANDIDATE,7,14,0.5,13,25,0.52,-0.020000000000000018,0.9999999999999997,descriptive_only_no_causal_claim
roadmap,beneficial_correction,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,12,25,0.48,7,14,0.5,-0.020000000000000018,1.0,descriptive_only_no_causal_claim
roadmap,harmful_regression,CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,7,14,0.5,12,25,0.48,0.020000000000000018,1.0,descriptive_only_no_causal_claim
roadmap,beneficial_correction,GENUINELY_HARD_SEMANTIC_CANDIDATE,0,25,0.0,0,14,0.0,0.0,1.0,descriptive_only_no_causal_claim
roadmap,harmful_regression,GENUINELY_HARD_SEMANTIC_CANDIDATE,0,14,0.0,0,25,0.0,0.0,1.0,descriptive_only_no_causal_claim
roadmap,beneficial_correction,HOLD_OR_MIXED,0,25,0.0,0,14,0.0,0.0,1.0,descriptive_only_no_causal_claim
roadmap,harmful_regression,HOLD_OR_MIXED,0,14,0.0,0,25,0.0,0.0,1.0,descriptive_only_no_causal_claim
semantic_phenomenon,beneficial_correction,entity_identity,2,25,0.08,0,14,0.0,0.08,0.5276653171390011,descriptive_only_no_causal_claim
semantic_phenomenon,harmful_regression,entity_identity,0,14,0.0,2,25,0.08,-0.08,0.5276653171390011,descriptive_only_no_causal_claim
semantic_phenomenon,beneficial_correction,event_identity,1,25,0.04,0,14,0.0,0.04,0.9999999999999925,descriptive_only_no_causal_claim
semantic_phenomenon,harmful_regression,event_identity,0,14,0.0,1,25,0.04,-0.04,0.9999999999999925,descriptive_only_no_causal_claim
semantic_phenomenon,beneficial_correction,lexical_or_surface_artifact,0,25,0.0,1,14,0.07142857142857142,-0.07142857142857142,0.35897435897435753,descriptive_only_no_causal_claim
semantic_phenomenon,harmful_regression,lexical_or_surface_artifact,1,14,0.07142857142857142,0,25,0.0,0.07142857142857142,0.35897435897435753,descriptive_only_no_causal_claim
semantic_phenomenon,beneficial_correction,location_scope,13,25,0.52,0,14,0.0,0.52,0.0009374156835904894,descriptive_only_no_causal_claim
semantic_phenomenon,harmful_regression,location_scope,0,14,0.0,13,25,0.52,-0.52,0.0009374156835904894,descriptive_only_no_causal_claim
semantic_phenomenon,beneficial_correction,other,0,25,0.0,6,14,0.42857142857142855,-0.42857142857142855,0.00092042506903188,descriptive_only_no_causal_claim
semantic_phenomenon,harmful_regression,other,6,14,0.42857142857142855,0,25,0.0,0.42857142857142855,0.00092042506903188,descriptive_only_no_causal_claim
semantic_phenomenon,beneficial_correction,polarity,0,25,0.0,7,14,0.5,-0.5,0.00022313335006833433,descriptive_only_no_causal_claim
semantic_phenomenon,harmful_regression,polarity,7,14,0.5,0,25,0.0,0.5,0.00022313335006833433,descriptive_only_no_causal_claim
semantic_phenomenon,beneficial_correction,role_relation,6,25,0.24,0,14,0.0,0.24,0.07054232131631494,descriptive_only_no_causal_claim
semantic_phenomenon,harmful_regression,role_relation,0,14,0.0,6,25,0.24,-0.24,0.07054232131631494,descriptive_only_no_causal_claim
semantic_phenomenon,beneficial_correction,title_name_identity,3,25,0.12,0,14,0.0,0.12,0.5404311193784874,descriptive_only_no_causal_claim
semantic_phenomenon,harmful_regression,title_name_identity,0,14,0.0,3,25,0.12,-0.12,0.5404311193784874,descriptive_only_no_causal_claim
intervention_family,beneficial_correction,entity_swap,2,25,0.08,0,14,0.0,0.08,0.5276653171390011,descriptive_only_no_causal_claim
intervention_family,harmful_regression,entity_swap,0,14,0.0,2,25,0.08,-0.08,0.5276653171390011,descriptive_only_no_causal_claim
intervention_family,beneficial_correction,event_swap,1,25,0.04,0,14,0.0,0.04,0.9999999999999925,descriptive_only_no_causal_claim
intervention_family,harmful_regression,event_swap,0,14,0.0,1,25,0.04,-0.04,0.9999999999999925,descriptive_only_no_causal_claim
intervention_family,beneficial_correction,location_swap,13,25,0.52,0,14,0.0,0.52,0.0009374156835904894,descriptive_only_no_causal_claim
intervention_family,harmful_regression,location_swap,0,14,0.0,13,25,0.52,-0.52,0.0009374156835904894,descriptive_only_no_causal_claim
intervention_family,beneficial_correction,none,0,25,0.0,6,14,0.42857142857142855,-0.42857142857142855,0.00092042506903188,descriptive_only_no_causal_claim
intervention_family,harmful_regression,none,6,14,0.42857142857142855,0,25,0.0,0.42857142857142855,0.00092042506903188,descriptive_only_no_causal_claim
intervention_family,beneficial_correction,paraphrase,0,25,0.0,1,14,0.07142857142857142,-0.07142857142857142,0.35897435897435753,descriptive_only_no_causal_claim
intervention_family,harmful_regression,paraphrase,1,14,0.07142857142857142,0,25,0.0,0.07142857142857142,0.35897435897435753,descriptive_only_no_causal_claim
intervention_family,beneficial_correction,polarity_flip,0,25,0.0,7,14,0.5,-0.5,0.00022313335006833433,descriptive_only_no_causal_claim
intervention_family,harmful_regression,polarity_flip,7,14,0.5,0,25,0.0,0.5,0.00022313335006833433,descriptive_only_no_causal_claim
intervention_family,beneficial_correction,role_swap,6,25,0.24,0,14,0.0,0.24,0.07054232131631494,descriptive_only_no_causal_claim
intervention_family,harmful_regression,role_swap,0,14,0.0,6,25,0.24,-0.24,0.07054232131631494,descriptive_only_no_causal_claim
intervention_family,beneficial_correction,title_name_swap,3,25,0.12,0,14,0.0,0.12,0.5404311193784874,descriptive_only_no_causal_claim
intervention_family,harmful_regression,title_name_swap,0,14,0.0,3,25,0.12,-0.12,0.5404311193784874,descriptive_only_no_causal_claim
