primary_stratum,item_role,count,denominator,rate
DATA_INTERVENTION_REPAIR_CANDIDATE,hard,20,39,0.5128205128205128
CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,hard,19,39,0.48717948717948717
GENUINELY_HARD_SEMANTIC_CANDIDATE,hard,0,39,0.0
ADJUDICATION_HOLD,hard,0,39,0.0
CLEAN_CONTROL_REFERENCE,hard,0,39,0.0
CONTROL_ANOMALY,hard,0,39,0.0
MIXED_EVIDENCE,hard,0,39,0.0
DATA_INTERVENTION_REPAIR_CANDIDATE,control,0,39,0.0
CLEAN_LABEL_MODEL_FAILURE_CANDIDATE,control,0,39,0.0
GENUINELY_HARD_SEMANTIC_CANDIDATE,control,0,39,0.0
ADJUDICATION_HOLD,control,0,39,0.0
CLEAN_CONTROL_REFERENCE,control,24,39,0.6153846153846154
CONTROL_ANOMALY,control,15,39,0.38461538461538464
MIXED_EVIDENCE,control,0,39,0.0
