row_id,subset,intervention_type,movement_status,representation_movement_from_none
generated_fact_055__none,candidate,none,not_applicable,0.0
generated_fact_086__none,candidate,none,not_applicable,0.0
generated_fact_090__none,candidate,none,not_applicable,0.0
generated_fact_146__none,candidate,none,not_applicable,0.0
generated_fact_195__polarity_flip,candidate,polarity_flip,available,11.31016731262207
generated_fact_230__polarity_flip,candidate,polarity_flip,available,10.244771003723145
generated_fact_240__polarity_flip,candidate,polarity_flip,available,10.406290054321289
generated_fact_262__polarity_flip,candidate,polarity_flip,available,9.299331665039062
generated_fact_274__polarity_flip,candidate,polarity_flip,available,10.82304573059082
generated_fact_287__polarity_flip,candidate,polarity_flip,available,10.203622817993164
language_program__paraphrase,candidate,paraphrase,available,2.0871856212615967
museum_purchase__none,candidate,none,not_applicable,0.0
reef_protection__location_swap,candidate,location_swap,available,1.572277307510376
satellite_launch__none,candidate,none,not_applicable,0.0
generated_fact_115__none,matched_control,none,not_applicable,0.0
generated_fact_083__none,matched_control,none,not_applicable,0.0
generated_fact_089__none,matched_control,none,not_applicable,0.0
generated_fact_227__polarity_flip,matched_control,polarity_flip,available,8.484770774841309
reef_protection__none,matched_control,none,not_applicable,0.0
generated_fact_297__polarity_flip,matched_control,polarity_flip,available,9.44472885131836
generated_fact_055__location_swap,matched_control,location_swap,available,1.608200192451477
generated_fact_161__polarity_flip,matched_control,polarity_flip,available,10.010828971862793
generated_fact_257__polarity_flip,matched_control,polarity_flip,available,8.863947868347168
generated_fact_075__paraphrase,matched_control,paraphrase,available,3.924337387084961
generated_fact_166__polarity_flip,matched_control,polarity_flip,available,9.011816024780273
generated_fact_285__polarity_flip,matched_control,polarity_flip,available,8.473106384277344
generated_fact_118__none,matched_control,none,not_applicable,0.0
generated_fact_045__none,matched_control,none,not_applicable,0.0
clinic_expansion__location_swap,clean_hard_correct,location_swap,available,0.9161607623100281
generated_fact_078__location_swap,clean_hard_correct,location_swap,available,1.7556242942810059
generated_fact_080__location_swap,clean_hard_correct,location_swap,available,1.141137957572937
generated_fact_087__role_swap,clean_hard_correct,role_swap,available,2.104001760482788
generated_fact_090__location_swap,clean_hard_correct,location_swap,available,1.1824461221694946
orion_approval__location_swap,clean_hard_correct,location_swap,available,1.2342499494552612
satellite_launch__event_swap,clean_hard_correct,event_swap,available,1.47908616065979
