row_id,pair_id,split,intervention_type,frame_compatible_label,grammar_status,intervention_contract_status,polarity_contamination_status,schema_status,canonical_status,time_swap_status,dataset_source_status,integrity_status,eligible_for_positive_margin,reason_codes,canonical_row_id,family_contract_id,rule_version,source_dataset_path,source_dataset_sha256,generator_source_path,generator_source_sha256,stage182a_report_sha256,stage184a_report_sha256,integrity_builder_sha256,created_at,audit_changed_axes,audit_preserved_axes,audit_expected_axes,audit_pair_failure_scope
orion_approval__polarity_flip,orion_approval,dev,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DEV_SPLIT_EXCLUDED|DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,orion_approval__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
bridge_opening__polarity_flip,bridge_opening,train,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,bridge_opening__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
museum_purchase__polarity_flip,museum_purchase,dev,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DEV_SPLIT_EXCLUDED|DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,museum_purchase__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
satellite_launch__polarity_flip,satellite_launch,dev,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DEV_SPLIT_EXCLUDED|DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,satellite_launch__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
garden_award__polarity_flip,garden_award,train,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,garden_award__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
archive_release__polarity_flip,archive_release,train,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,archive_release__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
clinic_expansion__polarity_flip,clinic_expansion,dev,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DEV_SPLIT_EXCLUDED|DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,clinic_expansion__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
treaty_signature__polarity_flip,treaty_signature,train,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,treaty_signature__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
festival_selection__polarity_flip,festival_selection,train,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,festival_selection__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
railway_restoration__polarity_flip,railway_restoration,train,polarity_flip,1,FAIL,PASS,PASS,PASS,PASS,PASS,PASS,INELIGIBLE,false,DID_NOT_INFLECTED_PREDICATE|GRAMMAR_TEMPLATE_FAIL,railway_restoration__none,stage185a_v1:polarity_flip,stage185a_v1,data/controlled_v5_v3_without_time_swap.jsonl,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,/kaggle/working/ContraMamba/scripts/build_controlled_v5.py,c41e6a52401bd8c83970286b176950fc751509bee6d797d5da9aea4262c72802,8da1e6c7c4174f283a2c4a4de9f857e7cbb71dd84ddbd64af66b6f3d0e1880ed,f9eed1c6bd0045968ab2c9ed5df9995e10152f28c7619f235bd3c9e624dee5a1,11e6ba89b8131c76eac4504b4273867eaa99a131abe23d3238eb65ecda207bbc,2026-07-15T14:19:14.803809Z,polarity,location|name|object|predicate|role|time|title,polarity,none
