row_id,stage182_integrity_status,stage182_contamination_codes,stage185_integrity_status,stage185_contamination_codes,stage185_eligible_for_positive_margin,passed
clinic_expansion__location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_039__location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_039__role_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_039__title_name_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_045__none,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_055__location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_055__none,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_073__location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_075__location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_075__paraphrase,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_078__location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_078__polarity_flip,CONTAMINATED_CONSTRUCTION,"[""DID_NOT_INFLECTED_PREDICATE""]",INELIGIBLE,"[""DID_NOT_INFLECTED_PREDICATE""]",false,true
generated_fact_080__location_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_080__title_name_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_083__none,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
generated_fact_083__role_swap,CLEAN_SINGLE_AXIS_CONSTRUCTION,[],ELIGIBLE,[],false,true
