check,observed,expected,passed,evidence
stage185_decision,STAGE185A_INTEGRITY_SIDECAR_BUILT_AND_POSITIVE_ELIGIBILITY_MATERIALIZED,STAGE185A_INTEGRITY_SIDECAR_BUILT_AND_POSITIVE_ELIGIBILITY_MATERIALIZED,true,/kaggle/working/ContraMamba/reports/stage185a_controlled_train_integrity_sidecar_20260715_141914/stage185a_controlled_train_integrity_sidecar_report.json
stage185_authorized_next,STAGE186_COMPATIBLE_POSITIVE_MARGIN_FIXED_SPEC_AUDIT,STAGE186_COMPATIBLE_POSITIVE_MARGIN_FIXED_SPEC_AUDIT,true,stage186_gate
dataset_sha_report,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,true,Stage185 report
dataset_sha_provenance,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,f5525866860c2c153c63296e28cac27321f4e140c56c37400844cb0baefbb640,true,Stage185 provenance
semantic_sha_report,5bc03caa2a29f9b9176ab4eb0201db57ebad516352797546db1a18e6ec3373fc,5bc03caa2a29f9b9176ab4eb0201db57ebad516352797546db1a18e6ec3373fc,true,Stage185 report
semantic_sha_provenance,5bc03caa2a29f9b9176ab4eb0201db57ebad516352797546db1a18e6ec3373fc,5bc03caa2a29f9b9176ab4eb0201db57ebad516352797546db1a18e6ec3373fc,true,Stage185 provenance
stage183_decision,STAGE183A_CONTROLLED_TRAIN_INTEGRITY_MASK_REQUIRED_FIRST,STAGE183A_CONTROLLED_TRAIN_INTEGRITY_MASK_REQUIRED_FIRST,true,Stage183 report
stage183_candidate,B_compatible_positive_absolute_margin_hinge,B_compatible_positive_absolute_margin_hinge,true,Stage183 selected_design
stage183_margin_unset,,,true,Stage183 selected_design
stage183_implementation_unauthorized,false,false,true,Stage183 selected_design
stage182b_decision,STAGE182B_COMPATIBLE_POSITIVE_MARGIN_COLLAPSE_SIGNAL,STAGE182B_COMPATIBLE_POSITIVE_MARGIN_COLLAPSE_SIGNAL,true,Stage182-B report
sidecar_rows,3600,3600,true,sidecar JSONL
sidecar_csv_rows,3600,3600,true,sidecar CSV
jsonl_csv_row_id_set,true,true,true,"exact row-ID join over 3,600 unique IDs"
recomputed_semantic_sha,5bc03caa2a29f9b9176ab4eb0201db57ebad516352797546db1a18e6ec3373fc,5bc03caa2a29f9b9176ab4eb0201db57ebad516352797546db1a18e6ec3373fc,true,canonical JSONL rows excluding created_at
