arm,dev_position,stable_example_identity,pair_id,intervention_type,persistent_seed_count,stable_correct_seed_count,recurrent_persistent_within_arm,universal_persistent_within_arm,mechanism_bucket_distribution,frame_prob_mean,frame_prob_min,frame_prob_max,predicate_coverage_prob_mean,predicate_coverage_prob_min,predicate_coverage_prob_max,sufficiency_prob_mean,sufficiency_prob_min,sufficiency_prob_max,entitlement_prob_mean,entitlement_prob_min,entitlement_prob_max,polarity_margin_mean,polarity_margin_min,polarity_margin_max,frame_logit_mean,frame_logit_min,frame_logit_max,positive_energy_mean,positive_energy_min,positive_energy_max,negative_energy_mean,negative_energy_min,negative_energy_max
baseline,0,orion_approval__none,orion_approval,none,1,0,False,False,"{""MULTI_LOCAL_CHANNEL_FAILURE"":1}",0.40289166666666665,0.324381,0.476607,0.386287,0.232292,0.495654,0.9926473333333333,0.99206,0.993042,0.161228,0.074812,0.234588,3.447097,3.0381,3.787507,-0.4002943333333333,-0.733708,-0.093641,3.7107259999999997,3.376662,4.095904,0.26362899999999995,0.143928,0.338562
baseline,1,orion_approval__paraphrase,orion_approval,paraphrase,0,0,False,False,{},0.4720596666666667,0.421793,0.565165,0.6306906666666666,0.429853,0.817604,0.9897139999999999,0.988555,0.991961,0.302968,0.182403,0.456793,2.2068646666666667,0.006052,3.508822,-0.11276599999999999,-0.315418,0.262152,3.1555483333333334,2.091134,4.109887,0.948684,0.159904,2.085083
baseline,12,museum_purchase__none,museum_purchase,none,0,1,False,False,{},0.386454,0.34901,0.41201,0.5844576666666667,0.549299,0.605418,0.994148,0.992935,0.995977,0.22405566666666665,0.209804,0.23751,3.584255666666666,3.097628,3.863914,-0.46381200000000006,-0.623394,-0.355663,3.856252,3.343999,4.243094,0.27199666666666666,0.190438,0.379181
baseline,13,museum_purchase__paraphrase,museum_purchase,paraphrase,0,1,False,False,{},0.45817599999999997,0.401358,0.507364,0.5889923333333333,0.534933,0.62934,0.9934403333333334,0.991863,0.995678,0.26746,0.247376,0.304469,3.571251666666667,3.072797,3.865025,-0.1691136666666667,-0.399812,0.029459,3.8143643333333337,3.291869,4.22822,0.243113,0.147072,0.363195
baseline,24,satellite_launch__none,satellite_launch,none,3,0,True,True,"{""MULTI_LOCAL_CHANNEL_FAILURE"":3}",0.23847233333333331,0.221824,0.26459,0.30033899999999997,0.289373,0.307588,0.9936316666666666,0.992766,0.995319,0.07102766666666667,0.066959,0.076015,3.5083846666666667,3.092926,3.797294,-1.1637543333333333,-1.255069,-1.022245,3.704461333333333,3.327955,4.045094,0.19607699999999997,0.105401,0.247801
baseline,25,satellite_launch__paraphrase,satellite_launch,paraphrase,3,0,True,True,"{""MULTI_LOCAL_CHANNEL_FAILURE"":3}",0.235815,0.200137,0.261279,0.32335766666666665,0.313446,0.336609,0.9924493333333334,0.990251,0.994858,0.075803,0.063423,0.087266,3.4708516666666664,2.97767,3.821242,-1.181556,-1.385435,-1.03933,3.647029,3.183878,4.058324,0.176177,0.085241,0.237082
baseline,36,clinic_expansion__none,clinic_expansion,none,0,1,False,False,{},0.5011916666666667,0.392442,0.692873,0.5265983333333333,0.398022,0.693831,0.9941373333333333,0.993361,0.995268,0.27804433333333334,0.165372,0.478462,3.3748726666666666,3.113646,3.768015,0.01553566666666667,-0.437058,0.813585,3.785561,3.41419,4.030912,0.4106883333333333,0.262897,0.668624
baseline,37,clinic_expansion__paraphrase,clinic_expansion,paraphrase,0,2,False,False,{},0.652684,0.459679,0.863704,0.6386073333333333,0.485226,0.81158,0.993646,0.992456,0.994595,0.42854,0.282809,0.697176,2.5179156666666667,1.035838,3.653839,0.745689,-0.161633,1.846401,3.411607,2.868004,4.025828,0.8936913333333333,0.371989,1.832166
baseline,48,reef_protection__none,reef_protection,none,0,3,False,False,{},0.6230366666666667,0.585626,0.692534,0.6249536666666667,0.553678,0.695656,0.994904,0.994346,0.995495,0.38729966666666665,0.325346,0.431248,3.408974666666667,2.951934,3.781729,0.5085996666666667,0.345913,0.811993,3.8866906666666665,3.510595,4.20846,0.47771600000000003,0.426731,0.558661
baseline,49,reef_protection__paraphrase,reef_protection,paraphrase,0,3,False,False,{},0.652222,0.628324,0.692536,0.6868059999999999,0.604401,0.764596,0.9949023333333332,0.994203,0.99576,0.44598033333333326,0.377559,0.483579,3.2675063333333334,2.712491,3.782679,0.6314143333333333,0.525035,0.812001,3.881790666666667,3.481699,4.261064,0.6142843333333333,0.478385,0.769208
baseline,60,language_program__none,language_program,none,1,1,False,False,"{""FRAME_ONLY_FAILURE"":1}",0.3933853333333333,0.305461,0.510827,0.5813803333333333,0.553387,0.610161,0.9942346666666667,0.993538,0.995024,0.22790133333333337,0.167946,0.294845,3.5819126666666663,3.120888,3.869178,-0.44557633333333335,-0.821428,0.043314,3.8736683333333333,3.422907,4.316324,0.2917556666666667,0.126102,0.447146
baseline,61,language_program__paraphrase,language_program,paraphrase,0,1,False,False,{},0.4351,0.376981,0.542804,0.604803,0.578236,0.620306,0.9943603333333334,0.993503,0.995248,0.26232300000000003,0.216568,0.3324,3.572251,3.129563,3.837189,-0.26565,-0.502384,0.171638,3.869472666666667,3.419961,4.3166,0.29722166666666666,0.121856,0.479411
baseline,72,generated_fact_039__none,generated_fact_039,none,3,0,True,True,"{""FRAME_ONLY_FAILURE"":1,""MULTI_LOCAL_CHANNEL_FAILURE"":2}",0.23140266666666667,0.22645,0.234019,0.48675633333333335,0.46028,0.524217,0.9938806666666666,0.992289,0.995615,0.11200566666666667,0.103773,0.121763,3.5527156666666664,3.108778,3.82108,-1.2005123333333332,-1.228468,-1.185754,3.7480456666666666,3.35182,4.057341,0.19533,0.106687,0.243042
baseline,73,generated_fact_039__paraphrase,generated_fact_039,paraphrase,0,2,False,False,{},0.453282,0.442215,0.464597,0.630726,0.568007,0.709436,0.9945763333333334,0.993457,0.995873,0.2845206666666667,0.249538,0.319599,3.565394,3.155126,3.834691,-0.1874813333333333,-0.232176,-0.141849,3.8512643333333334,3.511788,4.192186,0.285871,0.143455,0.357495
baseline,84,generated_fact_045__none,generated_fact_045,none,0,3,False,False,{},0.550407,0.51044,0.576555,0.6553826666666667,0.618368,0.679069,0.9949226666666666,0.994373,0.995927,0.35849633333333336,0.339946,0.380992,3.581379333333333,3.152968,3.841755,0.20291466666666666,0.041765,0.308649,3.945881,3.560349,4.249806,0.36450166666666667,0.278073,0.408051
baseline,85,generated_fact_045__paraphrase,generated_fact_045,paraphrase,0,3,False,False,{},0.6777963333333333,0.651954,0.698025,0.736293,0.682213,0.774236,0.9949680000000001,0.994231,0.996032,0.49655166666666667,0.463733,0.537319,3.2460723333333337,2.736732,3.566542,0.7450133333333332,0.62764,0.837912,3.901312666666667,3.557356,4.255778,0.6552403333333333,0.455861,0.820624
baseline,96,generated_fact_055__none,generated_fact_055,none,0,1,False,False,{},0.37682866666666665,0.356957,0.402622,0.6257983333333333,0.601864,0.650883,0.994602,0.993613,0.995732,0.23429233333333332,0.222021,0.240981,3.5532636666666666,3.137937,3.848782,-0.503826,-0.588597,-0.394554,3.8201813333333337,3.432157,4.234075,0.26691766666666666,0.12124,0.385293
baseline,97,generated_fact_055__paraphrase,generated_fact_055,paraphrase,0,3,False,False,{},0.7447753333333332,0.658617,0.810371,0.759454,0.657374,0.8162,0.9954369999999999,0.994709,0.996287,0.567349,0.430929,0.649755,3.1187199999999997,2.697748,3.494164,1.0972423333333332,0.657135,1.452422,3.845115,3.559638,4.241087,0.726395,0.570372,0.86189
