scope,run,arm,mechanism_bucket,count,share
arm,,baseline,MULTI_LOCAL_CHANNEL_FAILURE,45,0.6428571428571429
arm,,baseline,FRAME_ONLY_FAILURE,25,0.35714285714285715
arm,,baseline,PREDICATE_ONLY_FAILURE,0,0.0
arm,,baseline,SUFFICIENCY_ONLY_FAILURE,0,0.0
arm,,baseline,ENTITLEMENT_AGGREGATION_FAILURE,0,0.0
arm,,baseline,FINAL_COMPOSITION_BOUNDARY_FAILURE,0,0.0
arm,,intervention,MULTI_LOCAL_CHANNEL_FAILURE,27,0.47368421052631576
arm,,intervention,FRAME_ONLY_FAILURE,30,0.5263157894736842
arm,,intervention,PREDICATE_ONLY_FAILURE,0,0.0
arm,,intervention,SUFFICIENCY_ONLY_FAILURE,0,0.0
arm,,intervention,ENTITLEMENT_AGGREGATION_FAILURE,0,0.0
arm,,intervention,FINAL_COMPOSITION_BOUNDARY_FAILURE,0,0.0
pooled,,,MULTI_LOCAL_CHANNEL_FAILURE,72,0.5669291338582677
pooled,,,FRAME_ONLY_FAILURE,55,0.4330708661417323
pooled,,,PREDICATE_ONLY_FAILURE,0,0.0
pooled,,,SUFFICIENCY_ONLY_FAILURE,0,0.0
pooled,,,ENTITLEMENT_AGGREGATION_FAILURE,0,0.0
pooled,,,FINAL_COMPOSITION_BOUNDARY_FAILURE,0,0.0
run,seed180_baseline,baseline,MULTI_LOCAL_CHANNEL_FAILURE,15,0.6818181818181818
run,seed180_baseline,baseline,FRAME_ONLY_FAILURE,7,0.3181818181818182
run,seed180_baseline,baseline,PREDICATE_ONLY_FAILURE,0,0.0
run,seed180_baseline,baseline,SUFFICIENCY_ONLY_FAILURE,0,0.0
run,seed180_baseline,baseline,ENTITLEMENT_AGGREGATION_FAILURE,0,0.0
run,seed180_baseline,baseline,FINAL_COMPOSITION_BOUNDARY_FAILURE,0,0.0
run,seed180_intervention,intervention,MULTI_LOCAL_CHANNEL_FAILURE,10,0.7142857142857143
run,seed180_intervention,intervention,FRAME_ONLY_FAILURE,4,0.2857142857142857
run,seed180_intervention,intervention,PREDICATE_ONLY_FAILURE,0,0.0
run,seed180_intervention,intervention,SUFFICIENCY_ONLY_FAILURE,0,0.0
run,seed180_intervention,intervention,ENTITLEMENT_AGGREGATION_FAILURE,0,0.0
run,seed180_intervention,intervention,FINAL_COMPOSITION_BOUNDARY_FAILURE,0,0.0
run,seed181_baseline,baseline,MULTI_LOCAL_CHANNEL_FAILURE,12,0.4
run,seed181_baseline,baseline,FRAME_ONLY_FAILURE,18,0.6
run,seed181_baseline,baseline,PREDICATE_ONLY_FAILURE,0,0.0
run,seed181_baseline,baseline,SUFFICIENCY_ONLY_FAILURE,0,0.0
run,seed181_baseline,baseline,ENTITLEMENT_AGGREGATION_FAILURE,0,0.0
run,seed181_baseline,baseline,FINAL_COMPOSITION_BOUNDARY_FAILURE,0,0.0
run,seed181_intervention,intervention,MULTI_LOCAL_CHANNEL_FAILURE,7,0.35
run,seed181_intervention,intervention,FRAME_ONLY_FAILURE,13,0.65
run,seed181_intervention,intervention,PREDICATE_ONLY_FAILURE,0,0.0
run,seed181_intervention,intervention,SUFFICIENCY_ONLY_FAILURE,0,0.0
run,seed181_intervention,intervention,ENTITLEMENT_AGGREGATION_FAILURE,0,0.0
run,seed181_intervention,intervention,FINAL_COMPOSITION_BOUNDARY_FAILURE,0,0.0
run,seed182_baseline,baseline,MULTI_LOCAL_CHANNEL_FAILURE,18,1.0
run,seed182_baseline,baseline,FRAME_ONLY_FAILURE,0,0.0
run,seed182_baseline,baseline,PREDICATE_ONLY_FAILURE,0,0.0
run,seed182_baseline,baseline,SUFFICIENCY_ONLY_FAILURE,0,0.0
run,seed182_baseline,baseline,ENTITLEMENT_AGGREGATION_FAILURE,0,0.0
run,seed182_baseline,baseline,FINAL_COMPOSITION_BOUNDARY_FAILURE,0,0.0
run,seed182_intervention,intervention,MULTI_LOCAL_CHANNEL_FAILURE,10,0.43478260869565216
run,seed182_intervention,intervention,FRAME_ONLY_FAILURE,13,0.5652173913043478
run,seed182_intervention,intervention,PREDICATE_ONLY_FAILURE,0,0.0
run,seed182_intervention,intervention,SUFFICIENCY_ONLY_FAILURE,0,0.0
run,seed182_intervention,intervention,ENTITLEMENT_AGGREGATION_FAILURE,0,0.0
run,seed182_intervention,intervention,FINAL_COMPOSITION_BOUNDARY_FAILURE,0,0.0
