run,seed,arm,frame_downstream_gradient_mode,epoch,selected_best_epoch,is_selected_best_epoch,accuracy,macro_f1,support_recall,false_not_entitled_count,false_entitlement_count,polarity_error_count,mean_frame_probability_gold_support,mean_frame_probability_persistent_baseline_positions,mean_frame_probability_stage196a_common_recurrent_positions,persistent_tail_membership_precursor_count,persistent_tail_membership_precursor_definition
seed183_joint,183,baseline,joint,1,20,false,0.7152777777777778,0.3186128193140816,0.056179775280898875,161,32,12,0.3682692826594437,0.36942976348398715,0.3621791112112318,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,2,20,false,0.7541666666666667,0.30767277712892904,0.0,177,0,0,0.25326702292836734,0.2530487698851748,0.24088364391277595,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,3,20,false,0.75,0.2857142857142857,0.0,180,0,0,0.4218228066722244,0.417500436880902,0.38834300930927945,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,4,20,false,0.8027777777777778,0.4897120897120897,0.0,141,0,1,0.6265456044135931,0.6199031316827309,0.5779394331706654,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,5,20,false,0.8375,0.5719710864170892,0.0,116,0,1,0.48718158343533086,0.4747679571343853,0.41727101978368003,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,6,20,false,0.8347222222222223,0.5678086297904695,0.0,112,0,7,0.2895870382641934,0.27336597666163587,0.217004364343727,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,7,20,false,0.875,0.6966972327891954,0.14606741573033707,72,10,8,0.31112826207809025,0.28719603334525196,0.2129085261646749,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,8,20,false,0.8208333333333333,0.6823259400177752,0.30337078651685395,45,67,17,0.4365682630461749,0.39429073859383135,0.2937375731590962,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,9,20,false,0.85,0.7344673057439014,0.3146067415730337,57,45,6,0.38758147924896486,0.3363483205413043,0.23956301512670172,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,10,20,false,0.8777777777777778,0.7430093810265413,0.24719101123595505,66,17,5,0.3406002166379995,0.2816650254878755,0.19495291712896212,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,11,20,false,0.8777777777777778,0.7563609067609772,0.29213483146067415,60,25,3,0.44777158587389687,0.36470500677189366,0.26226836180252683,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,12,20,false,0.8597222222222223,0.7602050091014437,0.38202247191011235,51,46,4,0.528424881369641,0.42943187107486935,0.32324985074824436,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,13,20,false,0.8847222222222222,0.7570788834599022,0.25842696629213485,65,16,2,0.42565154772437575,0.32738232442393744,0.23856701433851987,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,14,20,false,0.875,0.7842732927793242,0.39325842696629215,54,36,0,0.46630294995904964,0.3583406412577558,0.271337269589743,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,15,20,false,0.8625,0.8087186017202183,0.6179775280898876,34,65,0,0.50128671385651,0.3849685881933154,0.29917400903712643,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,16,20,false,0.8916666666666667,0.7961051266706564,0.3707865168539326,56,22,0,0.37956921430792423,0.2679859278024453,0.20564501934127277,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,17,20,false,0.8861111111111111,0.7803134849646477,0.3258426966292135,60,22,0,0.368166627628264,0.25452574300032876,0.2003004426005047,,not_meaningful_before_epoch_18
seed183_joint,183,baseline,joint,18,20,false,0.8902777777777777,0.8453186406119891,0.6966292134831461,27,52,0,0.5105347339808081,0.386224647992045,0.31768899714312354,27,gold_SUPPORT_and_NOT_ENTITLED_at_available_tail_epochs_[18]
seed183_joint,183,baseline,joint,19,20,false,0.8972222222222223,0.8400810829382258,0.5955056179775281,36,38,0,0.4935902772537474,0.3715408640137787,0.3095874176969647,27,"gold_SUPPORT_and_NOT_ENTITLED_at_available_tail_epochs_[18, 19]"
seed183_joint,183,baseline,joint,20,20,true,0.9013888888888889,0.8486584487651966,0.6292134831460674,33,38,0,0.5027327874399974,0.3845347834257799,0.32432865685457507,26,"gold_SUPPORT_and_NOT_ENTITLED_at_available_tail_epochs_[18, 19, 20]"
seed183_frame_local_only,183,intervention,frame_local_only,1,20,false,0.7472222222222222,0.28510863804981457,0.0,180,2,0,0.21014021957247883,0.20620462123039296,0.19210505192330163,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,2,20,false,0.3763888888888889,0.262810353935552,0.0,0,360,89,0.8853906156239973,0.8813196336502708,0.8690397574269554,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,3,20,false,0.48333333333333334,0.4562278416012499,0.6067415730337079,6,328,38,0.779567830450853,0.7728023980498623,0.7527285102006228,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,4,20,false,0.75,0.2857142857142857,0.0,180,0,0,0.4436033181244901,0.43658397497751594,0.40736722855216784,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,5,20,false,0.75,0.2857142857142857,0.0,180,0,0,0.2891624707530472,0.2831264694710497,0.2573183273286566,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,6,20,false,0.7513888888888889,0.29318760000460453,0.0,179,0,0,0.3174409522814705,0.30999302015244945,0.28128270445187614,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,7,20,false,0.8472222222222222,0.6710962113589183,0.25842696629213485,66,13,31,0.4375574265759121,0.42756219006818114,0.3938361910730328,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,8,20,false,0.525,0.46139951335928137,0.4044943820224719,0,289,53,0.5614372594224697,0.5494693084089013,0.5146403947643252,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,9,20,false,0.5708333333333333,0.6054697417339031,0.8876404494382022,0,299,10,0.6381439923812657,0.6248479184748631,0.5902433223774206,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,10,20,false,0.6097222222222223,0.5948604302670493,0.898876404494382,9,230,42,0.6406896319641053,0.6243571301386651,0.5846035687693504,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,11,20,false,0.8180555555555555,0.691122176872203,0.3595505617977528,56,50,25,0.6112772109828696,0.5905254677146763,0.5423368125492629,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,12,20,false,0.8777777777777778,0.6757325568702405,0.07865168539325842,77,6,5,0.5524919757595783,0.525948229453102,0.46670803704979774,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,13,20,false,0.8805555555555555,0.6847099514691024,0.10112359550561797,73,6,7,0.4465275851794472,0.4131009046001373,0.3421726697702323,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,14,20,false,0.8902777777777777,0.7417264787384518,0.20224719101123595,68,8,3,0.3519739986361271,0.31372887353060075,0.23744731135639346,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,15,20,false,0.8861111111111111,0.7655216942839383,0.29213483146067415,61,18,3,0.3360055570679795,0.28998568326929125,0.2038541937986757,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,16,20,false,0.8486111111111111,0.7507585567761335,0.3707865168539326,52,53,4,0.4030823410820299,0.3421181889136384,0.23615177514868496,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,17,20,false,0.7888888888888889,0.7445104534497728,0.6067415730337079,30,117,5,0.5133790872585638,0.43910190630636703,0.3179603329396659,,not_meaningful_before_epoch_18
seed183_frame_local_only,183,intervention,frame_local_only,18,20,false,0.7944444444444444,0.7553389351353904,0.6292134831460674,31,115,2,0.5793882774938022,0.4972442870737779,0.3691261156735516,31,gold_SUPPORT_and_NOT_ENTITLED_at_available_tail_epochs_[18]
seed183_frame_local_only,183,intervention,frame_local_only,19,20,false,0.8652777777777778,0.7690536578678439,0.3707865168539326,55,40,2,0.5338291200073028,0.4363656397447765,0.29698797153799505,31,"gold_SUPPORT_and_NOT_ENTITLED_at_available_tail_epochs_[18, 19]"
seed183_frame_local_only,183,intervention,frame_local_only,20,20,true,0.8986111111111111,0.7838105117496919,0.30337078651685395,61,10,2,0.4407062168620095,0.3289485348868921,0.18808544671090505,31,"gold_SUPPORT_and_NOT_ENTITLED_at_available_tail_epochs_[18, 19, 20]"
seed184_joint,184,baseline,joint,1,18,false,0.75,0.2857142857142857,0.0,180,0,0,0.2890822917138932,0.29017771993722025,0.2838203644109789,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,2,18,false,0.75,0.2857142857142857,0.0,180,0,0,0.47651533710828686,0.47463133135058605,0.46236355082005076,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,3,18,false,0.7652777777777777,0.3601260093041754,0.0,169,0,0,0.4965623210732834,0.49439241599838835,0.47372975090395597,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,4,18,false,0.8305555555555556,0.5584661194270079,0.0,120,1,1,0.3780297112451136,0.37335853941857533,0.3481894334139001,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,5,18,false,0.8138888888888889,0.5325457618585249,0.0,125,9,0,0.29964666399650725,0.29200286756729577,0.26366561609696454,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,6,18,false,0.8361111111111111,0.5726027178640111,0.0,77,28,13,0.41514630391486224,0.4003727365770733,0.3516055355732603,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,7,18,false,0.8736111111111111,0.7296034032848716,0.21348314606741572,67,21,3,0.4124244157664036,0.38748685065908584,0.3246251262253316,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,8,18,false,0.8861111111111111,0.7448310566832506,0.2247191011235955,66,13,3,0.3766454716658568,0.33456931201388385,0.259024248067917,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,9,18,false,0.8847222222222222,0.7570788834599022,0.25842696629213485,65,16,2,0.3876177095688808,0.32269658862881995,0.23935864727930065,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,10,18,false,0.8402777777777778,0.7793640118632582,0.5617977528089888,36,76,3,0.5517346124011578,0.4578424328954926,0.35725666029657116,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,11,18,false,0.8833333333333333,0.7718885765397393,0.3146067415730337,60,22,2,0.44196568039150413,0.34139027558005147,0.25579615384283455,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,12,18,false,0.8805555555555555,0.7901287072569266,0.4044943820224719,52,33,1,0.4704052313969991,0.3550394933211619,0.2670469414206255,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,13,18,false,0.8875,0.7929030639956252,0.38202247191011235,54,26,1,0.4101400440744943,0.2944935683314129,0.22059536717921646,,not_meaningful_before_epoch_18
seed184_joint,184,baseline,joint,14,18,false,0.8944444444444445,0.8067060583174138,0.4157303370786517,51,24,1,0.3892667688648964,0.27568454460103586,0.21412500018494116,,not_meaningful_before_epoch_18
