run,seed,arm,stable_row_id,dev_position,intervention_type,epoch18_prediction,epoch19_prediction,epoch20_prediction,selected_best_epoch,selected_prediction,frame_probability,frame_pass,predicate_coverage_probability,predicate_pass,sufficiency_probability,sufficiency_pass,polarity_margin,polarity_pass,entitlement_probability,entitlement_aggregation_pass,final_composition_pass,mechanism_bucket
seed183_joint,183,baseline,orion_approval__none,0,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.287025,false,0.223738,false,0.993186,true,3.400371,true,0.063781,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,orion_approval__paraphrase,1,paraphrase,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.188473,false,0.35668,false,0.990185,true,3.249749,true,0.066565,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,satellite_launch__none,24,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.321521,false,0.297271,false,0.99515,true,3.449481,true,0.095115,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,satellite_launch__paraphrase,25,paraphrase,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.350923,false,0.384456,false,0.993751,true,3.413822,true,0.134071,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,language_program__none,60,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.348806,false,0.534032,true,0.994692,true,3.472542,true,0.185285,false,false,FRAME_ONLY_FAILURE
seed183_joint,183,baseline,generated_fact_039__none,72,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.21069,false,0.423663,false,0.993991,true,3.456899,true,0.088725,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_073__none,108,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.31176,false,0.315087,false,0.994846,true,3.419783,true,0.097725,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_078__none,132,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.402608,false,0.460629,false,0.993701,true,3.502789,true,0.184285,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_086__none,168,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.436812,false,0.462168,false,0.994761,true,3.50182,true,0.200823,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_087__none,180,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.249901,false,0.427244,false,0.994557,true,3.473859,true,0.106187,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_102__none,216,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.396412,false,0.484801,false,0.993101,true,3.454815,true,0.190855,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_120__none,264,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.37331,false,0.458724,false,0.994918,true,3.519405,true,0.170376,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_121__none,276,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.32121,false,0.396298,false,0.99489,true,3.479912,true,0.126644,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_135__none,300,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.286731,false,0.488596,false,0.994329,true,3.492278,true,0.139301,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_144__none,324,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.359,false,0.47598,false,0.994534,true,3.488724,true,0.169943,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_146__none,336,none,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.456179,false,0.445629,false,0.994948,true,3.468395,true,0.20226,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_151__polarity_flip,359,polarity_flip,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.227998,false,0.401336,false,0.994691,true,3.40839,true,0.091018,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_158__polarity_flip,395,polarity_flip,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.338125,false,0.415471,false,0.994613,true,3.489274,true,0.139724,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_172__polarity_flip,443,polarity_flip,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.392768,false,0.438757,false,0.995488,true,3.579943,true,0.171552,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_186__polarity_flip,479,polarity_flip,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.387164,false,0.430234,false,0.993062,true,3.458174,true,0.165415,false,false,MULTI_LOCAL_CHANNEL_FAILURE
seed183_joint,183,baseline,generated_fact_195__polarity_flip,491,polarity_flip,NOT_ENTITLED,NOT_ENTITLED,NOT_ENTITLED,20,NOT_ENTITLED,0.320527,false,0.53864,true,0.99471,true,3.487678,true,0.171735,false,false,FRAME_ONLY_FAILURE
