scope,run,gate,required,observed,passed,blocking_reason
source,,analysis_runtime_commit_format,lowercase 40-hex,833752ec25890e76ee3c2dc3f3bc3c3c1b7428a6,true,
source,,analysis_runtime_commit_equals_head,833752ec25890e76ee3c2dc3f3bc3c3c1b7428a6,833752ec25890e76ee3c2dc3f3bc3c3c1b7428a6,true,
source,,stage196b1_runtime_commit_format,lowercase 40-hex,9835cbbf86d83aca0964821669e63f7f6deb1c59,true,
source,,analysis_and_training_commit_roles_separated,independent roles; equal or different values are valid,"{""analysis_runtime_git_commit"":""833752ec25890e76ee3c2dc3f3bc3c3c1b7428a6"",""stage196b1_runtime_git_commit"":""9835cbbf86d83aca0964821669e63f7f6deb1c59""}",true,
source,,framegate_implementation_origin_commit_preserved,"{""git_commit"":""5a39538ef3ca8f36cc2cc5d3290eae60d6a5f5c8"",""role"":""FrameGate gradient-ownership implementation origin""}","{""analysis_runtime_git_commit"":""833752ec25890e76ee3c2dc3f3bc3c3c1b7428a6"",""framegate_implementation_origin_git_commit"":""5a39538ef3ca8f36cc2cc5d3290eae60d6a5f5c8"",""stage196b1_runtime_git_commit"":""9835cbbf86d83aca0964821669e63f7f6deb1c59""}",true,
source,,six_p0_runs,"[""seed183_joint"",""seed183_frame_local_only"",""seed184_joint"",""seed184_frame_local_only"",""seed185_joint"",""seed185_frame_local_only""]","[""seed184_frame_local_only"",""seed183_joint"",""seed185_joint"",""seed185_frame_local_only"",""seed183_frame_local_only"",""seed184_joint""]",true,
stage196b1c,,exact_companion_file_closure,[],[],true,
stage196b1c,,completed_mixed_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B1C_MIXED_GRADIENT_OWNERSHIP_EFFECT"",""recommended_next_stage"":""STAGE196B2_NO_PROMOTION_TARGETED_CAUSAL_FOLLOWUP""}","{""blocking_reasons"":[],""decision"":""STAGE196B1C_MIXED_GRADIENT_OWNERSHIP_EFFECT"",""recommended_next_stage"":""STAGE196B2_NO_PROMOTION_TARGETED_CAUSAL_FOLLOWUP""}",true,
stage196b1c,,all_contract_rows_passed,true,true,true,
stage196b1c,,exact_six_run_summary,"[""seed183_joint"",""seed183_frame_local_only"",""seed184_joint"",""seed184_frame_local_only"",""seed185_joint"",""seed185_frame_local_only""]","[""seed183_joint"",""seed183_frame_local_only"",""seed184_joint"",""seed184_frame_local_only"",""seed185_joint"",""seed185_frame_local_only""]",true,
stage196b1c,,reported_selected_epochs,"{""seed183_frame_local_only"":20,""seed183_joint"":20,""seed184_frame_local_only"":13,""seed184_joint"":18,""seed185_frame_local_only"":20,""seed185_joint"":20}","{""seed183_frame_local_only"":20,""seed183_joint"":20,""seed184_frame_local_only"":13,""seed184_joint"":18,""seed185_frame_local_only"":20,""seed185_joint"":20}",true,
stage196b1c,,paired_delta_seed_columns,"[""metric"",""seed183_delta"",""seed184_delta"",""seed185_delta""]","[""improvement_direction"",""mean_delta"",""median_delta"",""metric"",""number_negative"",""number_positive"",""number_zero"",""seed183_delta"",""seed184_delta"",""seed185_delta""]",true,
stage196b1c,,epoch_trajectory_120_rows,120,120,true,
stage196b1c,,tail3_six_run_population,"[""seed183_joint"",""seed183_frame_local_only"",""seed184_joint"",""seed184_frame_local_only"",""seed185_joint"",""seed185_frame_local_only""]","[""seed183_frame_local_only"",""seed183_joint"",""seed184_frame_local_only"",""seed184_joint"",""seed185_frame_local_only"",""seed185_joint""]",true,
stage196b1c,,recurrent_table_set_closure,"[""stage196a_baseline_recurrent"",""stage196a_intervention_recurrent"",""stage196a_common_recurrent"",""stage196a_universal_all_six""]","[""stage196a_baseline_recurrent"",""stage196a_common_recurrent"",""stage196a_intervention_recurrent"",""stage196a_universal_all_six""]",true,
stage196a,,report_decision_and_count_closure,"{""blocking_reasons"":[],""decision"":""STAGE196A_RECURRENT_LOCAL_CHANNEL_FAILURE"",""native_channel_threshold"":0.5,""persistent_row_count"":127,""runnable"":true}","{""blocking_reasons"":[],""decision"":""STAGE196A_RECURRENT_LOCAL_CHANNEL_FAILURE"",""native_channel_threshold"":0.5,""persistent_row_count"":127,""runnable"":true}",true,
stage196a,,source_closure,true,true,true,
stage196a,,recurrent_sets_loaded_not_replaced,"{""stage196a_baseline_recurrent"":22,""stage196a_common_recurrent"":19,""stage196a_intervention_recurrent"":19,""stage196a_universal_all_six"":10}","{""stage196a_baseline_recurrent"":22,""stage196a_common_recurrent"":19,""stage196a_intervention_recurrent"":19,""stage196a_universal_all_six"":10}",true,
run,seed183_joint,p0_artifacts,[],[],true,
run,seed183_joint,twenty_sidecars,20,20,true,
provenance,seed183_joint,p0_runtime_commit,e9aaff24054f1d409119b70df13b94159a34a8e4,"[""e9aaff24054f1d409119b70df13b94159a34a8e4"",""e9aaff24054f1d409119b70df13b94159a34a8e4""]",true,
provenance,seed183_joint,p0_contract,"{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":183}","{""compatible_positive_margin_enabled"":false,""epoch_count"":20,""expected_dev_rows"":720,""expected_state_capsules"":0,""observability_mode"":""stage196b1_framegate_gradient_ownership"",""parameter_swa_enabled"":false,""split_seed"":174,""stage196b1_framegate_gradient_ownership_observability"":true,""stage196b2p0_checkpoint_selection_changed"":false,""stage196b2p0_epoch_channel_file_count"":20,""stage196b2p0_epoch_channel_observability_enabled"":true,""stage196b2p0_epoch_channel_rows_per_file"":720,""stage196b2p0_extra_forward_pass_performed"":false,""stage196b2p0_gradient_semantics_changed"":false,""stage196b2p0_required_fields"":[""id"",""source_row_id"",""dev_position"",""gold_label"",""prediction"",""intervention_type"",""frame_probability"",""predicate_coverage_probability"",""sufficiency_probability"",""polarity_support_margin"",""entitlement_probability"",""support_probability"",""not_entitled_probability"",""support_logit"",""not_entitled_logit"",""epoch"",""training_seed"",""frame_downstream_gradient_mode""],""stage196b2p0_training_semantics_changed"":false,""state_capsule_saving_enabled"":false,""training_seed"":183}",true,
alignment,seed183_joint,p0_sidecar_alignment,20 x 720,20 x 720,true,
run,seed183_frame_local_only,p0_artifacts,[],[],true,
run,seed183_frame_local_only,twenty_sidecars,20,20,true,
provenance,seed183_frame_local_only,p0_runtime_commit,e9aaff24054f1d409119b70df13b94159a34a8e4,"[""e9aaff24054f1d409119b70df13b94159a34a8e4"",""e9aaff24054f1d409119b70df13b94159a34a8e4""]",true,
