scope,run,gate,required,observed,passed,blocking_reason
path,,repo_root,existing directory,/kaggle/working/ContraMamba,true,
path,,fresh_separate_output_directory,true,"{""exists"":false,""output"":""/kaggle/working/ContraMamba/reports/stage196b2b3r1_exact_native_component_recomposition_analysis_20260722_115025""}",true,
provenance,,current_git_commit_format,40 lowercase hex,dca07eee7d85717d21e51001c963175bb776506b,true,
provenance,,current_git_commit_equals_head,dca07eee7d85717d21e51001c963175bb776506b,dca07eee7d85717d21e51001c963175bb776506b,true,
source,,b2b3_exact_nine_file_closure,"[""stage196b2b3_analysis.json"",""stage196b2b3_component_swap_rows.csv"",""stage196b2b3_composer_graph.csv"",""stage196b2b3_contract.csv"",""stage196b2b3_group_swap_summary.csv"",""stage196b2b3_native_reconstruction.csv"",""stage196b2b3_report.md"",""stage196b2b3_row_swap_summary.csv"",""stage196b2b3_subtype_summary.csv""]","{""files"":[""stage196b2b3_analysis.json"",""stage196b2b3_component_swap_rows.csv"",""stage196b2b3_composer_graph.csv"",""stage196b2b3_contract.csv"",""stage196b2b3_group_swap_summary.csv"",""stage196b2b3_native_reconstruction.csv"",""stage196b2b3_report.md"",""stage196b2b3_row_swap_summary.csv"",""stage196b2b3_subtype_summary.csv""],""missing"":[],""unexpected"":[]}",true,
source,,b2b2_exact_nine_file_closure,"[""stage196b2b2_analysis.json"",""stage196b2b2_contract.csv"",""stage196b2b2_contrast_summary.csv"",""stage196b2b2_epoch_paired_paths.csv"",""stage196b2b2_event_order_summary.csv"",""stage196b2b2_group_path_summary.csv"",""stage196b2b2_intervention_type_paths.csv"",""stage196b2b2_report.md"",""stage196b2b2_row_path_summary.csv""]","{""files"":[""stage196b2b2_analysis.json"",""stage196b2b2_contract.csv"",""stage196b2b2_contrast_summary.csv"",""stage196b2b2_epoch_paired_paths.csv"",""stage196b2b2_event_order_summary.csv"",""stage196b2b2_group_path_summary.csv"",""stage196b2b2_intervention_type_paths.csv"",""stage196b2b2_report.md"",""stage196b2b2_row_path_summary.csv""],""missing"":[],""unexpected"":[]}",true,
source,,b2b3_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2B3_ADDITIONAL_COMPOSER_OBSERVABILITY_REQUIRED"",""recommended_next_stage"":""STAGE196B2B3P0_EPOCH_COMPOSER_INPUT_OBSERVABILITY_DESIGN""}","{""blocking_reasons"":[],""decision"":""STAGE196B2B3_ADDITIONAL_COMPOSER_OBSERVABILITY_REQUIRED"",""recommended_next_stage"":""STAGE196B2B3P0_EPOCH_COMPOSER_INPUT_OBSERVABILITY_DESIGN""}",true,
source,,b2b3_193_of_193_contract_closure,193,"{""passed"":193,""rows"":193}",true,
source,,normalized_margin_authority,support_logit - not_entitled_logit,"[""support_logit - not_entitled_logit"",""support_logit - not_entitled_logit""]",true,
source,,b2b3_source_graph_identified,true,"{""containing_class_or_function"":""ContraMambaV6BMinimal.forward"",""decision_head_callable"":""FinalEntitlementDecisionHead.forward"",""decision_head_source_file"":""src/contramamba/heads/entitlement_decision.py"",""decision_head_span"":[36,77],""derived_entitlement_computation"":""frame_prob * predicate_coverage_prob * sufficiency_prob"",""diagnostic_not_causal"":[""polarity_support_margin""],""framegate_implementation_origin_git_commit"":""5a39538ef3ca8f36cc2cc5d3290eae60d6a5f5c8"",""hidden_state_not_represented_in_sidecars_required_by_final_composer"":false,""learned_parameter_not_represented_in_sidecars_required"":true,""missing_actual_composer_inputs"":[""positive_energy"",""negative_energy"",""not_entitled_bias"",""raw_alpha/softplus_alpha"",""refute_logit"",""temporal/predicate mismatch flags"",""alpha_temporal/alpha_predicate"",""temporal_adapter_logit/effective_penalty_scale"",""temporal_channel_logit/preservation_entitlement_prob/effective_scale""],""model_forward_source_file"":""src/contramamba/modeling_v6b_minimal.py"",""model_forward_span"":[274,591],""native_logit_order"":[""REFUTE"",""NOT_ENTITLED"",""SUPPORT""],""not_entitled_logit_computation"":""self.not_entitled_bias + alpha * (1.0 - entitlement_prob)"",""primitive_channel_outputs"":[""frame_prob"",""predicate_coverage_prob"",""sufficiency_prob"",""positive_energy"",""negative_energy""],""refute_logit_computation"":""entitlement_prob * negative_energy"",""source_graph_identified"":true,""support_logit_computation"":""entitlement_prob * positive_energy"",""swap_point_availability"":{""ENTITLEMENT_PLUS_POLARITY"":false,""ENTITLEMENT_PRIMITIVES"":true,""FRAME_ONLY"":true,""FULL_COMPOSER_INPUT_POSITIVE_CONTROL"":false,""POLARITY_ONLY"":false,""PREDICATE_ONLY"":true,""SUFFICIENCY_ONLY"":true},""trainer_entry_callable"":""build_model"",""trainer_entry_span"":[2748,2792],""trainer_file"":""scripts/train_controlled_v6b_minimal.py"",""trainer_file_sha256"":""48eb09cef587df17f98b61189a221583b8d09429b60d02233513149653c83816""}",true,
