seed,transition_role,direction,variant,identity_count,donor_tail_reproduced_count,donor_tail_reproduced_rate,recipient_tail_preserved_count,recipient_tail_preserved_rate,mean_tail_margin_shift,path_class_counts,intervention_type_counts
184,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PLUS_POLARITY,6,6,1.0,0,0.0,0.27003928514429926,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PRIMITIVES,6,2,0.3333333333333333,2,0.3333333333333333,-0.13949533419355753,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,FRAME_ONLY,6,0,0.0,4,0.6666666666666666,-0.3025173288368043,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,POLARITY_ONLY,6,3,0.5,2,0.3333333333333333,0.628254440910289,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,PREDICATE_ONLY,6,0,0.0,4,0.6666666666666666,-0.005090634934053609,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,SUFFICIENCY_ONLY,6,0,0.0,6,1.0,0.0057452820016344955,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PLUS_POLARITY,6,6,1.0,0,0.0,-0.27003848068298747,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PRIMITIVES,6,2,0.3333333333333333,3,0.5,0.3582159602273016,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,FRAME_ONLY,6,1,0.16666666666666666,4,0.6666666666666666,0.30389244192311454,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,POLARITY_ONLY,6,2,0.3333333333333333,2,0.3333333333333333,-0.4095346193378567,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,PREDICATE_ONLY,6,0,0.0,4,0.6666666666666666,-0.15120620720843664,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,harm,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,SUFFICIENCY_ONLY,6,0,0.0,6,1.0,-0.007100328947633128,"{""COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY"":1,""FRAME_ENTITLEMENT_LOSS"":2,""POLARITY_OVERRIDE_DESPITE_FRAME_GAIN"":3}","{""none"":1,""paraphrase"":3,""polarity_flip"":2}"
184,recovery,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PLUS_POLARITY,5,5,1.0,0,0.0,-2.1171098519488396,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PRIMITIVES,5,5,1.0,0,0.0,-2.178604281770292,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,FRAME_ONLY,5,3,0.6,0,0.0,-1.9485484027571922,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,POLARITY_ONLY,5,0,0.0,5,1.0,0.30962848357900363,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,PREDICATE_ONLY,5,0,0.0,3,0.6,-0.892495193661094,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,SUFFICIENCY_ONLY,5,0,0.0,5,1.0,0.0038216249109413345,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PLUS_POLARITY,5,5,1.0,0,0.0,2.117108524390518,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PRIMITIVES,5,5,1.0,0,0.0,2.426737007969522,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,FRAME_ONLY,5,3,0.6,0,0.0,1.4359254908579522,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,POLARITY_ONLY,5,0,0.0,5,1.0,-0.0614944298214527,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,PREDICATE_ONLY,5,0,0.0,3,0.6,0.25881508555180854,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
184,recovery,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,SUFFICIENCY_ONLY,5,0,0.0,5,1.0,-0.0009329709887897015,"{""MULTI_CHANNEL_CONFLICT"":5}","{""paraphrase"":5}"
185,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PLUS_POLARITY,3,3,1.0,0,0.0,0.3061973272826404,"{""MULTI_CHANNEL_CONFLICT"":3}","{""none"":2,""polarity_flip"":1}"
185,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PRIMITIVES,3,3,1.0,0,0.0,0.3414383598809691,"{""MULTI_CHANNEL_CONFLICT"":3}","{""none"":2,""polarity_flip"":1}"
185,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,FRAME_ONLY,3,3,1.0,0,0.0,0.3074147694028851,"{""MULTI_CHANNEL_CONFLICT"":3}","{""none"":2,""polarity_flip"":1}"
185,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,POLARITY_ONLY,3,0,0.0,3,1.0,-0.02895923086250829,"{""MULTI_CHANNEL_CONFLICT"":3}","{""none"":2,""polarity_flip"":1}"
185,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,PREDICATE_ONLY,3,0,0.0,3,1.0,0.022671151569125653,"{""MULTI_CHANNEL_CONFLICT"":3}","{""none"":2,""polarity_flip"":1}"
185,harm,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,SUFFICIENCY_ONLY,3,0,0.0,3,1.0,-0.0010682244163411224,"{""MULTI_CHANNEL_CONFLICT"":3}","{""none"":2,""polarity_flip"":1}"
185,harm,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PLUS_POLARITY,3,3,1.0,0,0.0,-0.3061557759307408,"{""MULTI_CHANNEL_CONFLICT"":3}","{""none"":2,""polarity_flip"":1}"
185,harm,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PRIMITIVES,3,3,1.0,0,0.0,-0.33511500679324907,"{""MULTI_CHANNEL_CONFLICT"":3}","{""none"":2,""polarity_flip"":1}"
185,harm,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,FRAME_ONLY,3,1,0.3333333333333333,0,0.0,-0.3123740529552296,"{""MULTI_CHANNEL_CONFLICT"":3}","{""none"":2,""polarity_flip"":1}"
