subtype,seed,transition_role,path_class,direction,variant,identity_count,donor_tail_reproduced_count,donor_tail_reproduced_rate,recipient_tail_preserved_count,recipient_tail_preserved_rate
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PLUS_POLARITY,1,1,1.0,0,0.0
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,ENTITLEMENT_PRIMITIVES,1,1,1.0,0,0.0
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,FRAME_ONLY,1,0,0.0,0,0.0
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,POLARITY_ONLY,1,0,0.0,1,1.0
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,PREDICATE_ONLY,1,0,0.0,0,0.0
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,FRAME_LOCAL_ONLY_RECIPIENT_JOINT_DONOR,SUFFICIENCY_ONLY,1,0,0.0,1,1.0
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PLUS_POLARITY,1,1,1.0,0,0.0
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,ENTITLEMENT_PRIMITIVES,1,1,1.0,0,0.0
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,FRAME_ONLY,1,0,0.0,0,0.0
COMPOSITION_RESIDUAL_ROWS,184,harm,COMPOSITION_DIVERGENCE_WITHOUT_LOCAL_BOUNDARY,JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR,POLARITY_ONLY,1,0,0.0,1,1.0
