scope,run,gate,required,observed,passed,blocking_reason
path,,repo_root,"""existing directory""","""/kaggle/working/ContraMamba""",true,
path,,fresh_separate_output_directory,true,"{""exists"":false,""output"":""/kaggle/working/ContraMamba/reports/stage196b2b4_final_composer_residual_localization_20260722_125221""}",true,
provenance,,current_git_commit_format,"""40 lowercase hex""","""8664fef0527a461ea8e8644bbf04770f526d4569""",true,
provenance,,current_git_commit_equals_head,"""8664fef0527a461ea8e8644bbf04770f526d4569""","""8664fef0527a461ea8e8644bbf04770f526d4569""",true,
source,,r1_exact_nine_file_closure,"[""stage196b2b3r1_analysis.json"",""stage196b2b3r1_component_swap_rows.csv"",""stage196b2b3r1_composer_graph.csv"",""stage196b2b3r1_contract.csv"",""stage196b2b3r1_group_swap_summary.csv"",""stage196b2b3r1_native_reconstruction.csv"",""stage196b2b3r1_report.md"",""stage196b2b3r1_row_swap_summary.csv"",""stage196b2b3r1_subtype_summary.csv""]","{""files"":[""stage196b2b3r1_analysis.json"",""stage196b2b3r1_component_swap_rows.csv"",""stage196b2b3r1_composer_graph.csv"",""stage196b2b3r1_contract.csv"",""stage196b2b3r1_group_swap_summary.csv"",""stage196b2b3r1_native_reconstruction.csv"",""stage196b2b3r1_report.md"",""stage196b2b3r1_row_swap_summary.csv"",""stage196b2b3r1_subtype_summary.csv""],""missing"":[],""unexpected"":[]}",true,
source,,b2b2_exact_nine_file_closure,"[""stage196b2b2_analysis.json"",""stage196b2b2_contract.csv"",""stage196b2b2_contrast_summary.csv"",""stage196b2b2_epoch_paired_paths.csv"",""stage196b2b2_event_order_summary.csv"",""stage196b2b2_group_path_summary.csv"",""stage196b2b2_intervention_type_paths.csv"",""stage196b2b2_report.md"",""stage196b2b2_row_path_summary.csv""]","{""files"":[""stage196b2b2_analysis.json"",""stage196b2b2_contract.csv"",""stage196b2b2_contrast_summary.csv"",""stage196b2b2_epoch_paired_paths.csv"",""stage196b2b2_event_order_summary.csv"",""stage196b2b2_group_path_summary.csv"",""stage196b2b2_intervention_type_paths.csv"",""stage196b2b2_report.md"",""stage196b2b2_row_path_summary.csv""],""missing"":[],""unexpected"":[]}",true,
source,,r1_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2B3_FINAL_COMPOSER_RESIDUAL_REQUIRED"",""recommended_next_stage"":""STAGE196B2B4_FINAL_COMPOSER_RESIDUAL_LOCALIZATION""}","{""blocking_reasons"":[],""decision"":""STAGE196B2B3_FINAL_COMPOSER_RESIDUAL_REQUIRED"",""recommended_next_stage"":""STAGE196B2B4_FINAL_COMPOSER_RESIDUAL_LOCALIZATION""}",true,
source,,r1_55_of_55_contract_closure,"{""failed"":0,""rows"":55}","{""failed"":0,""rows"":55}",true,
source,,r1_native_reconstruction_exact,"{""maximum_branch_delta_sum_error"":0.0,""maximum_decision_head_error"":3.3065668159082406e-07,""maximum_entitlement_error"":5.800120184140667e-08,""maximum_final_logit_error"":3.3065668159082406e-07,""maximum_margin_error"":3.610712273616201e-07,""passed"":true,""prediction_equality_rate"":1.0,""row_count"":86400,""tolerance"":1e-06}","{""maximum_branch_delta_sum_error"":0.0,""maximum_decision_head_error"":3.3065668159082406e-07,""maximum_entitlement_error"":5.800120184140667e-08,""maximum_final_logit_error"":3.3065668159082406e-07,""maximum_margin_error"":3.610712273616201e-07,""passed"":true,""prediction_equality_rate"":1.0,""row_count"":86400,""tolerance"":1e-06}",true,
source,,r1_positive_control_exact,"{""failing_rows"":[],""maximum_absolute_donor_logit_error"":0.0,""maximum_donor_margin_error"":0.0,""passed"":true,""prediction_equality_rate"":1.0,""row_count"":86400}","{""failing_rows"":[],""maximum_absolute_donor_logit_error"":0.0,""maximum_donor_margin_error"":0.0,""passed"":true,""prediction_equality_rate"":1.0,""row_count"":86400}",true,
source,,r1_row_count_closure,"{""component_swap"":3840,""group_swap_summary"":48,""paired_states"":43200,""positive_control_directional"":86400,""row_swap_summary"":192,""subtype_summary"":72}","{""component_swap"":3840,""group_swap_summary"":48,""paired_states"":43200,""positive_control_directional"":86400,""row_swap_summary"":192,""subtype_summary"":72}",true,
provenance,,r1_analyzer_source_commit_from_artifact,"""40 lowercase hex in supplied R1 analysis""","{""artifact_field_value"":""dca07eee7d85717d21e51001c963175bb776506b""}",true,
source,,b2b2_decision_closure,"{""decision"":""STAGE196B2B2_SEED_SPECIFIC_MULTIPATH_EFFECT"",""recommended_next_stage"":""STAGE196B2B3_NO_PROMOTION_INFERENCE_ONLY_COMPONENT_SWAP_PROBE""}","{""decision"":""STAGE196B2B2_SEED_SPECIFIC_MULTIPATH_EFFECT"",""recommended_next_stage"":""STAGE196B2B3_NO_PROMOTION_INFERENCE_ONLY_COMPONENT_SWAP_PROBE""}",true,
source,,b2b2_155_of_155_contract_closure,155,"{""passed"":155,""rows"":155}",true,
population,,b2b2_16_identity_closure,16,16,true,
population,,b2b2_320_epoch_row_closure,320,320,true,
population,,b2b2_tail_epoch_closure,"[18,19,20]","[18,19,20]",true,
population,,primary_population_exact,"{""184"":{""harm"":6,""recovery"":5},""185"":{""harm"":3,""recovery"":2}}","{""184"":{""harm"":6,""recovery"":5},""185"":{""harm"":3,""recovery"":2}}",true,
p0,,p0_six_run_closure,"[""seed183_frame_local_only"",""seed183_joint"",""seed184_frame_local_only"",""seed184_joint"",""seed185_frame_local_only"",""seed185_joint""]","[""seed183_frame_local_only"",""seed183_joint"",""seed184_frame_local_only"",""seed184_joint"",""seed185_frame_local_only"",""seed185_joint""]",true,
p0,,p0_runtime_commit_agreement,"""fa16787efa84bb15d832b6d9382fafd77016c4e2""","""fa16787efa84bb15d832b6d9382fafd77016c4e2""",true,
