feature_family,feature_name,deployment_authorized,diagnostic_only,source_fields,formula,tail_aggregation,value_domain,natural_threshold,outcome_derived,available,unavailable_reason
recipient_local,RECIPIENT_PREDICTION_SEQUENCE,true,false,"[""final_native_prediction""]","exact final_native_prediction at epochs 18,19,20","ordered exact sequence at epochs 18,19,20; no vote","[""REFUTE"",""NOT_ENTITLED"",""SUPPORT""]",,false,true,
recipient_local,FINAL_MARGIN_SIGN_SEQUENCE,true,false,"[""final_support_logit"",""final_not_entitled_logit""]","sign(final_support_logit - final_not_entitled_logit), zero iff abs(delta) <= 1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
recipient_local,HEAD_MARGIN_SIGN_SEQUENCE,true,false,"[""decision_head_support_logit"",""decision_head_not_entitled_logit""]","sign(decision_head_support_logit - decision_head_not_entitled_logit), zero iff abs(delta) <= 1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
recipient_local,HEAD_FINAL_MARGIN_SIGN_CONFLICT_SEQUENCE,true,false,"[""decision_head_support_logit"",""decision_head_not_entitled_logit"",""final_support_logit"",""final_not_entitled_logit""]",HEAD_SIGN != FINAL_SIGN at each tail epoch,"ordered exact sequence at epochs 18,19,20; no vote","[false,true]",0.0,false,true,
recipient_local,FRAME_HALFSPACE_SEQUENCE,true,false,"[""frame_prob""]","halfspace(frame_prob; threshold=0.5, AT_HALF iff abs(x-0.5)<=1e-12)","ordered exact sequence at epochs 18,19,20; no vote","[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5,false,true,
recipient_local,PREDICATE_HALFSPACE_SEQUENCE,true,false,"[""predicate_coverage_prob""]","halfspace(predicate_coverage_prob; threshold=0.5, AT_HALF iff abs(x-0.5)<=1e-12)","ordered exact sequence at epochs 18,19,20; no vote","[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5,false,true,
recipient_local,SUFFICIENCY_HALFSPACE_SEQUENCE,true,false,"[""sufficiency_prob""]","halfspace(sufficiency_prob; threshold=0.5, AT_HALF iff abs(x-0.5)<=1e-12)","ordered exact sequence at epochs 18,19,20; no vote","[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5,false,true,
recipient_local,ENTITLEMENT_HALFSPACE_SEQUENCE,true,false,"[""entitlement_prob_native""]","halfspace(entitlement_prob_native; threshold=0.5, AT_HALF iff abs(x-0.5)<=1e-12)","ordered exact sequence at epochs 18,19,20; no vote","[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5,false,true,
recipient_local,ENTITLEMENT_BOTTLENECK_SEQUENCE,true,false,"[""frame_prob"",""predicate_coverage_prob"",""sufficiency_prob""]","sorted set of argmin names over frame_prob,predicate_coverage_prob,sufficiency_prob; ties preserved within 1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""sorted nonempty subsets of FRAME,PREDICATE,SUFFICIENCY""]",,false,true,
recipient_local,POLARITY_ENERGY_ORDER_SEQUENCE,true,false,"[""positive_energy"",""negative_energy""]",compare positive_energy with negative_energy; EQUAL iff abs(delta)<=1e-12,"ordered exact sequence at epochs 18,19,20; no vote","[""POSITIVE_DOMINANT"",""EQUAL"",""NEGATIVE_DOMINANT""]",0.0,false,true,
recipient_local,PREDICATE_MISMATCH_SEQUENCE,true,false,"[""predicate_mismatch_active""]",raw exported predicate_mismatch_active flag,"ordered exact sequence at epochs 18,19,20; no vote","[false,true]",,false,true,
recipient_local,TEMPORAL_MISMATCH_SEQUENCE,true,false,"[""temporal_mismatch_active""]",raw exported temporal_mismatch_active flag,"ordered exact sequence at epochs 18,19,20; no vote","[false,true]",,false,true,
recipient_local,TEMPORAL_ADAPTER_ACTIVITY_SEQUENCE,true,false,"[""temporal_adapter_active""]",raw exported temporal_adapter_active flag,"ordered exact sequence at epochs 18,19,20; no vote","[false,true]",,false,true,
recipient_local,TEMPORAL_CHANNEL_ACTIVITY_SEQUENCE,true,false,"[""temporal_channel_active""]",raw exported temporal_channel_active flag,"ordered exact sequence at epochs 18,19,20; no vote","[false,true]",,false,true,
paired_delta,DELTA_FRAME_SIGN_SEQUENCE,false,true,"[""frame_prob""]","sign(donor.frame_prob - recipient.frame_prob), zero iff abs(delta)<=1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
paired_delta,DELTA_PREDICATE_SIGN_SEQUENCE,false,true,"[""predicate_coverage_prob""]","sign(donor.predicate_coverage_prob - recipient.predicate_coverage_prob), zero iff abs(delta)<=1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
paired_delta,DELTA_SUFFICIENCY_SIGN_SEQUENCE,false,true,"[""sufficiency_prob""]","sign(donor.sufficiency_prob - recipient.sufficiency_prob), zero iff abs(delta)<=1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
paired_delta,DELTA_POSITIVE_ENERGY_SIGN_SEQUENCE,false,true,"[""positive_energy""]","sign(donor.positive_energy - recipient.positive_energy), zero iff abs(delta)<=1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
paired_delta,DELTA_NEGATIVE_ENERGY_SIGN_SEQUENCE,false,true,"[""negative_energy""]","sign(donor.negative_energy - recipient.negative_energy), zero iff abs(delta)<=1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
paired_delta,DELTA_ENTITLEMENT_SIGN_SEQUENCE,false,true,"[""entitlement_prob_native""]","sign(donor.entitlement_prob_native - recipient.entitlement_prob_native), zero iff abs(delta)<=1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
paired_delta,DELTA_HEAD_MARGIN_SIGN_SEQUENCE,false,true,"[""decision_head_support_logit"",""decision_head_not_entitled_logit""]","sign(donor head margin - recipient head margin), zero iff abs(delta)<=1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
paired_delta,DELTA_FINAL_MARGIN_SIGN_SEQUENCE,false,true,"[""final_support_logit"",""final_not_entitled_logit""]","sign(donor final margin - recipient final margin), zero iff abs(delta)<=1e-12","ordered exact sequence at epochs 18,19,20; no vote","[""NEGATIVE"",""ZERO"",""POSITIVE""]",0.0,false,true,
