feature_family,feature_subset_mask,feature_subset_size,feature_subset_members,row_count,signature_count,feasible,inclusion_minimal_feasible,mixed_role_signature_count,cross_seed_signature_count,seed184_to_seed185_seen,seed184_to_seed185_unseen,seed184_to_seed185_incompatible,seed184_to_seed185_full_pass,seed185_to_seed184_seen,seed185_to_seed184_unseen,seed185_to_seed184_incompatible,seed185_to_seed184_full_pass,pooled_full_pass,bidirectional_cross_seed_full_pass
paired_delta,0000000001,1,"[""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,1,false,false,1,1,5,0,5,false,11,0,11,false,false,false
paired_delta,0000000010,1,"[""PREDICATE_MISMATCH_CHANGE_SEQUENCE""]",16,1,false,false,1,1,5,0,5,false,11,0,11,false,false,false
paired_delta,0000000011,2,"[""PREDICATE_MISMATCH_CHANGE_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,1,false,false,1,1,5,0,5,false,11,0,11,false,false,false
paired_delta,0000000100,1,"[""DELTA_FINAL_MARGIN_SIGN_SEQUENCE""]",16,3,true,true,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000000101,2,"[""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000000110,2,"[""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000000111,3,"[""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000001000,1,"[""DELTA_HEAD_MARGIN_SIGN_SEQUENCE""]",16,3,true,true,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000001001,2,"[""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000001010,2,"[""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000001011,3,"[""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000001100,2,"[""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000001101,3,"[""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000001110,3,"[""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000001111,4,"[""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000010000,1,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE""]",16,2,true,true,1,2,5,0,0,true,11,0,0,true,true,true
paired_delta,0000010001,2,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,2,true,false,1,2,5,0,0,true,11,0,0,true,true,true
paired_delta,0000010010,2,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE""]",16,2,true,false,1,2,5,0,0,true,11,0,0,true,true,true
paired_delta,0000010011,3,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,2,true,false,1,2,5,0,0,true,11,0,0,true,true,true
paired_delta,0000010100,2,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000010101,3,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000010110,3,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000010111,4,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000011000,2,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_HEAD_MARGIN_SIGN_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000011001,3,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000011010,3,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000011011,4,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000011100,3,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000011101,4,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""TEMPORAL_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
paired_delta,0000011110,4,"[""DELTA_ENTITLEMENT_SIGN_SEQUENCE"",""DELTA_HEAD_MARGIN_SIGN_SEQUENCE"",""DELTA_FINAL_MARGIN_SIGN_SEQUENCE"",""PREDICATE_MISMATCH_CHANGE_SEQUENCE""]",16,3,true,false,0,2,5,0,0,true,8,3,0,false,true,false
