scope,run,gate,required,observed,passed,blocking_reason
invocation,,explicit_paths,"{""all_absolute_and_under_repo_root"":true}","{""all_absolute_and_under_repo_root"":true}",true,
source,,b2b5_exact_nine_file_closure,"[""stage196b2b5_analysis.json"",""stage196b2b5_contract.csv"",""stage196b2b5_feature_dictionary.csv"",""stage196b2b5_paired_delta_selector_summary.csv"",""stage196b2b5_paired_delta_signature_rows.csv"",""stage196b2b5_recipient_selector_summary.csv"",""stage196b2b5_recipient_signature_rows.csv"",""stage196b2b5_report.md"",""stage196b2b5_row_action_sets.csv""]","{""files"":[""stage196b2b5_analysis.json"",""stage196b2b5_contract.csv"",""stage196b2b5_feature_dictionary.csv"",""stage196b2b5_paired_delta_selector_summary.csv"",""stage196b2b5_paired_delta_signature_rows.csv"",""stage196b2b5_recipient_selector_summary.csv"",""stage196b2b5_recipient_signature_rows.csv"",""stage196b2b5_report.md"",""stage196b2b5_row_action_sets.csv""],""missing"":[],""unexpected"":[]}",true,
source,,b2b4_exact_nine_file_closure,"[""stage196b2b4_analysis.json"",""stage196b2b4_contract.csv"",""stage196b2b4_localization_summary.csv"",""stage196b2b4_primitive_coalition_rows.csv"",""stage196b2b4_primitive_mobius_terms.csv"",""stage196b2b4_primitive_tail_summary.csv"",""stage196b2b4_report.md"",""stage196b2b4_residual_coalition_rows.csv"",""stage196b2b4_residual_mobius_terms.csv""]","{""files"":[""stage196b2b4_analysis.json"",""stage196b2b4_contract.csv"",""stage196b2b4_localization_summary.csv"",""stage196b2b4_primitive_coalition_rows.csv"",""stage196b2b4_primitive_mobius_terms.csv"",""stage196b2b4_primitive_tail_summary.csv"",""stage196b2b4_report.md"",""stage196b2b4_residual_coalition_rows.csv"",""stage196b2b4_residual_mobius_terms.csv""],""missing"":[],""unexpected"":[]}",true,
b2b5,,b2b5_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2B5_CROSS_SEED_RECIPIENT_SELECTOR_LOCALIZED"",""recommended_next_stage"":""STAGE196B2B6_MINIMAL_SELECTOR_INTERVENTION_DESIGN""}","{""blocking_reasons"":[],""decision"":""STAGE196B2B5_CROSS_SEED_RECIPIENT_SELECTOR_LOCALIZED"",""recommended_next_stage"":""STAGE196B2B6_MINIMAL_SELECTOR_INTERVENTION_DESIGN""}",true,
b2b5,,b2b5_runtime_commit,"""632c3be6bd9baf648cc1e43f9e91eb2940b82ff9""","""632c3be6bd9baf648cc1e43f9e91eb2940b82ff9""",true,
b2b4,,b2b4_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2B4_ROW_SPECIFIC_PRIMITIVE_INTERACTION"",""recommended_next_stage"":""STAGE196B2B5_ROW_SELECTOR_OBSERVABILITY""}","{""blocking_reasons"":[],""decision"":""STAGE196B2B4_ROW_SPECIFIC_PRIMITIVE_INTERACTION"",""recommended_next_stage"":""STAGE196B2B5_ROW_SELECTOR_OBSERVABILITY""}",true,
b2b5,,b2b5_contract_closure,"{""failed"":0}","{""failed"":0,""rows"":57}",true,
b2b4,,b2b4_contract_closure,"{""failed"":0}","{""failed"":0,""rows"":56}",true,
b2b5,,b2b5_cross_seed_selector_authority,"{""direction"":""JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR"",""identities"":16,""roles"":{""184"":{""harm"":6,""recovery"":5},""185"":{""harm"":3,""recovery"":2}}}","{""directions"":[""JOINT_RECIPIENT_FRAME_LOCAL_ONLY_DONOR""],""identities"":16,""roles"":{""184"":{""harm"":6,""recovery"":5},""185"":{""harm"":3,""recovery"":2}}}",true,
b2b4,,b2b4_primitive_action_closure,"{""directional states"":640,""primary identities"":16,""primitive coalition rows"":20480,""primitive coalitions"":32,""primitive tail summaries"":1024}","{""directional states"":640,""primary identities"":16,""primitive coalition rows"":20480,""primitive coalitions"":32,""primitive tail summaries"":1024}",true,
