feature_family,feature_name,integration_authorized,diagnostic_only,epoch_scope,source_fields,formula,value_domain,natural_threshold,outcome_derived,available,unavailable_reason
single_state,E20_RECIPIENT_PREDICTION,true,false,[20],"[""final_native_prediction""]",exact epoch-20 recipient prediction,"[""REFUTE"",""NOT_ENTITLED"",""SUPPORT""]",none,false,true,
single_state,E20_FINAL_MARGIN_SIGN,true,false,[20],"[""final_support_logit"",""final_not_entitled_logit""]",sign(final_support_logit-final_not_entitled_logit),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
single_state,E20_HEAD_MARGIN_SIGN,true,false,[20],"[""decision_head_support_logit"",""decision_head_not_entitled_logit""]",sign(decision_head_support_logit-decision_head_not_entitled_logit),"[""NEGATIVE"",""ZERO"",""POSITIVE""]",zero tolerance 1e-12,false,true,
single_state,E20_HEAD_FINAL_MARGIN_SIGN_CONFLICT,true,false,[20],"[""decision_head_support_logit"",""decision_head_not_entitled_logit"",""final_support_logit"",""final_not_entitled_logit""]",HEAD_MARGIN_SIGN != FINAL_MARGIN_SIGN,"[false,true]",sign zero tolerance 1e-12,false,true,
single_state,E20_FRAME_HALFSPACE,true,false,[20],"[""frame_prob""]",halfspace(frame_prob),"[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5; equality tolerance 1e-12,false,true,
single_state,E20_PREDICATE_HALFSPACE,true,false,[20],"[""predicate_coverage_prob""]",halfspace(predicate_coverage_prob),"[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5; equality tolerance 1e-12,false,true,
single_state,E20_SUFFICIENCY_HALFSPACE,true,false,[20],"[""sufficiency_prob""]",halfspace(sufficiency_prob),"[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5; equality tolerance 1e-12,false,true,
single_state,E20_ENTITLEMENT_HALFSPACE,true,false,[20],"[""entitlement_prob_native""]",halfspace(entitlement_prob_native),"[""BELOW_HALF"",""AT_HALF"",""ABOVE_HALF""]",0.5; equality tolerance 1e-12,false,true,
single_state,E20_ENTITLEMENT_BOTTLENECK,true,false,[20],"[""frame_prob"",""predicate_coverage_prob"",""sufficiency_prob""]",deterministic sorted argmin set; ties preserved,"[""sorted nonempty subset of FRAME,PREDICATE,SUFFICIENCY""]",tie tolerance 1e-12,false,true,
single_state,E20_POLARITY_ENERGY_ORDER,true,false,[20],"[""positive_energy"",""negative_energy""]",compare positive_energy and negative_energy,"[""POSITIVE_DOMINANT"",""EQUAL"",""NEGATIVE_DOMINANT""]",equality tolerance 1e-12,false,true,
single_state,E20_PREDICATE_MISMATCH,true,false,[20],"[""predicate_mismatch_active""]",exact exported boolean,"[false,true]",none,false,true,
single_state,E20_TEMPORAL_MISMATCH,true,false,[20],"[""temporal_mismatch_active""]",exact exported boolean,"[false,true]",none,false,true,
single_state,E20_TEMPORAL_ADAPTER_ACTIVITY,true,false,[20],"[""temporal_adapter_active""]",exact exported boolean,"[false,true]",none,false,true,
single_state,E20_TEMPORAL_CHANNEL_ACTIVITY,true,false,[20],"[""temporal_channel_active""]",exact exported boolean,"[false,true]",none,false,true,
tail_trajectory,RECIPIENT_PREDICTION_SEQUENCE,false,true,"[18,19,20]","[""final_native_prediction""]","exact final_native_prediction at epochs 18,19,20","[""REFUTE"",""NOT_ENTITLED"",""SUPPORT""]",,false,true,
