checkpoint_mode,target_family,target,parameter_group,parameter_group_base,parameter_tensor_count,requires_grad_tensor_count,classification,connected_tensor_count,unused_tensor_count,finite_gradient_tensor_count,nonzero_gradient_tensor_count,gradient_l1_norm,gradient_l2_norm,maximum_absolute_gradient
joint,native,native/joint/native_score_support,joint:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_support,joint:frame_branch,frame_branch,10,10,CONNECTED_NONZERO,10,0,10,10,5683.3115234375,47.43342971801758,12.121527671813965
joint,native,native/joint/native_score_support,joint:predicate_branch,predicate_branch,10,10,CONNECTED_NONZERO,10,0,10,10,1677.7601318359375,12.997976303100586,2.4942474365234375
joint,native,native/joint/native_score_support,joint:sufficiency_branch,sufficiency_branch,6,6,CONNECTED_NONZERO,6,0,6,6,39.32416915893555,0.4099248945713043,0.03985655680298805
joint,native,native/joint/native_score_support,joint:polarity_branch,polarity_branch,8,8,CONNECTED_NONZERO,8,0,8,6,118.65451049804688,2.066166639328003,0.5295250415802002
joint,native,native/joint/native_score_support,joint:entitlement_or_decision_branch,entitlement_or_decision_branch,2,2,CONNECTED_ZERO_AT_OBSERVED_BATCH,2,0,2,0,0.0,0.0,0.0
joint,native,native/joint/native_score_support,joint:final_composer,final_composer,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_support,joint:router_or_selector,router_or_selector,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_support,joint:other_trainable,other_trainable,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_support,frame_local_only:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_support,frame_local_only:frame_branch,frame_branch,10,10,DISCONNECTED,0,10,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_support,frame_local_only:predicate_branch,predicate_branch,10,10,DISCONNECTED,0,10,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_support,frame_local_only:sufficiency_branch,sufficiency_branch,6,6,DISCONNECTED,0,6,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_support,frame_local_only:polarity_branch,polarity_branch,8,8,DISCONNECTED,0,8,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_support,frame_local_only:entitlement_or_decision_branch,entitlement_or_decision_branch,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_support,frame_local_only:final_composer,final_composer,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_support,frame_local_only:router_or_selector,router_or_selector,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_support,frame_local_only:other_trainable,other_trainable,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_not_entitled,joint:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_not_entitled,joint:frame_branch,frame_branch,10,10,CONNECTED_NONZERO,10,0,10,10,1795.7958984375,14.911714553833008,3.7797982692718506
joint,native,native/joint/native_score_not_entitled,joint:predicate_branch,predicate_branch,10,10,CONNECTED_NONZERO,10,0,10,10,523.589111328125,4.031684398651123,0.8038848638534546
joint,native,native/joint/native_score_not_entitled,joint:sufficiency_branch,sufficiency_branch,6,6,CONNECTED_NONZERO,6,0,6,6,2.2629024982452393,0.034915339201688766,0.00848426204174757
joint,native,native/joint/native_score_not_entitled,joint:polarity_branch,polarity_branch,8,8,CONNECTED_ZERO_AT_OBSERVED_BATCH,8,0,8,0,0.0,0.0,0.0
joint,native,native/joint/native_score_not_entitled,joint:entitlement_or_decision_branch,entitlement_or_decision_branch,2,2,CONNECTED_NONZERO,2,0,2,2,6.415862083435059,4.672942161560059,4.0
joint,native,native/joint/native_score_not_entitled,joint:final_composer,final_composer,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_not_entitled,joint:router_or_selector,router_or_selector,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_not_entitled,joint:other_trainable,other_trainable,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_not_entitled,frame_local_only:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_not_entitled,frame_local_only:frame_branch,frame_branch,10,10,DISCONNECTED,0,10,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_not_entitled,frame_local_only:predicate_branch,predicate_branch,10,10,DISCONNECTED,0,10,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_not_entitled,frame_local_only:sufficiency_branch,sufficiency_branch,6,6,DISCONNECTED,0,6,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_not_entitled,frame_local_only:polarity_branch,polarity_branch,8,8,DISCONNECTED,0,8,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_not_entitled,frame_local_only:entitlement_or_decision_branch,entitlement_or_decision_branch,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_not_entitled,frame_local_only:final_composer,final_composer,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_not_entitled,frame_local_only:router_or_selector,router_or_selector,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_not_entitled,frame_local_only:other_trainable,other_trainable,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_refute,joint:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_refute,joint:frame_branch,frame_branch,10,10,CONNECTED_NONZERO,10,0,10,10,432.9102783203125,3.698685646057129,1.0284878015518188
joint,native,native/joint/native_score_refute,joint:predicate_branch,predicate_branch,10,10,CONNECTED_NONZERO,10,0,10,10,125.52497863769531,0.9354036450386047,0.149976909160614
joint,native,native/joint/native_score_refute,joint:sufficiency_branch,sufficiency_branch,6,6,CONNECTED_NONZERO,6,0,6,6,11.153748512268066,0.12352826446294785,0.014213970862329006
joint,native,native/joint/native_score_refute,joint:polarity_branch,polarity_branch,8,8,CONNECTED_NONZERO,8,0,8,6,31.03218650817871,0.45775607228279114,0.09667791426181793
joint,native,native/joint/native_score_refute,joint:entitlement_or_decision_branch,entitlement_or_decision_branch,2,2,CONNECTED_ZERO_AT_OBSERVED_BATCH,2,0,2,0,0.0,0.0,0.0
joint,native,native/joint/native_score_refute,joint:final_composer,final_composer,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_refute,joint:router_or_selector,router_or_selector,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_score_refute,joint:other_trainable,other_trainable,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_refute,frame_local_only:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_refute,frame_local_only:frame_branch,frame_branch,10,10,DISCONNECTED,0,10,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_refute,frame_local_only:predicate_branch,predicate_branch,10,10,DISCONNECTED,0,10,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_refute,frame_local_only:sufficiency_branch,sufficiency_branch,6,6,DISCONNECTED,0,6,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_refute,frame_local_only:polarity_branch,polarity_branch,8,8,DISCONNECTED,0,8,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_refute,frame_local_only:entitlement_or_decision_branch,entitlement_or_decision_branch,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_refute,frame_local_only:final_composer,final_composer,2,2,DISCONNECTED,0,2,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_refute,frame_local_only:router_or_selector,router_or_selector,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
frame_local_only,native,native/joint/native_score_refute,frame_local_only:other_trainable,other_trainable,0,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_margin_support_minus_not_entitled,joint:frozen_backbone,frozen_backbone,242,0,DISCONNECTED,0,0,0,0,0.0,0.0,0.0
joint,native,native/joint/native_margin_support_minus_not_entitled,joint:frame_branch,frame_branch,10,10,CONNECTED_NONZERO,10,0,10,10,7474.72998046875,62.320068359375,15.901327133178711
joint,native,native/joint/native_margin_support_minus_not_entitled,joint:predicate_branch,predicate_branch,10,10,CONNECTED_NONZERO,10,0,10,10,2199.83154296875,17.013935089111328,3.2981324195861816
joint,native,native/joint/native_margin_support_minus_not_entitled,joint:sufficiency_branch,sufficiency_branch,6,6,CONNECTED_NONZERO,6,0,6,6,40.17041778564453,0.42122548818588257,0.041132450103759766
joint,native,native/joint/native_margin_support_minus_not_entitled,joint:polarity_branch,polarity_branch,8,8,CONNECTED_NONZERO,8,0,8,6,118.65451049804688,2.066166639328003,0.5295250415802002
joint,native,native/joint/native_margin_support_minus_not_entitled,joint:entitlement_or_decision_branch,entitlement_or_decision_branch,2,2,CONNECTED_NONZERO,2,0,2,2,6.415862083435059,4.672942161560059,4.0
