checkpoint,phase,parameter_fingerprint,buffer_fingerprint,model_mode,rng_restored,unchanged
joint,before_model_load_completion,0fdc97c0b34272579656d202b283ed0e0431808c41b75d624dfa989e7652e3ea,CHECKPOINT_PAYLOAD_BASELINE,NOT_YET_APPLICABLE,True,BASELINE_ONLY
frame_local_only,before_model_load_completion,7ef271ab68d859cef90a4a3578bb6cae64ad1533ac040d5e1c94f41f3478c70a,CHECKPOINT_PAYLOAD_BASELINE,NOT_YET_APPLICABLE,True,BASELINE_ONLY
joint,before_replay_probes,dae5c848e7ae4fc4a12a6f3ec70e2f7888b307e457ce41106f14b443a8e666d5,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
joint,after_native_probes,dae5c848e7ae4fc4a12a6f3ec70e2f7888b307e457ce41106f14b443a8e666d5,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
joint,after_candidate_probes,dae5c848e7ae4fc4a12a6f3ec70e2f7888b307e457ce41106f14b443a8e666d5,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
joint,after_direction_probes,dae5c848e7ae4fc4a12a6f3ec70e2f7888b307e457ce41106f14b443a8e666d5,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
joint,after_order_probes,dae5c848e7ae4fc4a12a6f3ec70e2f7888b307e457ce41106f14b443a8e666d5,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
frame_local_only,before_replay_probes,5cba248693d8b294bbdb41fc94a537876253d81082872be6f71b484eea4052a1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
frame_local_only,after_native_probes,5cba248693d8b294bbdb41fc94a537876253d81082872be6f71b484eea4052a1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
frame_local_only,after_candidate_probes,5cba248693d8b294bbdb41fc94a537876253d81082872be6f71b484eea4052a1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
frame_local_only,after_direction_probes,5cba248693d8b294bbdb41fc94a537876253d81082872be6f71b484eea4052a1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
frame_local_only,after_order_probes,5cba248693d8b294bbdb41fc94a537876253d81082872be6f71b484eea4052a1,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,train,True,True
