contract,required,observed,passed,blocking_reason
upstream_p4_authority,STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE,"{""authority_mode"":""DOWNSTREAM_ATTESTED_P4_MINIMAL_CLOSURE"",""minimal_authority_passed"":true}",True,
p4_authority_mode_valid,"[""ORIGINAL_P4_ANALYSIS"",""DOWNSTREAM_ATTESTED_P4_MINIMAL_CLOSURE""]",DOWNSTREAM_ATTESTED_P4_MINIMAL_CLOSURE,True,
p4_original_or_attested_authority_available,True,True,True,
p4_downstream_p6_contract_hash_closure,True,True,True,
p4_downstream_p6_decision_closure,"{""blocking_reasons"":[],""decision"":""STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE"",""recommended_next_stage"":""STAGE196B2B6P5_TRAINING_SIDE_RESPONSE_STABILITY_INTERVENTION_DESIGN""}","{""observed"":{""blocking_reasons"":[],""decision"":""STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE"",""recommended_next_stage"":""STAGE196B2B6P5_TRAINING_SIDE_RESPONSE_STABILITY_INTERVENTION_DESIGN""},""passed"":true,""passed_value"":true,""required"":{""blocking_reasons"":[],""decision"":""STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE"",""recommended_next_stage"":""STAGE196B2B6P5_TRAINING_SIDE_RESPONSE_STABILITY_INTERVENTION_DESIGN""},""row_count"":1}",True,
p4_downstream_p6_zero_failed_contracts,True,"{""observed"":true,""passed"":true,""passed_value"":true,""required"":true,""row_count"":1}",True,
p4_downstream_p7_analysis_concurrence,STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE,"{""observed"":""STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE"",""passed"":true,""required"":""STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE""}",True,
p4_downstream_p7_contract_concurrence,"{""blocking_reasons"":[],""decision"":""STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE""}","{""observed"":{""blocking_reasons"":[],""decision"":""STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE""},""passed"":true,""passed_value"":true,""required"":{""blocking_reasons"":[],""decision"":""STAGE196B2B6P4_ACTION_RESPONSE_TOPOLOGY_UNSTABLE""},""row_count"":1}",True,
p4_downstream_attestation_scope_restricted,"[""P4 decision identity"",""zero P4 blockers"",""P4 recommended next-stage identity"",""zero failed P4 contracts""]","{""limitations"":[""original P4 numerical tables"",""original P4 row-level data"",""original P4 source-file hashes"",""original P4 output-directory identity"",""original P4 creation timestamp"",""byte-identical original P4 content""],""scope"":[""P4 decision identity"",""zero P4 blockers"",""P4 recommended next-stage identity"",""zero failed P4 contracts""]}",True,
p4_original_artifact_not_fabricated,True,True,True,
upstream_p5_authority,STAGE196B2B6P5_GRADIENT_PATH_INSTRUMENTATION_REQUIRED,"{""authority_mode"":""DOWNSTREAM_ATTESTED_P5_MINIMAL_CLOSURE"",""minimal_authority_passed"":true}",True,
p5_authority_mode_valid,"[""ORIGINAL_P5_ANALYSIS"",""DOWNSTREAM_ATTESTED_P5_MINIMAL_CLOSURE""]",DOWNSTREAM_ATTESTED_P5_MINIMAL_CLOSURE,True,
p5_original_or_attested_authority_available,True,True,True,
p5_downstream_p6_contract_hash_closure,True,True,True,
