contract,required,observed,passed,blocking_reason
upstream_p9p0_exact_decision,true,true,true,
upstream_p9p0_zero_blockers,true,true,true,
upstream_p9p0_zero_failed_contracts,true,true,true,
upstream_exact_six_candidate_set,true,true,true,
terminal_exclusions_preserved,true,true,true,
exact_three_design_candidates,true,true,true,
direction_order_evaluated_separately,true,true,true,
shared_state_does_not_authorize_shared_teacher,true,true,true,
no_combined_first_intervention,true,true,true,
no_teacher_selected,true,true,true,
no_loss_implemented,true,true,true,
no_coefficient_selected,true,true,true,
no_clean_dev_targeting,true,true,true,
no_recovery_harm_targeting,true,true,true,
no_best_checkpoint_teacher_authority,true,true,true,
exact_ties_ignored,true,true,true,
teacher_state_stop_gradient,true,true,true,
previous_step_boundary_explicit,true,true,true,
previous_epoch_boundary_explicit,true,true,true,
ema_decay_not_selected,true,true,true,
ema_not_assumed_authorized,true,true,true,
serialization_resume_audited,true,true,true,
determinism_audited,true,true,true,
baseline_default_off,true,true,true,
zero_model_or_trainer_modification,true,true,true,
exact_nine_file_closure,true,true,true,
