contract,passed,evidence
upstream_p9p1_exact_decision,True,static_source_and_authority_scan
upstream_p9p1_zero_blockers,True,static_source_and_authority_scan
upstream_p9p1_zero_failed_contracts,True,static_source_and_authority_scan
exact_three_candidate_set,True,static_source_and_authority_scan
exact_two_target_families,True,static_source_and_authority_scan
target_families_mutually_exclusive,True,static_source_and_authority_scan
teacher_modes_mutually_exclusive,True,static_source_and_authority_scan
default_mode_off,True,static_source_and_authority_scan
off_requires_target_none,True,static_source_and_authority_scan
enabled_requires_single_target_family,True,static_source_and_authority_scan
ema_decay_has_no_default,True,static_source_and_authority_scan
ema_decay_required_only_for_ema,True,static_source_and_authority_scan
no_teacher_selected,True,static_source_and_authority_scan
no_loss_implemented,True,static_source_and_authority_scan
no_total_loss_change,True,static_source_and_authority_scan
no_backward_change,True,static_source_and_authority_scan
teacher_excluded_from_optimizer,True,static_source_and_authority_scan
teacher_stop_gradient,True,static_source_and_authority_scan
teacher_eval_mode,True,static_source_and_authority_scan
student_mode_restored,True,static_source_and_authority_scan
rng_state_preserved,True,static_source_and_authority_scan
exact_ties_ignored,True,static_source_and_authority_scan
no_lexical_candidate_order,True,static_source_and_authority_scan
previous_step_success_boundary,True,static_source_and_authority_scan
previous_epoch_start_boundary,True,static_source_and_authority_scan
ema_success_boundary,True,static_source_and_authority_scan
amp_skipped_step_does_not_update,True,static_source_and_authority_scan
enabled_checkpoint_state_namespaced,True,static_source_and_authority_scan
disabled_checkpoint_schema_unchanged,True,static_source_and_authority_scan
enabled_resume_fails_closed,True,static_source_and_authority_scan
exact_five_runtime_sidecars,True,static_source_and_authority_scan
disabled_writes_zero_sidecars,True,static_source_and_authority_scan
nonzero_loss_counts_not_fabricated,True,static_source_and_authority_scan
nonzero_gradient_counts_not_fabricated,True,static_source_and_authority_scan
no_model_file_modification,True,static_source_and_authority_scan
exact_four_source_files_touched,True,static_source_and_authority_scan
exact_nine_analyzer_outputs,True,static_source_and_authority_scan
