contract,passed,evidence
manifest_exact_decision,True,runtime_artifact_static_analysis
manifest_fingerprint_match,True,runtime_artifact_static_analysis
exact_seven_runs_complete,True,runtime_artifact_static_analysis
all_returncodes_zero,True,runtime_artifact_static_analysis
control_zero_sidecars,True,runtime_artifact_static_analysis
enabled_exact_five_sidecars,True,runtime_artifact_static_analysis
control_checkpoint_no_observer_state,True,runtime_artifact_static_analysis
enabled_checkpoint_one_observer_state,True,runtime_artifact_static_analysis
base_config_fingerprint_identical,True,runtime_artifact_static_analysis
student_trajectory_exact_or_tolerance_match,True,runtime_artifact_static_analysis
previous_step_lifecycle_closed,True,runtime_artifact_static_analysis
previous_epoch_lifecycle_closed,True,runtime_artifact_static_analysis
ema_lifecycle_closed,True,runtime_artifact_static_analysis
direction_metric_closure,True,runtime_artifact_static_analysis
order_metric_closure,True,runtime_artifact_static_analysis
exact_ties_excluded,True,runtime_artifact_static_analysis
loss_fields_unavailable,True,runtime_artifact_static_analysis
gradient_fields_unavailable,True,runtime_artifact_static_analysis
no_teacher_selected,True,runtime_artifact_static_analysis
no_candidate_ranked_by_performance,True,runtime_artifact_static_analysis
exact_ten_analysis_outputs,True,runtime_artifact_static_analysis
