contract,passed,evidence
upstream_p9p2_exact_decision,True,static_source_backed_manifest_builder
upstream_p9p2_zero_blockers,True,static_source_backed_manifest_builder
upstream_p9p2_zero_failed_contracts,True,static_source_backed_manifest_builder
source_backed_base_config_unique,True,static_source_backed_manifest_builder
primary_arm_authorized,True,static_source_backed_manifest_builder
all_required_base_fields_closed,True,static_source_backed_manifest_builder
exact_seed_183,True,static_source_backed_manifest_builder
exact_ema_decay_099,True,static_source_backed_manifest_builder
ema_decay_ex_ante,True,static_source_backed_manifest_builder
ema_decay_not_performance_selected,True,static_source_backed_manifest_builder
exact_seven_run_rows,True,static_source_backed_manifest_builder
exact_one_control,True,static_source_backed_manifest_builder
exact_six_enabled,True,static_source_backed_manifest_builder
exact_three_teacher_modes,True,static_source_backed_manifest_builder
exact_two_target_families,True,static_source_backed_manifest_builder
no_combined_target_family,True,static_source_backed_manifest_builder
teacher_modes_mutually_exclusive,True,static_source_backed_manifest_builder
one_base_config_fingerprint,True,static_source_backed_manifest_builder
observer_fields_only_run_differences,True,static_source_backed_manifest_builder
control_has_no_ema_decay,True,static_source_backed_manifest_builder
ema_decay_only_on_ema_rows,True,static_source_backed_manifest_builder
device_cuda,True,static_source_backed_manifest_builder
backbone_mamba,True,static_source_backed_manifest_builder
model_name_mamba_130m,True,static_source_backed_manifest_builder
no_external_eval,True,static_source_backed_manifest_builder
no_teacher_selected,True,static_source_backed_manifest_builder
no_loss_added,True,static_source_backed_manifest_builder
exact_five_manifest_outputs,True,static_source_backed_manifest_builder
