name,policy_family,policy_scope,target_support_count,min_support_prob,min_margin,changed_from_stage92c,accuracy,macro_f1_all3,support_recall,refute_recall,ne_recall,support_f1,refute_f1,ne_f1,support_pred_count,refute_pred_count,ne_pred_count,false_NE_total,false_entitlement_total,polarity_error_total,meets_stage73_acc,meets_stage73_macro,support_recall_ge_stage73_minus_0p02,support_recall_ge_stage92c,refute_recall_ge_stage92c_minus_0p02,balanced_diag_pass,diagnostic_score
Stage73 baseline,baseline,stage73,,,,,0.353,0.3261787057160285,0.432,0.2028169014084507,0.4482758620689655,0.48376259798432253,0.25087108013937287,0.24390243902439027,393,219,388,323,80,244,True,True,True,True,False,False,0.9458829310681413
Stage92C baseline,baseline,stage92c,,,,0.0,0.351,0.33083720750354534,0.402,0.23380281690140844,0.46206896551724136,0.4647398843930636,0.28719723183391005,0.24057450628366248,365,223,412,345,78,226,False,True,False,True,True,False,0.9412879117288975
Stage92C support_rank_floor target=365 scope=all_non_support,support_rank_floor,all_non_support,365.0,,,0.0,0.351,0.33083720750354534,0.402,0.23380281690140844,0.46206896551724136,0.4647398843930636,0.28719723183391005,0.24057450628366248,365,223,412,345,78,226,False,True,False,True,True,False,0.9412879117288975
Stage92C support_rank_floor target=375 scope=all_non_support,support_rank_floor,all_non_support,375.0,,,10.0,0.356,0.33371526108262267,0.416,0.22816901408450704,0.46206896551724136,0.4754285714285714,0.28471001757469244,0.24100719424460432,375,214,411,344,78,222,True,True,True,True,True,True,0.9497575146037495
Stage92C support_rank_floor target=385 scope=all_non_support,support_rank_floor,all_non_support,385.0,,,20.0,0.357,0.333319609676509,0.422,0.22535211267605634,0.45517241379310347,0.47683615819209035,0.2826855123674912,0.24043715846994534,385,211,404,338,79,226,True,True,True,True,True,True,0.947657637845523
Stage92C support_rank_floor target=393 scope=all_non_support,support_rank_floor,all_non_support,393.0,,,28.0,0.354,0.3291030851564986,0.424,0.21690140845070421,0.4482758620689655,0.47480403135498317,0.2735346358792185,0.2389705882352941,393,208,399,334,80,232,True,True,True,True,True,True,0.9353284372691746
Stage92C support_rank_floor target=400 scope=all_non_support,support_rank_floor,all_non_support,400.0,,,35.0,0.358,0.3314773677383831,0.434,0.2140845070422535,0.4482758620689655,0.4822222222222222,0.27191413237924866,0.2402957486136784,400,204,396,331,80,231,True,True,True,True,True,True,0.9424984944989465
Stage92C support_rank_floor target=410 scope=all_non_support,support_rank_floor,all_non_support,410.0,,,45.0,0.357,0.32861062767604826,0.44,0.2056338028169014,0.4413793103448276,0.4835164835164836,0.2630630630630631,0.23925233644859814,410,200,390,326,81,236,True,True,True,True,False,False,0.9345190783802737
Stage92C support_rank_floor target=425 scope=all_non_support,support_rank_floor,all_non_support,425.0,,,60.0,0.361,0.3290819156113689,0.456,0.2028169014084507,0.4206896551724138,0.49297297297297293,0.26277372262773724,0.2314990512333966,425,193,382,321,84,234,True,True,True,True,False,False,0.9387861409634816
Stage92C support_rank_floor target=440 scope=all_non_support,support_rank_floor,all_non_support,440.0,,,75.0,0.371,0.3358622903570693,0.476,0.2028169014084507,0.4206896551724138,0.5063829787234042,0.26568265682656833,0.2355212355212355,440,187,373,312,84,233,True,True,True,True,False,False,0.9580665157091821
Stage92C support_rank_floor target=365 scope=ne_only,support_rank_floor,ne_only,365.0,,,0.0,0.351,0.33083720750354534,0.402,0.23380281690140844,0.46206896551724136,0.4647398843930636,0.28719723183391005,0.24057450628366248,365,223,412,345,78,226,False,True,False,True,True,False,0.9412879117288975
Stage92C support_rank_floor target=375 scope=ne_only,support_rank_floor,ne_only,375.0,,,10.0,0.351,0.3296190650902796,0.406,0.23380281690140844,0.4482758620689655,0.464,0.28719723183391005,0.23765996343692875,375,223,402,337,80,232,False,True,False,True,True,False,0.9370697693156317
Stage92C support_rank_floor target=385 scope=ne_only,support_rank_floor,ne_only,385.0,,,20.0,0.357,0.3338664256982585,0.418,0.23380281690140844,0.4482758620689655,0.4723163841807909,0.28719723183391005,0.24208566108007445,385,223,392,327,80,236,True,True,True,True,True,True,0.9483171299236105
Stage92C support_rank_floor target=393 scope=ne_only,support_rank_floor,ne_only,393.0,,,28.0,0.358,0.33339550612912694,0.424,0.23380281690140844,0.43448275862068964,0.47480403135498317,0.28719723183391005,0.2381852551984877,393,223,384,321,82,239,True,True,True,True,True,True,0.947846210354479
Stage92C support_rank_floor target=400 scope=ne_only,support_rank_floor,ne_only,400.0,,,35.0,0.358,0.332156420828417,0.428,0.23380281690140844,0.4206896551724138,0.47555555555555556,0.28719723183391005,0.23371647509578544,400,223,377,316,84,242,True,True,True,True,True,True,0.9451071250537691
Stage92C support_rank_floor target=410 scope=ne_only,support_rank_floor,ne_only,410.0,,,45.0,0.366,0.3377968565819993,0.444,0.23380281690140844,0.4206896551724138,0.48791208791208796,0.28719723183391005,0.23828125,410,223,367,306,84,244,True,True,True,True,True,True,0.9617475608073515
Stage92C support_rank_floor target=425 scope=ne_only,support_rank_floor,ne_only,425.0,,,60.0,0.375,0.34404317610516744,0.462,0.23380281690140844,0.4206896551724138,0.49945945945945946,0.28719723183391005,0.24547283702213282,425,223,352,291,84,250,True,True,True,True,True,True,0.9784938803305194
Stage92C support_rank_floor target=440 scope=ne_only,support_rank_floor,ne_only,440.0,,,75.0,0.384,0.3503158543004237,0.48,0.23380281690140844,0.4206896551724138,0.5106382978723404,0.28719723183391005,0.2531120331950208,440,223,337,276,84,256,True,True,True,True,True,True,0.995266558525776
Stage92C support_rank_floor target=365 scope=refute_only,support_rank_floor,refute_only,365.0,,,0.0,0.351,0.33083720750354534,0.402,0.23380281690140844,0.46206896551724136,0.4647398843930636,0.28719723183391005,0.24057450628366248,365,223,412,345,78,226,False,True,False,True,True,False,0.9412879117288975
Stage92C support_rank_floor target=375 scope=refute_only,support_rank_floor,refute_only,375.0,,,10.0,0.356,0.3337381151059559,0.416,0.22816901408450704,0.46206896551724136,0.4754285714285714,0.2852112676056338,0.24057450628366248,375,213,412,345,78,221,True,True,True,True,True,True,0.9497803686270826
Stage92C support_rank_floor target=385 scope=refute_only,support_rank_floor,refute_only,385.0,,,20.0,0.354,0.3294959185941593,0.424,0.2112676056338028,0.46206896551724136,0.4790960451977401,0.26881720430107525,0.24057450628366248,385,203,412,345,78,223,True,True,True,True,False,False,0.93831282000261
Stage92C support_rank_floor target=393 scope=refute_only,support_rank_floor,refute_only,393.0,,,28.0,0.354,0.32797188147627737,0.43,0.2028169014084507,0.46206896551724136,0.48152295632698766,0.2618181818181819,0.24057450628366248,393,195,412,345,78,223,True,True,True,True,False,False,0.9336761068283901
Stage92C support_rank_floor target=400 scope=refute_only,support_rank_floor,refute_only,400.0,,,35.0,0.36,0.3322929958535065,0.442,0.2028169014084507,0.46206896551724136,0.49111111111111116,0.26519337016574585,0.24057450628366248,400,188,412,345,78,217,True,True,True,True,False,False,0.9464972212056192
Stage92C support_rank_floor target=410 scope=refute_only,support_rank_floor,refute_only,410.0,,,45.0,0.361,0.33133060689219557,0.45,0.19436619718309858,0.46206896551724136,0.4945054945054946,0.2589118198874296,0.24057450628366248,410,178,412,345,78,216,True,True,True,True,False,False,0.9434221561879702
Stage92C support_rank_floor target=425 scope=refute_only,support_rank_floor,refute_only,425.0,,,60.0,0.36,0.32647206837512044,0.462,0.17464788732394365,0.46206896551724136,0.49945945945945946,0.23938223938223938,0.24057450628366248,425,163,412,345,78,217,True,True,True,True,False,False,0.9311340402061064
Stage92C support_rank_floor target=440 scope=refute_only,support_rank_floor,refute_only,440.0,,,75.0,0.358,0.32046334620718336,0.472,0.15492957746478872,0.46206896551724136,0.5021276595744681,0.21868787276341944,0.24057450628366248,440,148,412,345,78,219,True,False,True,True,False,False,0.9156957405733805
Stage92C support_threshold min_p=0.2 min_margin=-0.25 scope=all_non_support,support_threshold_override,all_non_support,,0.2,-0.25,45.0,0.361,0.3328943440098348,0.442,0.2140845070422535,0.4413793103448276,0.48571428571428577,0.27191413237924866,0.24105461393596989,410,204,386,322,81,236,True,True,True,True,True,True,0.9459154707703983
Stage92C support_threshold min_p=0.2 min_margin=-0.2 scope=all_non_support,support_threshold_override,all_non_support,,0.2,-0.2,34.0,0.358,0.33191422098092954,0.432,0.21690140845070421,0.4482758620689655,0.4805339265850946,0.2740213523131672,0.2411873840445269,399,207,394,329,80,233,True,True,True,True,True,True,0.9431395730936055
Stage92C support_threshold min_p=0.2 min_margin=-0.15 scope=all_non_support,support_threshold_override,all_non_support,,0.2,-0.15,26.0,0.353,0.328803175779469,0.42,0.21971830985915494,0.4482758620689655,0.47138047138047134,0.2756183745583039,0.2394106813996317,391,211,398,333,80,234,True,True,True,True,True,True,0.9337327532442576
Stage92C support_threshold min_p=0.2 min_margin=-0.1 scope=all_non_support,support_threshold_override,all_non_support,,0.2,-0.1,14.0,0.354,0.33161209411557585,0.414,0.22535211267605634,0.46206896551724136,0.47098976109215024,0.2802101576182136,0.24363636363636365,379,216,405,338,78,230,True,True,True,True,True,True,0.94195012228459
Stage92C support_threshold min_p=0.2 min_margin=-0.05 scope=all_non_support,support_threshold_override,all_non_support,,0.2,-0.05,9.0,0.353,0.33136371327753816,0.41,0.22816901408450704,0.46206896551724136,0.4691075514874142,0.28222996515679444,0.2427536231884058,374,219,407,340,78,229,True,True,False,True,True,False,0.941905966798665
Stage92C support_threshold min_p=0.2 min_margin=0.0 scope=all_non_support,support_threshold_override,all_non_support,,0.2,0.0,0.0,0.351,0.33083720750354534,0.402,0.23380281690140844,0.46206896551724136,0.4647398843930636,0.28719723183391005,0.24057450628366248,365,223,412,345,78,226,False,True,False,True,True,False,0.9412879117288975
Stage92C support_threshold min_p=0.2 min_margin=0.05 scope=all_non_support,support_threshold_override,all_non_support,,0.2,0.05,0.0,0.351,0.33083720750354534,0.402,0.23380281690140844,0.46206896551724136,0.4647398843930636,0.28719723183391005,0.24057450628366248,365,223,412,345,78,226,False,True,False,True,True,False,0.9412879117288975
Stage92C support_threshold min_p=0.25 min_margin=-0.25 scope=all_non_support,support_threshold_override,all_non_support,,0.25,-0.25,42.0,0.359,0.3315084005028861,0.438,0.2140845070422535,0.4413793103448276,0.48291069459757446,0.27191413237924866,0.2397003745318352,407,204,389,325,81,235,True,True,True,True,True,True,0.9420295272634495
