name,policy_family,policy_scope,target_support_count,min_support_prob,min_margin,max_ne_gap,changed_from_stage92c,accuracy,macro_f1_all3,support_recall,refute_recall,ne_recall,support_f1,refute_f1,ne_f1,support_pred_count,refute_pred_count,ne_pred_count,false_NE_total,false_entitlement_total,polarity_error_total,acc_delta_vs_stage92c,macro_delta_vs_stage92c,support_recall_delta_vs_stage92c,refute_recall_delta_vs_stage92c,false_NE_delta_vs_stage92c,false_entitlement_delta_vs_stage92c,clean_safe,clean_safe_loose,clean_diagnostic_score
Stage92C clean baseline,baseline,stage92c,,,,,0,0.9777777777777777,0.9677765843179378,1.0,1.0,0.9703703703703703,0.9183673469387755,1.0,0.9849624060150376,106,90,524,0,16,0,0.0,0.0,0.0,0.0,0,0,False,False,2.3455543620957156
Stage92C clean_rank_floor target=106 scope=ne_only,clean_rank_floor,ne_only,106.0,,,,0,0.9777777777777777,0.9677765843179378,1.0,1.0,0.9703703703703703,0.9183673469387755,1.0,0.9849624060150376,106,90,524,0,16,0,0.0,0.0,0.0,0.0,0,0,True,True,2.3455543620957156
Stage92C clean_rank_floor target=108 scope=ne_only,clean_rank_floor,ne_only,108.0,,,,2,0.975,0.9640472521828455,1.0,1.0,0.9666666666666667,0.9090909090909091,1.0,0.983050847457627,108,90,522,0,18,0,-0.002777777777777768,-0.0037293321350923003,0.0,0.0,0,2,False,False,2.3346472521828456
Stage92C clean_rank_floor target=110 scope=ne_only,clean_rank_floor,ne_only,110.0,,,,4,0.9722222222222222,0.960377358490566,1.0,1.0,0.9629629629629629,0.9,1.0,0.9811320754716981,110,90,520,0,20,0,-0.005555555555555536,-0.007399225827371736,0.0,0.0,0,4,False,False,2.3237995807127882
Stage92C clean_rank_floor target=112 scope=ne_only,clean_rank_floor,ne_only,112.0,,,,6,0.9694444444444444,0.9567650526867432,1.0,1.0,0.9592592592592593,0.8910891089108911,1.0,0.9792060491493384,112,90,518,0,22,0,-0.008333333333333304,-0.011011531631194615,0.0,0.0,0,6,False,False,2.313009497131188
Stage92C clean_rank_floor target=114 scope=ne_only,clean_rank_floor,ne_only,114.0,,,,8,0.9666666666666667,0.9532085561497325,1.0,1.0,0.9555555555555556,0.8823529411764706,1.0,0.9772727272727273,114,90,516,0,24,0,-0.011111111111111072,-0.014568028168205238,0.0,0.0,0,8,False,False,2.3022752228163994
Stage92C clean_rank_floor target=116 scope=ne_only,clean_rank_floor,ne_only,116.0,,,,10,0.9638888888888889,0.9497061586927286,1.0,1.0,0.9518518518518518,0.8737864077669902,1.0,0.9753320683111955,116,90,514,0,26,0,-0.01388888888888884,-0.01807042562520922,0.0,0.0,0,10,False,False,2.291595047581618
Stage92C clean_rank_floor target=118 scope=ne_only,clean_rank_floor,ne_only,118.0,,,,12,0.9611111111111111,0.946256215267622,1.0,1.0,0.9481481481481482,0.8653846153846153,1.0,0.973384030418251,118,90,512,0,28,0,-0.016666666666666607,-0.021520369050315735,0.0,0.0,0,12,False,False,2.280967326378733
Stage92C clean_rank_floor target=122 scope=ne_only,clean_rank_floor,ne_only,122.0,,,,16,0.9555555555555556,0.9395074175428489,1.0,1.0,0.9407407407407408,0.8490566037735848,1.0,0.9694656488549619,122,90,508,0,32,0,-0.022222222222222143,-0.02826916677508884,0.0,0.0,0,16,False,False,2.2598629730984046
Stage92C clean_rank_floor target=126 scope=ne_only,clean_rank_floor,ne_only,126.0,,,,20,0.95,0.9329501915708812,1.0,1.0,0.9333333333333333,0.8333333333333333,1.0,0.9655172413793104,126,90,504,0,36,0,-0.02777777777777779,-0.03482639274705657,0.0,0.0,0,20,False,False,2.238950191570881
