adjusted_final_probs,adjusted_pred_final_label,base_final_probs,base_pred_final_label,claim_predicate_families,detector_notes,evidence_predicate_families,gold_final_label,id,predicate_conflict_pair,predicate_detector_mode,predicate_mismatch_flag,seed,selected_alpha,split,stage15_probe_type
"[0.057421697579567735, 0.5230184249062375, 0.41955987751419466]",NOT_ENTITLED,"[0.057421697579567735, 0.5230184249062375, 0.41955987751419466]",NOT_ENTITLED,['deliver'],no_known_conflict;overlap:0.917,['deliver'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_147_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05820252382987389, 0.5929233850120046, 0.3488740911581215]",NOT_ENTITLED,"[0.05820252382987389, 0.5929233850120046, 0.3488740911581215]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.889,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__ferry_launch_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.058814179345363336, 0.6379125401147808, 0.30327328053985575]",NOT_ENTITLED,"[0.058814179345363336, 0.6379125401147808, 0.30327328053985575]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.909,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_088_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.057486909939449646, 0.49549456433830436, 0.44701852572224593]",NOT_ENTITLED,"[0.057486909939449646, 0.49549456433830436, 0.44701852572224593]",NOT_ENTITLED,['restore'],no_known_conflict;overlap:0.917,['restore'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_124_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05872747074712647, 0.5063524012686721, 0.43492012798420143]",NOT_ENTITLED,"[0.05872747074712647, 0.5063524012686721, 0.43492012798420143]",NOT_ENTITLED,['open'],no_known_conflict;overlap:0.900,['open'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_092_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.05632068636592206, 0.5991663396682455, 0.34451297396583247]",NOT_ENTITLED,"[0.05632068636592206, 0.5991663396682455, 0.34451297396583247]",NOT_ENTITLED,['select'],no_known_conflict;overlap:0.917,['select'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_107_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05653372519062288, 0.5372676804265243, 0.40619859438285283]",NOT_ENTITLED,"[0.05653372519062288, 0.5372676804265243, 0.40619859438285283]",NOT_ENTITLED,['deliver'],no_known_conflict;overlap:0.917,['deliver'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_119_none__probe,,lexical_predicate,0,1,1.25,heldout,temporal_mismatch
"[0.057906272103400304, 0.6381292236674021, 0.30396450422919763]",NOT_ENTITLED,"[0.057906272103400304, 0.6381292236674021, 0.30396450422919763]",NOT_ENTITLED,['approve'],no_known_conflict;overlap:0.917,['approve'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_150_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05648909448437752, 0.675184699493276, 0.2683262060223465]",NOT_ENTITLED,"[0.05648909448437752, 0.675184699493276, 0.2683262060223465]",NOT_ENTITLED,['approve'],no_known_conflict;overlap:0.909,['approve'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_066_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
"[0.05919318895910756, 0.5558141457709114, 0.384992665269981]",NOT_ENTITLED,"[0.05919318895910756, 0.5558141457709114, 0.384992665269981]",NOT_ENTITLED,['launch'],no_known_conflict;overlap:0.909,['launch'],NOT_ENTITLED,stage15_temporal_mismatch__stage14_temporality_shift__generated_fact_039_none__probe,,lexical_predicate,0,1,1.25,calibration,temporal_mismatch
