run,group,final_accuracy,final_macro_f1,false_entitled_rate,false_not_entitled_rate
v5_bestdev,__overall__,0.5586419502894083,0.2793086252383807,,
v5_bestdev,frame_location_mismatch,0.750000019868215,0.28305725079918626,0.25,
v5_bestdev,frame_role_mismatch,0.800000011920929,0.2920662598081953,0.20000000000000004,
v5_bestdev,predicate_mismatch,0.79666668176651,0.2944019368670068,0.20333333333333334,
v5_bestdev,sufficiency_control,0.9133333166440328,0.3181695930233942,0.08666666666666667,
v5_bestdev,surface_control,0.13333332849045595,0.06455033992607893,,0.7966666666666667
v5_bestdev,temporal_erased,0.09333333373069763,0.04861111111111111,,0.83
v5_bestdev,temporal_mismatch,0.7699999809265137,0.2873918387772256,0.23,
v6b_bestdev,__overall__,0.6364197532335917,0.32355313607447694,,
v6b_bestdev,frame_location_mismatch,0.6666666766007742,0.2610229276895944,0.3333333333333333,
v6b_bestdev,frame_role_mismatch,0.6499999860922495,0.25341736452847563,0.35000000000000003,
v6b_bestdev,predicate_mismatch,1.0,0.3333333333333333,0.0,
v6b_bestdev,sufficiency_control,0.8900000055631002,0.3138479961677603,0.11,
v6b_bestdev,surface_control,0.1699999993046125,0.07959765102622245,0.0,0.6966666666666667
v6b_bestdev,temporal_erased,0.11333333080013593,0.05822935234699941,0.0,0.7866666666666666
v6b_bestdev,temporal_mismatch,1.0,0.3333333333333333,0.0,
