seed,mode,group,ood_eval_state,ood_eval_epoch,temporal_flag_count,predicate_flag_count,final_accuracy,final_macro_f1,false_entitled_rate,false_not_entitled_rate,prediction_distribution
1,current,__overall__,best_dev,2,100,100,0.598148,0.280367,,,"{""NOT_ENTITLED"": 469, ""REFUTE"": 62, ""SUPPORT"": 9}"
1,current,temporal_mismatch,best_dev,2,100,100,1.000000,0.333333,0.000000,,"{""NOT_ENTITLED"": 100}"
1,current,predicate_mismatch,best_dev,2,100,100,1.000000,0.333333,0.000000,,"{""NOT_ENTITLED"": 100}"
1,current,surface_control,best_dev,2,100,100,0.040000,0.025641,0.000000,0.750000,"{""NOT_ENTITLED"": 75, ""REFUTE"": 21, ""SUPPORT"": 4}"
1,current,temporal_erased,best_dev,2,100,100,0.020000,0.013072,0.000000,0.770000,"{""NOT_ENTITLED"": 77, ""REFUTE"": 21, ""SUPPORT"": 2}"
1,no_flags,__overall__,best_dev,2,0,0,0.505556,0.253298,,,"{""NOT_ENTITLED"": 419, ""REFUTE"": 108, ""SUPPORT"": 13}"
1,no_flags,temporal_mismatch,best_dev,2,0,0,0.780000,0.292135,0.220000,,"{""NOT_ENTITLED"": 78, ""REFUTE"": 21, ""SUPPORT"": 1}"
1,no_flags,predicate_mismatch,best_dev,2,0,0,0.720000,0.279070,0.280000,,"{""NOT_ENTITLED"": 72, ""REFUTE"": 25, ""SUPPORT"": 3}"
1,no_flags,surface_control,best_dev,2,0,0,0.040000,0.025641,0.000000,0.750000,"{""NOT_ENTITLED"": 75, ""REFUTE"": 21, ""SUPPORT"": 4}"
1,no_flags,temporal_erased,best_dev,2,0,0,0.020000,0.013072,0.000000,0.770000,"{""NOT_ENTITLED"": 77, ""REFUTE"": 21, ""SUPPORT"": 2}"
1,temporal_only,__overall__,best_dev,2,100,0,0.546296,0.265560,,,"{""NOT_ENTITLED"": 441, ""REFUTE"": 87, ""SUPPORT"": 12}"
1,temporal_only,temporal_mismatch,best_dev,2,100,0,1.000000,0.333333,0.000000,,"{""NOT_ENTITLED"": 100}"
1,temporal_only,predicate_mismatch,best_dev,2,100,0,0.720000,0.279070,0.280000,,"{""NOT_ENTITLED"": 72, ""REFUTE"": 25, ""SUPPORT"": 3}"
1,temporal_only,surface_control,best_dev,2,100,0,0.040000,0.025641,0.000000,0.750000,"{""NOT_ENTITLED"": 75, ""REFUTE"": 21, ""SUPPORT"": 4}"
1,temporal_only,temporal_erased,best_dev,2,100,0,0.020000,0.013072,0.000000,0.770000,"{""NOT_ENTITLED"": 77, ""REFUTE"": 21, ""SUPPORT"": 2}"
1,predicate_only,__overall__,best_dev,2,0,100,0.557407,0.268942,,,"{""NOT_ENTITLED"": 447, ""REFUTE"": 83, ""SUPPORT"": 10}"
1,predicate_only,temporal_mismatch,best_dev,2,0,100,0.780000,0.292135,0.220000,,"{""NOT_ENTITLED"": 78, ""REFUTE"": 21, ""SUPPORT"": 1}"
1,predicate_only,predicate_mismatch,best_dev,2,0,100,1.000000,0.333333,0.000000,,"{""NOT_ENTITLED"": 100}"
1,predicate_only,surface_control,best_dev,2,0,100,0.040000,0.025641,0.000000,0.750000,"{""NOT_ENTITLED"": 75, ""REFUTE"": 21, ""SUPPORT"": 4}"
1,predicate_only,temporal_erased,best_dev,2,0,100,0.020000,0.013072,0.000000,0.770000,"{""NOT_ENTITLED"": 77, ""REFUTE"": 21, ""SUPPORT"": 2}"
2,current,__overall__,best_dev,1,100,100,0.703704,0.433340,,,"{""NOT_ENTITLED"": 411, ""REFUTE"": 12, ""SUPPORT"": 117}"
2,current,temporal_mismatch,best_dev,1,100,100,1.000000,0.333333,0.000000,,"{""NOT_ENTITLED"": 100}"
2,current,predicate_mismatch,best_dev,1,100,100,1.000000,0.333333,0.000000,,"{""NOT_ENTITLED"": 100}"
2,current,surface_control,best_dev,1,100,100,0.470000,0.213152,0.000000,0.460000,"{""NOT_ENTITLED"": 46, ""REFUTE"": 7, ""SUPPORT"": 47}"
2,current,temporal_erased,best_dev,1,100,100,0.320000,0.161616,0.000000,0.640000,"{""NOT_ENTITLED"": 64, ""REFUTE"": 4, ""SUPPORT"": 32}"
2,no_flags,__overall__,best_dev,1,0,0,0.546296,0.350228,,,"{""NOT_ENTITLED"": 326, ""REFUTE"": 21, ""SUPPORT"": 193}"
2,no_flags,temporal_mismatch,best_dev,1,0,0,0.520000,0.228070,0.480000,,"{""NOT_ENTITLED"": 52, ""REFUTE"": 4, ""SUPPORT"": 44}"
2,no_flags,predicate_mismatch,best_dev,1,0,0,0.630000,0.257669,0.370000,,"{""NOT_ENTITLED"": 63, ""REFUTE"": 5, ""SUPPORT"": 32}"
2,no_flags,surface_control,best_dev,1,0,0,0.470000,0.213152,0.000000,0.460000,"{""NOT_ENTITLED"": 46, ""REFUTE"": 7, ""SUPPORT"": 47}"
2,no_flags,temporal_erased,best_dev,1,0,0,0.320000,0.161616,0.000000,0.640000,"{""NOT_ENTITLED"": 64, ""REFUTE"": 4, ""SUPPORT"": 32}"
2,temporal_only,__overall__,best_dev,1,100,0,0.635185,0.397406,,,"{""NOT_ENTITLED"": 374, ""REFUTE"": 17, ""SUPPORT"": 149}"
2,temporal_only,temporal_mismatch,best_dev,1,100,0,1.000000,0.333333,0.000000,,"{""NOT_ENTITLED"": 100}"
2,temporal_only,predicate_mismatch,best_dev,1,100,0,0.630000,0.257669,0.370000,,"{""NOT_ENTITLED"": 63, ""REFUTE"": 5, ""SUPPORT"": 32}"
