seed,shift,group,ood_eval_state,ood_eval_epoch,temporal_flag_count,predicate_flag_count,unflagged_count,final_accuracy,final_macro_f1,false_entitled_rate,false_not_entitled_rate,prediction_distribution
1,0,__overall__,best_dev,2,100,100,340,0.5981481671333313,0.28036660929771334,,,"{""NOT_ENTITLED"": 469, ""REFUTE"": 62, ""SUPPORT"": 9}"
1,0,temporal_mismatch,best_dev,2,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
1,0,predicate_mismatch,best_dev,2,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
1,0,surface_control,best_dev,2,100,100,340,0.03999999910593033,0.025641025641025644,0.0,0.75,"{""NOT_ENTITLED"": 75, ""REFUTE"": 21, ""SUPPORT"": 4}"
1,0,temporal_erased,best_dev,2,100,100,340,0.019999999552965164,0.013071895424836602,0.0,0.77,"{""NOT_ENTITLED"": 77, ""REFUTE"": 21, ""SUPPORT"": 2}"
1,0,sufficiency_control,best_dev,2,100,100,340,0.8799999952316284,0.3120567375886525,0.12,,"{""NOT_ENTITLED"": 88, ""REFUTE"": 12}"
1,0,frame_location_mismatch,best_dev,2,100,100,340,0.800000011920929,0.29629629629629634,0.2,,"{""NOT_ENTITLED"": 16, ""REFUTE"": 4}"
1,0,frame_role_mismatch,best_dev,2,100,100,340,0.6499999761581421,0.26262626262626265,0.35,,"{""NOT_ENTITLED"": 13, ""REFUTE"": 4, ""SUPPORT"": 3}"
1,0.25,__overall__,best_dev,2,100,100,340,0.6888889074325562,0.5042084981239224,,,"{""NOT_ENTITLED"": 268, ""REFUTE"": 126, ""SUPPORT"": 146}"
1,0.25,temporal_mismatch,best_dev,2,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
1,0.25,predicate_mismatch,best_dev,2,100,100,340,1.0,0.3333333333333333,0.0,,"{""NOT_ENTITLED"": 100}"
1,0.25,surface_control,best_dev,2,100,100,340,0.6200000047683716,0.2551440329218107,0.0,0.04,"{""NOT_ENTITLED"": 4, ""REFUTE"": 34, ""SUPPORT"": 62}"
1,0.25,temporal_erased,best_dev,2,100,100,340,0.5400000214576721,0.23376623376623376,0.0,0.08,"{""NOT_ENTITLED"": 8, ""REFUTE"": 38, ""SUPPORT"": 54}"
1,0.25,sufficiency_control,best_dev,2,100,100,340,0.5400000214576721,0.23376623376623376,0.46,,"{""NOT_ENTITLED"": 54, ""REFUTE"": 37, ""SUPPORT"": 9}"
