section,config,metric,mean,std,formatted
classification,v2_full4e,accuracy,0.8435897429784139,0.013507240524221253,0.844 ± 0.014
classification,v2_full4e,macro-F1,0.8196703713025465,0.01441725783715625,0.820 ± 0.014
classification,v2_full4e,frame,0.8692307670911154,0.010175971606594399,0.869 ± 0.010
classification,v2_full4e,predicate,0.9230769276618958,0.034615397453308105,0.923 ± 0.035
classification,v2_full4e,polarity,1.0,0.0,1.000 ± 0.000
classification,v2_full4e,sufficiency,1.0,0.0,1.000 ± 0.000
classification,v2_no_intervention,accuracy,0.8974358836809794,0.011750206396069444,0.897 ± 0.012
classification,v2_no_intervention,macro-F1,0.8698443792438364,0.00612831387955604,0.870 ± 0.006
classification,v2_no_intervention,frame,0.9051282008488973,0.005875119456531811,0.905 ± 0.006
classification,v2_no_intervention,predicate,0.9487179319063822,0.0022205864292543036,0.949 ± 0.002
classification,v2_no_intervention,polarity,1.0,0.0,1.000 ± 0.000
classification,v2_no_intervention,sufficiency,0.9987179438273112,0.0022205864292543036,0.999 ± 0.002
classification,v2_no_predicate_contrast,accuracy,0.7935897509256998,0.022205795467027625,0.794 ± 0.022
classification,v2_no_predicate_contrast,macro-F1,0.783636648579925,0.009980635275191182,0.784 ± 0.010
classification,v2_no_predicate_contrast,frame,0.8769230643908182,0.020351920684750648,0.877 ± 0.020
classification,v2_no_predicate_contrast,predicate,0.8461538553237915,0.02692307744707784,0.846 ± 0.027
classification,v2_no_predicate_contrast,polarity,1.0,0.0,1.000 ± 0.000
classification,v2_no_predicate_contrast,sufficiency,1.0,0.0,1.000 ± 0.000
classification,v2_no_polarity_flip,accuracy,0.8756410082181295,0.025608960981333778,0.876 ± 0.026
classification,v2_no_polarity_flip,macro-F1,0.8503937667372128,0.016933824244427353,0.850 ± 0.017
classification,v2_no_polarity_flip,frame,0.8935897548993429,0.013507240524221253,0.894 ± 0.014
classification,v2_no_polarity_flip,predicate,0.9448718031247457,0.011750206396069444,0.945 ± 0.012
classification,v2_no_polarity_flip,polarity,1.0,0.0,1.000 ± 0.000
classification,v2_no_polarity_flip,sufficiency,1.0,0.0,1.000 ± 0.000
pairwise,v2_full4e,paraphrase,0.7333333333333334,0.12583057392117916,0.733 ± 0.126
pairwise,v2_full4e,predicate-pair,0.9500000000000001,0.04999999999999999,0.950 ± 0.050
pairwise,v2_full4e,polarity-flip,0.8833333333333333,0.07637626158259729,0.883 ± 0.076
pairwise,v2_full4e,deletion,1.0,0.0,1.000 ± 0.000
pairwise,v2_full4e,truncation,1.0,0.0,1.000 ± 0.000
pairwise,v2_full4e,entity,1.0,0.0,1.000 ± 0.000
pairwise,v2_full4e,event,1.0,0.0,1.000 ± 0.000
pairwise,v2_no_intervention,paraphrase,0.5833333333333334,0.1607275126832159,0.583 ± 0.161
pairwise,v2_no_intervention,predicate-pair,0.75,0.09999999999999998,0.750 ± 0.100
pairwise,v2_no_intervention,polarity-flip,0.21666666666666667,0.20207259421636903,0.217 ± 0.202
