section,configuration,metric,mean,std
classification,v2_full4e,accuracy,0.844,0.014
classification,v2_full4e,macro_f1,0.820,0.014
classification,v2_full4e,frame,0.869,0.010
classification,v2_full4e,predicate,0.923,0.035
classification,v2_full4e,polarity,1.000,0.000
classification,v2_full4e,sufficiency,1.000,0.000
classification,v2_no_intervention,accuracy,0.897,0.012
classification,v2_no_intervention,macro_f1,0.870,0.006
classification,v2_no_intervention,frame,0.905,0.006
classification,v2_no_intervention,predicate,0.949,0.002
classification,v2_no_intervention,polarity,1.000,0.000
classification,v2_no_intervention,sufficiency,0.999,0.002
pairwise,v2_full4e,paraphrase,0.733,0.126
pairwise,v2_full4e,predicate_pair,0.950,0.050
pairwise,v2_full4e,polarity_flip,0.883,0.076
pairwise,v2_full4e,deletion,1.000,0.000
pairwise,v2_full4e,truncation,1.000,0.000
pairwise,v2_full4e,entity,1.000,0.000
pairwise,v2_full4e,event,1.000,0.000
pairwise,v2_no_intervention,paraphrase,0.583,0.161
pairwise,v2_no_intervention,predicate_pair,0.750,0.100
pairwise,v2_no_intervention,polarity_flip,0.217,0.202
pairwise,v2_no_intervention,deletion,1.000,0.000
pairwise,v2_no_intervention,truncation,1.000,0.000
pairwise,v2_no_intervention,entity,0.983,0.029
pairwise,v2_no_intervention,event,1.000,0.000
