section,system,metric,mean,std,n,formatted
classification,classifier_only,NOT_ENTITLED_f1,0.9291262258028582,0.009033327842481936,3,0.929 ± 0.009
classification,classifier_only,REFUTE_f1,1.0,0.0,3,1.000 ± 0.000
classification,classifier_only,SUPPORT_f1,0.680406911928651,0.010320697594768837,3,0.680 ± 0.010
classification,classifier_only,final_accuracy,0.8974358974358975,0.011750194089630378,3,0.897 ± 0.012
classification,classifier_only,final_macro_f1,0.8698443792438364,0.00612831387955604,3,0.870 ± 0.006
classification,balanced_only,NOT_ENTITLED_f1,0.9124166768568512,0.019662212908158505,3,0.912 ± 0.020
classification,balanced_only,REFUTE_f1,0.9945355191256832,0.00946475851130535,3,0.995 ± 0.009
classification,balanced_only,SUPPORT_f1,0.6442291042291042,0.028294278580066334,3,0.644 ± 0.028
classification,balanced_only,final_accuracy,0.8756410256410256,0.025608954301843838,3,0.876 ± 0.026
classification,balanced_only,final_macro_f1,0.8503937667372128,0.016933824244427177,3,0.850 ± 0.017
classification,strict_only,NOT_ENTITLED_f1,0.8886177562802394,0.010669514219113444,3,0.889 ± 0.011
classification,strict_only,REFUTE_f1,1.0,0.0,3,1.000 ± 0.000
classification,strict_only,SUPPORT_f1,0.5703933576274002,0.03353635712081313,3,0.570 ± 0.034
classification,strict_only,final_accuracy,0.8435897435897436,0.013507248401093207,3,0.844 ± 0.014
classification,strict_only,final_macro_f1,0.8196703713025465,0.01441725783715625,3,0.820 ± 0.014
classification,conservative_balanced_router,NOT_ENTITLED_f1,0.9401975492874298,0.009961188842536115,3,0.940 ± 0.010
classification,conservative_balanced_router,REFUTE_f1,1.0,0.0,3,1.000 ± 0.000
classification,conservative_balanced_router,SUPPORT_f1,0.6944279502748674,0.017159755664238437,3,0.694 ± 0.017
classification,conservative_balanced_router,final_accuracy,0.9115384615384615,0.013867504905630724,3,0.912 ± 0.014
classification,conservative_balanced_router,final_macro_f1,0.878208499854099,0.009004692959302623,3,0.878 ± 0.009
classification,conservative_strict_router,NOT_ENTITLED_f1,0.9322632675944261,0.009352137004370481,3,0.932 ± 0.009
classification,conservative_strict_router,REFUTE_f1,0.9947089947089948,0.009164289987136948,3,0.995 ± 0.009
classification,conservative_strict_router,SUPPORT_f1,0.6649178413294684,0.027047763413702814,3,0.665 ± 0.027
classification,conservative_strict_router,final_accuracy,0.9,0.013323467750529842,3,0.900 ± 0.013
classification,conservative_strict_router,final_macro_f1,0.8639633678776297,0.010536197744877306,3,0.864 ± 0.011
classification,dual_auditor_router,NOT_ENTITLED_f1,0.937889077650018,0.009746301618914514,3,0.938 ± 0.010
classification,dual_auditor_router,REFUTE_f1,0.9947089947089948,0.009164289987136948,3,0.995 ± 0.009
classification,dual_auditor_router,SUPPORT_f1,0.6802712865968306,0.02823114560484226,3,0.680 ± 0.028
classification,dual_auditor_router,final_accuracy,0.9076923076923077,0.013867504905630679,3,0.908 ± 0.014
classification,dual_auditor_router,final_macro_f1,0.870956452985281,0.01047840353233845,3,0.871 ± 0.010
pairwise,classifier_only,deletion_sufficiency_lower,1.0,0.0,3,1.000 ± 0.000
pairwise,classifier_only,entity_frame_lower,0.9666666666666667,0.028867513459481315,3,0.967 ± 0.029
