section,system,metric,value
classification,classifier_only,final_accuracy,0.9076923076923077
classification,classifier_only,final_macro_f1,0.8764934890589341
classification,classifier_only,REFUTE_f1,1.0
classification,classifier_only,NOT_ENTITLED_f1,0.93717277486911
classification,classifier_only,SUPPORT_f1,0.6923076923076923
classification,classifier_only,prediction_distribution,"{""NOT_ENTITLED"": 182, ""REFUTE"": 30, ""SUPPORT"": 48}"
pairwise,classifier_only,paraphrase_preserved,0.85
pairwise,classifier_only,predicate_disentangled,0.8
pairwise,classifier_only,polarity_flip_preserved_and_reversed,0.85
pairwise,classifier_only,deletion_sufficiency_lower,1.0
pairwise,classifier_only,truncation_sufficiency_lower,1.0
pairwise,classifier_only,entity_frame_lower,1.0
pairwise,classifier_only,event_frame_lower,0.95
internal_faithfulness,classifier_only,entitled_output_gate_violation_rate,0.2948717948717949
internal_faithfulness,classifier_only,entitled_output_gate_violations,23
internal_faithfulness,classifier_only,entitled_output_count,78
internal_faithfulness,classifier_only,polarity_flip_output_ok,0.85
internal_faithfulness,classifier_only,polarity_flip_internal_ok,0.45
internal_faithfulness,classifier_only,polarity_flip_output_internal_gap,0.39999999999999997
internal_faithfulness,classifier_only,polarity_flip_output_ok_but_internal_bad,8
classification,balanced_only,final_accuracy,0.8692307692307693
classification,balanced_only,final_macro_f1,0.8428592967972869
classification,balanced_only,REFUTE_f1,0.9836065573770492
classification,balanced_only,NOT_ENTITLED_f1,0.907608695652174
classification,balanced_only,SUPPORT_f1,0.6373626373626373
classification,balanced_only,prediction_distribution,"{""NOT_ENTITLED"": 168, ""REFUTE"": 31, ""SUPPORT"": 61}"
pairwise,balanced_only,paraphrase_preserved,0.95
pairwise,balanced_only,predicate_disentangled,0.9
pairwise,balanced_only,polarity_flip_preserved_and_reversed,0.95
pairwise,balanced_only,deletion_sufficiency_lower,1.0
pairwise,balanced_only,truncation_sufficiency_lower,1.0
pairwise,balanced_only,entity_frame_lower,0.9
pairwise,balanced_only,event_frame_lower,0.85
internal_faithfulness,balanced_only,entitled_output_gate_violation_rate,0.13043478260869565
internal_faithfulness,balanced_only,entitled_output_gate_violations,12
internal_faithfulness,balanced_only,entitled_output_count,92
internal_faithfulness,balanced_only,polarity_flip_output_ok,0.95
internal_faithfulness,balanced_only,polarity_flip_internal_ok,0.9
internal_faithfulness,balanced_only,polarity_flip_output_internal_gap,0.04999999999999993
internal_faithfulness,balanced_only,polarity_flip_output_ok_but_internal_bad,1
classification,strict_only,final_accuracy,0.8576923076923076
classification,strict_only,final_macro_f1,0.8310451968988555
classification,strict_only,REFUTE_f1,1.0
classification,strict_only,NOT_ENTITLED_f1,0.8997289972899729
classification,strict_only,SUPPORT_f1,0.5934065934065934
classification,strict_only,prediction_distribution,"{""NOT_ENTITLED"": 169, ""REFUTE"": 30, ""SUPPORT"": 61}"
pairwise,strict_only,paraphrase_preserved,0.85
pairwise,strict_only,predicate_disentangled,0.8
pairwise,strict_only,polarity_flip_preserved_and_reversed,0.9
pairwise,strict_only,deletion_sufficiency_lower,1.0
pairwise,strict_only,truncation_sufficiency_lower,1.0
pairwise,strict_only,entity_frame_lower,0.95
pairwise,strict_only,event_frame_lower,0.85
internal_faithfulness,strict_only,entitled_output_gate_violation_rate,0.07692307692307693
internal_faithfulness,strict_only,entitled_output_gate_violations,7
internal_faithfulness,strict_only,entitled_output_count,91
internal_faithfulness,strict_only,polarity_flip_output_ok,0.9
internal_faithfulness,strict_only,polarity_flip_internal_ok,0.9
internal_faithfulness,strict_only,polarity_flip_output_internal_gap,0.0
internal_faithfulness,strict_only,polarity_flip_output_ok_but_internal_bad,0
classification,conservative_balanced_router,final_accuracy,0.9153846153846154
classification,conservative_balanced_router,final_macro_f1,0.8819026280166177
classification,conservative_balanced_router,REFUTE_f1,1.0
classification,conservative_balanced_router,NOT_ENTITLED_f1,0.9430051813471503
classification,conservative_balanced_router,SUPPORT_f1,0.7027027027027027
classification,conservative_balanced_router,prediction_distribution,"{""NOT_ENTITLED"": 186, ""REFUTE"": 30, ""SUPPORT"": 44}"
pairwise,conservative_balanced_router,paraphrase_preserved,0.8
pairwise,conservative_balanced_router,predicate_disentangled,0.85
pairwise,conservative_balanced_router,polarity_flip_preserved_and_reversed,0.85
pairwise,conservative_balanced_router,deletion_sufficiency_lower,1.0
pairwise,conservative_balanced_router,truncation_sufficiency_lower,1.0
pairwise,conservative_balanced_router,entity_frame_lower,1.0
pairwise,conservative_balanced_router,event_frame_lower,1.0
internal_faithfulness,conservative_balanced_router,entitled_output_gate_violation_rate,0.0
internal_faithfulness,conservative_balanced_router,entitled_output_gate_violations,0
internal_faithfulness,conservative_balanced_router,entitled_output_count,74
internal_faithfulness,conservative_balanced_router,polarity_flip_output_ok,0.85
internal_faithfulness,conservative_balanced_router,polarity_flip_internal_ok,0.85
internal_faithfulness,conservative_balanced_router,polarity_flip_output_internal_gap,0.0
internal_faithfulness,conservative_balanced_router,polarity_flip_output_ok_but_internal_bad,0
classification,conservative_strict_router,final_accuracy,0.9076923076923077
classification,conservative_strict_router,final_macro_f1,0.8711665032908557
classification,conservative_strict_router,REFUTE_f1,1.0
classification,conservative_strict_router,NOT_ENTITLED_f1,0.9378238341968912
classification,conservative_strict_router,SUPPORT_f1,0.6756756756756757
classification,conservative_strict_router,prediction_distribution,"{""NOT_ENTITLED"": 186, ""REFUTE"": 30, ""SUPPORT"": 44}"
pairwise,conservative_strict_router,paraphrase_preserved,0.75
pairwise,conservative_strict_router,predicate_disentangled,0.8
pairwise,conservative_strict_router,polarity_flip_preserved_and_reversed,0.85
pairwise,conservative_strict_router,deletion_sufficiency_lower,1.0
pairwise,conservative_strict_router,truncation_sufficiency_lower,1.0
pairwise,conservative_strict_router,entity_frame_lower,1.0
pairwise,conservative_strict_router,event_frame_lower,1.0
internal_faithfulness,conservative_strict_router,entitled_output_gate_violation_rate,0.0
