threshold,system,final_accuracy,final_macro_f1,NOT_ENTITLED_f1,REFUTE_f1,SUPPORT_f1,entitled_output_count,entitled_output_gate_violation_rate,entitled_output_gate_violations,polarity_flip_output_ok,polarity_flip_internal_ok,polarity_flip_output_internal_gap,polarity_flip_output_ok_but_internal_bad,paraphrase_preserved,predicate_disentangled,polarity_flip_preserved_and_reversed,deletion_sufficiency_lower,truncation_sufficiency_lower,entity_frame_lower,event_frame_lower
0.3,conservative_balanced_router,0.8923076923076924,0.869116698903933,0.925531914893617,1.0,0.6818181818181818,84,0.0,0,0.95,0.95,0.0,0,0.9,0.95,0.95,1.0,1.0,1.0,1.0
0.3,conservative_strict_router,0.8884615384615384,0.8632478632478633,0.9230769230769231,1.0,0.6666666666666666,83,0.0,0,1.0,1.0,0.0,0,0.85,1.0,1.0,1.0,1.0,0.95,1.0
0.3,dual_auditor_router,0.8884615384615384,0.8607687930053288,0.9234828496042217,1.0,0.6588235294117647,81,0.0,0,0.95,0.95,0.0,0,0.9,0.95,0.95,1.0,1.0,1.0,1.0
0.4,conservative_balanced_router,0.8961538461538462,0.8726790450928382,0.9283819628647215,1.0,0.6896551724137931,83,0.0,0,0.95,0.95,0.0,0,0.9,0.95,0.95,1.0,1.0,1.0,1.0
0.4,conservative_strict_router,0.8846153846153846,0.8546365914786967,0.9210526315789473,1.0,0.6428571428571429,80,0.0,0,0.95,0.95,0.0,0,0.85,0.95,0.95,1.0,1.0,1.0,1.0
0.4,dual_auditor_router,0.8846153846153846,0.8546365914786967,0.9210526315789473,1.0,0.6428571428571429,80,0.0,0,0.95,0.95,0.0,0,0.85,0.95,0.95,1.0,1.0,1.0,1.0
0.5,conservative_balanced_router,0.8961538461538462,0.8679442178161465,0.9291338582677166,1.0,0.6746987951807228,79,0.0,0,0.95,0.95,0.0,0,0.8,0.95,0.95,1.0,1.0,1.0,1.0
0.5,conservative_strict_router,0.8846153846153846,0.8518707700166006,0.9214659685863874,1.0,0.6341463414634146,78,0.0,0,0.95,0.95,0.0,0,0.8,0.95,0.95,1.0,1.0,1.0,1.0
0.5,dual_auditor_router,0.8923076923076924,0.8590277777777778,0.9270833333333334,1.0,0.65,76,0.0,0,0.95,0.95,0.0,0,0.8,0.95,0.95,1.0,1.0,1.0,1.0
0.6,conservative_balanced_router,0.8961538461538462,0.8679442178161465,0.9291338582677166,1.0,0.6746987951807228,79,0.0,0,0.95,0.95,0.0,0,0.8,0.95,0.95,1.0,1.0,1.0,1.0
0.6,conservative_strict_router,0.8807692307692307,0.8420995670995671,0.9194805194805195,0.9818181818181818,0.625,75,0.0,0,0.9,0.9,0.0,0,0.75,0.95,0.9,1.0,1.0,1.0,1.0
0.6,dual_auditor_router,0.8846153846153846,0.8456697889897864,0.9222797927461139,0.9818181818181818,0.6329113924050633,74,0.0,0,0.9,0.9,0.0,0,0.75,0.95,0.9,1.0,1.0,1.0,1.0
0.7,conservative_balanced_router,0.8923076923076924,0.8617460520154939,0.9267015706806283,1.0,0.6585365853658537,78,0.0,0,0.95,0.95,0.0,0,0.75,0.95,0.95,1.0,1.0,1.0,1.0
0.7,conservative_strict_router,0.8769230769230769,0.8177933177933179,0.9191919191919192,0.9230769230769231,0.6111111111111112,64,0.0,0,0.85,0.85,0.0,0,0.65,0.85,0.85,1.0,1.0,1.0,1.0
0.7,dual_auditor_router,0.8769230769230769,0.8177933177933179,0.9191919191919192,0.9230769230769231,0.6111111111111112,64,0.0,0,0.85,0.85,0.0,0,0.65,0.85,0.85,1.0,1.0,1.0,1.0
