seed,threshold,system,metric,value
3,0.3,raw_classifier_only,final_accuracy,0.9
3,0.3,raw_classifier_only,final_macro_f1,0.8686170212765957
3,0.3,raw_classifier_only,NOT_ENTITLED_f1,0.9308510638297872
3,0.3,raw_classifier_only,REFUTE_f1,1.0
3,0.3,raw_classifier_only,SUPPORT_f1,0.675
3,0.3,raw_classifier_only,entitled_output_count,84
3,0.3,raw_classifier_only,entitled_output_gate_violation_rate,0.08333333333333333
3,0.3,raw_classifier_only,entitled_output_gate_violations,7
3,0.3,raw_classifier_only,polarity_flip_output_ok,0.95
3,0.3,raw_classifier_only,polarity_flip_internal_ok,0.85
3,0.3,raw_classifier_only,polarity_flip_output_internal_gap,0.09999999999999998
3,0.3,raw_classifier_only,polarity_flip_output_ok_but_internal_bad,2
3,0.3,raw_classifier_only,paraphrase_preserved,0.95
3,0.3,raw_classifier_only,predicate_disentangled,0.85
3,0.3,raw_classifier_only,polarity_flip_preserved_and_reversed,0.95
3,0.3,raw_classifier_only,deletion_sufficiency_lower,1.0
3,0.3,raw_classifier_only,truncation_sufficiency_lower,1.0
3,0.3,raw_classifier_only,entity_frame_lower,0.95
3,0.3,raw_classifier_only,event_frame_lower,1.0
3,0.3,self_routed_classifier,final_accuracy,0.8961538461538462
3,0.3,self_routed_classifier,final_macro_f1,0.8532136342501521
3,0.3,self_routed_classifier,NOT_ENTITLED_f1,0.9295039164490861
3,0.3,self_routed_classifier,REFUTE_f1,1.0
3,0.3,self_routed_classifier,SUPPORT_f1,0.6301369863013698
3,0.3,self_routed_classifier,entitled_output_count,77
3,0.3,self_routed_classifier,entitled_output_gate_violation_rate,0.0
3,0.3,self_routed_classifier,entitled_output_gate_violations,0
3,0.3,self_routed_classifier,polarity_flip_output_ok,0.85
3,0.3,self_routed_classifier,polarity_flip_internal_ok,0.85
3,0.3,self_routed_classifier,polarity_flip_output_internal_gap,0.0
3,0.3,self_routed_classifier,polarity_flip_output_ok_but_internal_bad,0
3,0.3,self_routed_classifier,paraphrase_preserved,0.85
3,0.3,self_routed_classifier,predicate_disentangled,0.8
3,0.3,self_routed_classifier,polarity_flip_preserved_and_reversed,0.85
3,0.3,self_routed_classifier,deletion_sufficiency_lower,1.0
3,0.3,self_routed_classifier,truncation_sufficiency_lower,1.0
3,0.3,self_routed_classifier,entity_frame_lower,0.95
3,0.3,self_routed_classifier,event_frame_lower,1.0
3,0.3,raw_balanced_only,final_accuracy,0.9038461538461539
