seed,threshold,system,metric,value
2,0.3,conservative_balanced_router,final_accuracy,0.8923076923076924
2,0.3,conservative_balanced_router,final_macro_f1,0.869116698903933
2,0.3,conservative_balanced_router,NOT_ENTITLED_f1,0.925531914893617
2,0.3,conservative_balanced_router,REFUTE_f1,1.0
2,0.3,conservative_balanced_router,SUPPORT_f1,0.6818181818181818
2,0.3,conservative_balanced_router,entitled_output_count,84
2,0.3,conservative_balanced_router,entitled_output_gate_violation_rate,0.0
2,0.3,conservative_balanced_router,entitled_output_gate_violations,0
2,0.3,conservative_balanced_router,polarity_flip_output_ok,0.95
2,0.3,conservative_balanced_router,polarity_flip_internal_ok,0.95
2,0.3,conservative_balanced_router,polarity_flip_output_internal_gap,0.0
2,0.3,conservative_balanced_router,polarity_flip_output_ok_but_internal_bad,0
2,0.3,conservative_balanced_router,paraphrase_preserved,0.9
2,0.3,conservative_balanced_router,predicate_disentangled,0.95
2,0.3,conservative_balanced_router,polarity_flip_preserved_and_reversed,0.95
2,0.3,conservative_balanced_router,deletion_sufficiency_lower,1.0
2,0.3,conservative_balanced_router,truncation_sufficiency_lower,1.0
2,0.3,conservative_balanced_router,entity_frame_lower,1.0
2,0.3,conservative_balanced_router,event_frame_lower,1.0
2,0.3,self_routed_balanced,final_accuracy,0.8730769230769231
2,0.3,self_routed_balanced,final_macro_f1,0.8520708344201954
2,0.3,self_routed_balanced,NOT_ENTITLED_f1,0.9110512129380054
2,0.3,self_routed_balanced,REFUTE_f1,1.0
2,0.3,self_routed_balanced,SUPPORT_f1,0.6451612903225806
2,0.3,self_routed_balanced,entitled_output_count,89
2,0.3,self_routed_balanced,entitled_output_gate_violation_rate,0.0
2,0.3,self_routed_balanced,entitled_output_gate_violations,0
2,0.3,self_routed_balanced,polarity_flip_output_ok,0.95
2,0.3,self_routed_balanced,polarity_flip_internal_ok,0.95
2,0.3,self_routed_balanced,polarity_flip_output_internal_gap,0.0
2,0.3,self_routed_balanced,polarity_flip_output_ok_but_internal_bad,0
2,0.3,self_routed_balanced,paraphrase_preserved,0.9
2,0.3,self_routed_balanced,predicate_disentangled,0.85
2,0.3,self_routed_balanced,polarity_flip_preserved_and_reversed,0.95
2,0.3,self_routed_balanced,deletion_sufficiency_lower,1.0
2,0.3,self_routed_balanced,truncation_sufficiency_lower,1.0
2,0.3,self_routed_balanced,entity_frame_lower,1.0
2,0.3,self_routed_balanced,event_frame_lower,0.95
2,0.3,agreement_keep_router,final_accuracy,0.8923076923076924
2,0.3,agreement_keep_router,final_macro_f1,0.869116698903933
2,0.3,agreement_keep_router,NOT_ENTITLED_f1,0.925531914893617
2,0.3,agreement_keep_router,REFUTE_f1,1.0
2,0.3,agreement_keep_router,SUPPORT_f1,0.6818181818181818
2,0.3,agreement_keep_router,entitled_output_count,84
2,0.3,agreement_keep_router,entitled_output_gate_violation_rate,0.0
2,0.3,agreement_keep_router,entitled_output_gate_violations,0
2,0.3,agreement_keep_router,polarity_flip_output_ok,0.95
2,0.3,agreement_keep_router,polarity_flip_internal_ok,0.95
2,0.3,agreement_keep_router,polarity_flip_output_internal_gap,0.0
2,0.3,agreement_keep_router,polarity_flip_output_ok_but_internal_bad,0
2,0.3,agreement_keep_router,paraphrase_preserved,0.9
2,0.3,agreement_keep_router,predicate_disentangled,0.95
2,0.3,agreement_keep_router,polarity_flip_preserved_and_reversed,0.95
2,0.3,agreement_keep_router,deletion_sufficiency_lower,1.0
2,0.3,agreement_keep_router,truncation_sufficiency_lower,1.0
2,0.3,agreement_keep_router,entity_frame_lower,1.0
2,0.3,agreement_keep_router,event_frame_lower,1.0
2,0.3,balanced_override_router,final_accuracy,0.8769230769230769
2,0.3,balanced_override_router,final_macro_f1,0.8553841358890447
2,0.3,balanced_override_router,NOT_ENTITLED_f1,0.9139784946236559
2,0.3,balanced_override_router,REFUTE_f1,1.0
2,0.3,balanced_override_router,SUPPORT_f1,0.6521739130434783
2,0.3,balanced_override_router,entitled_output_count,88
2,0.3,balanced_override_router,entitled_output_gate_violation_rate,0.0
2,0.3,balanced_override_router,entitled_output_gate_violations,0
2,0.3,balanced_override_router,polarity_flip_output_ok,0.95
2,0.3,balanced_override_router,polarity_flip_internal_ok,0.95
2,0.3,balanced_override_router,polarity_flip_output_internal_gap,0.0
2,0.3,balanced_override_router,polarity_flip_output_ok_but_internal_bad,0
2,0.3,balanced_override_router,paraphrase_preserved,0.9
2,0.3,balanced_override_router,predicate_disentangled,0.9
2,0.3,balanced_override_router,polarity_flip_preserved_and_reversed,0.95
2,0.3,balanced_override_router,deletion_sufficiency_lower,1.0
2,0.3,balanced_override_router,truncation_sufficiency_lower,1.0
2,0.3,balanced_override_router,entity_frame_lower,1.0
2,0.3,balanced_override_router,event_frame_lower,0.95
2,0.3,strict_veto_balanced_router,final_accuracy,0.8884615384615384
2,0.3,strict_veto_balanced_router,final_macro_f1,0.8607687930053288
2,0.3,strict_veto_balanced_router,NOT_ENTITLED_f1,0.9234828496042217
2,0.3,strict_veto_balanced_router,REFUTE_f1,1.0
2,0.3,strict_veto_balanced_router,SUPPORT_f1,0.6588235294117647
2,0.3,strict_veto_balanced_router,entitled_output_count,81
2,0.3,strict_veto_balanced_router,entitled_output_gate_violation_rate,0.0
2,0.3,strict_veto_balanced_router,entitled_output_gate_violations,0
2,0.3,strict_veto_balanced_router,polarity_flip_output_ok,0.95
2,0.3,strict_veto_balanced_router,polarity_flip_internal_ok,0.95
2,0.3,strict_veto_balanced_router,polarity_flip_output_internal_gap,0.0
2,0.3,strict_veto_balanced_router,polarity_flip_output_ok_but_internal_bad,0
2,0.3,strict_veto_balanced_router,paraphrase_preserved,0.9
2,0.3,strict_veto_balanced_router,predicate_disentangled,0.95
2,0.3,strict_veto_balanced_router,polarity_flip_preserved_and_reversed,0.95
2,0.3,strict_veto_balanced_router,deletion_sufficiency_lower,1.0
2,0.3,strict_veto_balanced_router,truncation_sufficiency_lower,1.0
2,0.3,strict_veto_balanced_router,entity_frame_lower,1.0
2,0.3,strict_veto_balanced_router,event_frame_lower,1.0
2,0.3,majority_gate_verified_router,final_accuracy,0.8653846153846154
2,0.3,majority_gate_verified_router,final_macro_f1,0.8479358034401715
2,0.3,majority_gate_verified_router,NOT_ENTITLED_f1,0.9046321525885559
2,0.3,majority_gate_verified_router,REFUTE_f1,1.0
2,0.3,majority_gate_verified_router,SUPPORT_f1,0.6391752577319587
2,0.3,majority_gate_verified_router,entitled_output_count,93
2,0.3,majority_gate_verified_router,entitled_output_gate_violation_rate,0.0
2,0.3,majority_gate_verified_router,entitled_output_gate_violations,0
2,0.3,majority_gate_verified_router,polarity_flip_output_ok,1.0
2,0.3,majority_gate_verified_router,polarity_flip_internal_ok,1.0
2,0.3,majority_gate_verified_router,polarity_flip_output_internal_gap,0.0
2,0.3,majority_gate_verified_router,polarity_flip_output_ok_but_internal_bad,0
2,0.3,majority_gate_verified_router,paraphrase_preserved,0.95
2,0.3,majority_gate_verified_router,predicate_disentangled,0.95
2,0.3,majority_gate_verified_router,polarity_flip_preserved_and_reversed,1.0
2,0.3,majority_gate_verified_router,deletion_sufficiency_lower,1.0
2,0.3,majority_gate_verified_router,truncation_sufficiency_lower,1.0
2,0.3,majority_gate_verified_router,entity_frame_lower,0.95
2,0.3,majority_gate_verified_router,event_frame_lower,0.9
2,0.3,balanced_strict_agreement_router,final_accuracy,0.8769230769230769
2,0.3,balanced_strict_agreement_router,final_macro_f1,0.8553841358890447
2,0.3,balanced_strict_agreement_router,NOT_ENTITLED_f1,0.9139784946236559
2,0.3,balanced_strict_agreement_router,REFUTE_f1,1.0
2,0.3,balanced_strict_agreement_router,SUPPORT_f1,0.6521739130434783
2,0.3,balanced_strict_agreement_router,entitled_output_count,88
2,0.3,balanced_strict_agreement_router,entitled_output_gate_violation_rate,0.0
2,0.3,balanced_strict_agreement_router,entitled_output_gate_violations,0
2,0.3,balanced_strict_agreement_router,polarity_flip_output_ok,0.95
2,0.3,balanced_strict_agreement_router,polarity_flip_internal_ok,0.95
2,0.3,balanced_strict_agreement_router,polarity_flip_output_internal_gap,0.0
2,0.3,balanced_strict_agreement_router,polarity_flip_output_ok_but_internal_bad,0
2,0.3,balanced_strict_agreement_router,paraphrase_preserved,0.9
2,0.3,balanced_strict_agreement_router,predicate_disentangled,0.9
2,0.3,balanced_strict_agreement_router,polarity_flip_preserved_and_reversed,0.95
2,0.3,balanced_strict_agreement_router,deletion_sufficiency_lower,1.0
2,0.3,balanced_strict_agreement_router,truncation_sufficiency_lower,1.0
2,0.3,balanced_strict_agreement_router,entity_frame_lower,1.0
2,0.3,balanced_strict_agreement_router,event_frame_lower,0.95
2,0.3,cautious_promotion_router,final_accuracy,0.8769230769230769
2,0.3,cautious_promotion_router,final_macro_f1,0.8553841358890447
2,0.3,cautious_promotion_router,NOT_ENTITLED_f1,0.9139784946236559
2,0.3,cautious_promotion_router,REFUTE_f1,1.0
2,0.3,cautious_promotion_router,SUPPORT_f1,0.6521739130434783
2,0.3,cautious_promotion_router,entitled_output_count,88
2,0.3,cautious_promotion_router,entitled_output_gate_violation_rate,0.0
2,0.3,cautious_promotion_router,entitled_output_gate_violations,0
2,0.3,cautious_promotion_router,polarity_flip_output_ok,0.95
2,0.3,cautious_promotion_router,polarity_flip_internal_ok,0.95
2,0.3,cautious_promotion_router,polarity_flip_output_internal_gap,0.0
2,0.3,cautious_promotion_router,polarity_flip_output_ok_but_internal_bad,0
2,0.3,cautious_promotion_router,paraphrase_preserved,0.9
2,0.3,cautious_promotion_router,predicate_disentangled,0.9
2,0.3,cautious_promotion_router,polarity_flip_preserved_and_reversed,0.95
2,0.3,cautious_promotion_router,deletion_sufficiency_lower,1.0
2,0.3,cautious_promotion_router,truncation_sufficiency_lower,1.0
2,0.3,cautious_promotion_router,entity_frame_lower,1.0
2,0.3,cautious_promotion_router,event_frame_lower,0.95
2,0.4,conservative_balanced_router,final_accuracy,0.8961538461538462
2,0.4,conservative_balanced_router,final_macro_f1,0.8726790450928382
2,0.4,conservative_balanced_router,NOT_ENTITLED_f1,0.9283819628647215
2,0.4,conservative_balanced_router,REFUTE_f1,1.0
2,0.4,conservative_balanced_router,SUPPORT_f1,0.6896551724137931
2,0.4,conservative_balanced_router,entitled_output_count,83
2,0.4,conservative_balanced_router,entitled_output_gate_violation_rate,0.0
2,0.4,conservative_balanced_router,entitled_output_gate_violations,0
2,0.4,conservative_balanced_router,polarity_flip_output_ok,0.95
2,0.4,conservative_balanced_router,polarity_flip_internal_ok,0.95
2,0.4,conservative_balanced_router,polarity_flip_output_internal_gap,0.0
2,0.4,conservative_balanced_router,polarity_flip_output_ok_but_internal_bad,0
2,0.4,conservative_balanced_router,paraphrase_preserved,0.9
2,0.4,conservative_balanced_router,predicate_disentangled,0.95
2,0.4,conservative_balanced_router,polarity_flip_preserved_and_reversed,0.95
2,0.4,conservative_balanced_router,deletion_sufficiency_lower,1.0
2,0.4,conservative_balanced_router,truncation_sufficiency_lower,1.0
2,0.4,conservative_balanced_router,entity_frame_lower,1.0
2,0.4,conservative_balanced_router,event_frame_lower,1.0
2,0.4,self_routed_balanced,final_accuracy,0.8807692307692307
2,0.4,self_routed_balanced,final_macro_f1,0.8587435799232046
2,0.4,self_routed_balanced,NOT_ENTITLED_f1,0.9168900804289544
2,0.4,self_routed_balanced,REFUTE_f1,1.0
2,0.4,self_routed_balanced,SUPPORT_f1,0.6593406593406593
2,0.4,self_routed_balanced,entitled_output_count,87
2,0.4,self_routed_balanced,entitled_output_gate_violation_rate,0.0
2,0.4,self_routed_balanced,entitled_output_gate_violations,0
2,0.4,self_routed_balanced,polarity_flip_output_ok,0.95
2,0.4,self_routed_balanced,polarity_flip_internal_ok,0.95
2,0.4,self_routed_balanced,polarity_flip_output_internal_gap,0.0
2,0.4,self_routed_balanced,polarity_flip_output_ok_but_internal_bad,0
2,0.4,self_routed_balanced,paraphrase_preserved,0.9
2,0.4,self_routed_balanced,predicate_disentangled,0.9
2,0.4,self_routed_balanced,polarity_flip_preserved_and_reversed,0.95
2,0.4,self_routed_balanced,deletion_sufficiency_lower,1.0
2,0.4,self_routed_balanced,truncation_sufficiency_lower,1.0
2,0.4,self_routed_balanced,entity_frame_lower,1.0
2,0.4,self_routed_balanced,event_frame_lower,0.95
2,0.4,agreement_keep_router,final_accuracy,0.8961538461538462
2,0.4,agreement_keep_router,final_macro_f1,0.8726790450928382
2,0.4,agreement_keep_router,NOT_ENTITLED_f1,0.9283819628647215
2,0.4,agreement_keep_router,REFUTE_f1,1.0
2,0.4,agreement_keep_router,SUPPORT_f1,0.6896551724137931
2,0.4,agreement_keep_router,entitled_output_count,83
2,0.4,agreement_keep_router,entitled_output_gate_violation_rate,0.0
2,0.4,agreement_keep_router,entitled_output_gate_violations,0
2,0.4,agreement_keep_router,polarity_flip_output_ok,0.95
2,0.4,agreement_keep_router,polarity_flip_internal_ok,0.95
2,0.4,agreement_keep_router,polarity_flip_output_internal_gap,0.0
2,0.4,agreement_keep_router,polarity_flip_output_ok_but_internal_bad,0
2,0.4,agreement_keep_router,paraphrase_preserved,0.9
2,0.4,agreement_keep_router,predicate_disentangled,0.95
2,0.4,agreement_keep_router,polarity_flip_preserved_and_reversed,0.95
2,0.4,agreement_keep_router,deletion_sufficiency_lower,1.0
2,0.4,agreement_keep_router,truncation_sufficiency_lower,1.0
2,0.4,agreement_keep_router,entity_frame_lower,1.0
2,0.4,agreement_keep_router,event_frame_lower,1.0
2,0.4,balanced_override_router,final_accuracy,0.8807692307692307
2,0.4,balanced_override_router,final_macro_f1,0.8587435799232046
2,0.4,balanced_override_router,NOT_ENTITLED_f1,0.9168900804289544
2,0.4,balanced_override_router,REFUTE_f1,1.0
2,0.4,balanced_override_router,SUPPORT_f1,0.6593406593406593
2,0.4,balanced_override_router,entitled_output_count,87
2,0.4,balanced_override_router,entitled_output_gate_violation_rate,0.0
2,0.4,balanced_override_router,entitled_output_gate_violations,0
2,0.4,balanced_override_router,polarity_flip_output_ok,0.95
2,0.4,balanced_override_router,polarity_flip_internal_ok,0.95
2,0.4,balanced_override_router,polarity_flip_output_internal_gap,0.0
2,0.4,balanced_override_router,polarity_flip_output_ok_but_internal_bad,0
2,0.4,balanced_override_router,paraphrase_preserved,0.9
2,0.4,balanced_override_router,predicate_disentangled,0.9
2,0.4,balanced_override_router,polarity_flip_preserved_and_reversed,0.95
2,0.4,balanced_override_router,deletion_sufficiency_lower,1.0
2,0.4,balanced_override_router,truncation_sufficiency_lower,1.0
2,0.4,balanced_override_router,entity_frame_lower,1.0
2,0.4,balanced_override_router,event_frame_lower,0.95
2,0.4,strict_veto_balanced_router,final_accuracy,0.8846153846153846
2,0.4,strict_veto_balanced_router,final_macro_f1,0.8546365914786967
2,0.4,strict_veto_balanced_router,NOT_ENTITLED_f1,0.9210526315789473
2,0.4,strict_veto_balanced_router,REFUTE_f1,1.0
2,0.4,strict_veto_balanced_router,SUPPORT_f1,0.6428571428571429
2,0.4,strict_veto_balanced_router,entitled_output_count,80
2,0.4,strict_veto_balanced_router,entitled_output_gate_violation_rate,0.0
2,0.4,strict_veto_balanced_router,entitled_output_gate_violations,0
2,0.4,strict_veto_balanced_router,polarity_flip_output_ok,0.95
2,0.4,strict_veto_balanced_router,polarity_flip_internal_ok,0.95
2,0.4,strict_veto_balanced_router,polarity_flip_output_internal_gap,0.0
2,0.4,strict_veto_balanced_router,polarity_flip_output_ok_but_internal_bad,0
2,0.4,strict_veto_balanced_router,paraphrase_preserved,0.85
2,0.4,strict_veto_balanced_router,predicate_disentangled,0.95
2,0.4,strict_veto_balanced_router,polarity_flip_preserved_and_reversed,0.95
2,0.4,strict_veto_balanced_router,deletion_sufficiency_lower,1.0
2,0.4,strict_veto_balanced_router,truncation_sufficiency_lower,1.0
2,0.4,strict_veto_balanced_router,entity_frame_lower,1.0
2,0.4,strict_veto_balanced_router,event_frame_lower,1.0
2,0.4,majority_gate_verified_router,final_accuracy,0.8730769230769231
2,0.4,majority_gate_verified_router,final_macro_f1,0.8544002282128084
2,0.4,majority_gate_verified_router,NOT_ENTITLED_f1,0.9105691056910569
2,0.4,majority_gate_verified_router,REFUTE_f1,1.0
2,0.4,majority_gate_verified_router,SUPPORT_f1,0.6526315789473685
2,0.4,majority_gate_verified_router,entitled_output_count,91
2,0.4,majority_gate_verified_router,entitled_output_gate_violation_rate,0.0
2,0.4,majority_gate_verified_router,entitled_output_gate_violations,0
2,0.4,majority_gate_verified_router,polarity_flip_output_ok,1.0
2,0.4,majority_gate_verified_router,polarity_flip_internal_ok,1.0
