/usr/bin/python3 scripts/train_controlled_v6b_minimal.py --data data/controlled_v5_v3_without_time_swap.jsonl --backbone mamba --model-name state-spaces/mamba-130m-hf --device cuda --epochs 200 --dev-ratio 0.2 --seed 1 --max-length 128 --freeze-encoder true --head-lr 0.001 --encoder-lr 0.00002 --lr 0.001 --select-metric final_macro_f1 --class-weighting none --ranking-weight 1.0 --ranking-margin 0.2 --use-intervention-loss --stage44-use-prior-aware-ne-constraint --stage44-selection-report-json results/stage73_retry_stage57_stage66_bridge_vitaminc_external_diag_run_20260702_080534/stage73_retry_stage44_selection_report.json --stage45c-enable-support-recovery --stage45c-support-recovery-weight 0.1 --stage45c-entitled-ne-penalty-weight 0.1 --stage45c-report-json results/stage73_retry_stage57_stage66_bridge_vitaminc_external_diag_run_20260702_080534/stage73_retry_stage45c_recovery_report.json --stage45c-report-md results/stage73_retry_stage57_stage66_bridge_vitaminc_external_diag_run_20260702_080534/stage73_retry_stage45c_recovery_report.md --stage57-bridge-train-jsonl data/stage57_nonleaking_external_bridge.jsonl --stage57-bridge-train-mode append_train_only --stage66-bridge-train-jsonl data/stage66_residual_bridge.jsonl --stage66-bridge-train-mode append_train_only --output-json results/stage73_retry_stage57_stage66_bridge_vitaminc_external_diag_run_20260702_080534/stage73_retry_stage57_stage66_train_report.json --output-predictions-json results/stage73_retry_stage57_stage66_bridge_vitaminc_external_diag_run_20260702_080534/stage73_retry_stage57_stage66_predictions.json --use-stage47-selected-recovery-config --stage47-recovery-config-path results/stage47_selected_recovery_config_check.json --external-eval-jsonl data/stage43b1_vitaminc_validation_sample1000.jsonl --external-eval-name stage73_retry_vitaminc --external-output-dir results/stage73_retry_stage57_stage66_bridge_vitaminc_external_diag_run_20260702_080534/external_vitaminc

[stage48] Manual --stage45c-support-recovery-weight/--stage45c-entitled-ne-penalty-weight values (support_w=0.1, ne_w=0.1) were overridden by the Stage47 frozen recovery config.
[stage48] Loaded Stage47 selected recovery config 'recovery_w01_ne01' from results/stage47_selected_recovery_config_check.json: support_w=0.1, ne_w=0.1.
[stage60] appended Stage57 bridge train rows: 520 from data/stage57_nonleaking_external_bridge.jsonl
[stage60] bridge label counts: {'REFUTE': 160, 'NOT_ENTITLED': 200, 'SUPPORT': 160}
[stage60] bridge family counts: {'entity_attribute_bridge': 120, 'numeric_comparison_bridge': 120, 'temporal_comparison_bridge': 120, 'lexical_paraphrase_bridge': 120, 'distractor_evidence_bridge': 40}
[stage66] appended Stage66 bridge train rows: 720 from data/stage66_residual_bridge.jsonl
[stage66] bridge label counts: {'REFUTE': 320, 'NOT_ENTITLED': 40, 'SUPPORT': 360}
[stage66] bridge family counts: {'support_entitlement_recovery_bridge': 200, 'refute_entitlement_recovery_bridge': 160, 'polarity_disambiguation_bridge': 200, 'numeric_temporal_comparison_bridge': 120, 'strict_ne_frame_safety_bridge': 40}
Caching frozen Mamba token states for train/dev...
controlled v6b_minimal | backbone=mamba train=4120 dev=720 flag_source=controlled_heuristic freeze_encoder=True
run=single epoch=001 total=7.9198 label=0.9412 frame=0.7366 predicate=0.7520 sufficiency=0.5955 polarity=0.9755 intervention=3.7891 | train final=0.531 macroF1=0.356 frame=0.646 predicate=0.655 sufficiency=0.779 polarity=0.488 | dev final=0.631 macroF1=0.375 frame=0.500 predicate=0.583 sufficiency=0.765 polarity=0.500
run=single epoch=002 total=6.8711 label=1.0086 frame=0.8414 predicate=1.0123 sufficiency=0.4892 polarity=1.0079 intervention=2.4024 | train final=0.583 macroF1=0.245 frame=0.646 predicate=0.655 sufficiency=0.769 polarity=0.512 | dev final=0.750 macroF1=0.286 frame=0.500 predicate=0.583 sufficiency=0.750 polarity=0.500
run=single epoch=003 total=6.1618 label=0.9988 frame=0.9275 predicate=0.9653 sufficiency=0.4788 polarity=1.0405 intervention=1.6454 | train final=0.583 macroF1=0.245 frame=0.646 predicate=0.655 sufficiency=0.769 polarity=0.512 | dev final=0.750 macroF1=0.286 frame=0.500 predicate=0.583 sufficiency=0.750 polarity=0.500
run=single epoch=004 total=5.8301 label=0.9805 frame=0.7824 predicate=0.7915 sufficiency=0.4718 polarity=1.0522 intervention=1.6416 | train final=0.583 macroF1=0.245 frame=0.646 predicate=0.655 sufficiency=0.769 polarity=0.599 | dev final=0.750 macroF1=0.286 frame=0.500 predicate=0.583 sufficiency=0.750 polarity=0.722
run=single epoch=005 total=5.6792 label=0.9597 frame=0.6677 predicate=0.6856 sufficiency=0.4476 polarity=1.0563 intervention=1.7470 | train final=0.583 macroF1=0.245 frame=0.646 predicate=0.655 sufficiency=0.831 polarity=0.477 | dev final=0.750 macroF1=0.286 frame=0.500 predicate=0.583 sufficiency=0.836 polarity=0.500
run=single epoch=006 total=5.5972 label=0.9481 frame=0.6398 predicate=0.6528 sufficiency=0.4201 polarity=1.0558 intervention=1.7628 | train final=0.583 macroF1=0.245 frame=0.668 predicate=0.655 sufficiency=0.886 polarity=0.487 | dev final=0.750 macroF1=0.286 frame=0.539 predicate=0.583 sufficiency=0.917 polarity=0.500
run=single epoch=007 total=5.4840 label=0.9444 frame=0.6460 predicate=0.6479 sufficiency=0.3883 polarity=1.0540 intervention=1.6863 | train final=0.583 macroF1=0.245 frame=0.704 predicate=0.670 sufficiency=0.886 polarity=0.483 | dev final=0.750 macroF1=0.286 frame=0.582 predicate=0.606 sufficiency=0.917 polarity=0.500
run=single epoch=008 total=5.3768 label=0.9456 frame=0.6667 predicate=0.6592 sufficiency=0.3429 polarity=1.0513 intervention=1.5966 | train final=0.583 macroF1=0.245 frame=0.704 predicate=0.713 sufficiency=0.886 polarity=0.484 | dev final=0.750 macroF1=0.286 frame=0.583 predicate=0.667 sufficiency=0.917 polarity=0.567
run=single epoch=009 total=5.2520 label=0.9474 frame=0.6776 predicate=0.6773 sufficiency=0.3050 polarity=1.0476 intervention=1.4857 | train final=0.583 macroF1=0.245 frame=0.704 predicate=0.713 sufficiency=0.886 polarity=0.657 | dev final=0.750 macroF1=0.286 frame=0.583 predicate=0.667 sufficiency=0.917 polarity=0.889
run=single epoch=010 total=5.1940 label=0.9491 frame=0.6749 predicate=0.6929 sufficiency=0.2818 polarity=1.0424 intervention=1.4435 | train final=0.583 macroF1=0.245 frame=0.704 predicate=0.713 sufficiency=0.885 polarity=0.534 | dev final=0.750 macroF1=0.286 frame=0.583 predicate=0.667 sufficiency=0.917 polarity=0.539
