[stage48] Loaded Stage47 selected recovery config 'recovery_w01_ne01' from results/stage47_selected_recovery_config_check.json: support_w=0.1, ne_w=0.1.
[stage60] appended Stage57 bridge train rows: 520 from data/stage57_nonleaking_external_bridge.jsonl
[stage60] bridge label counts: {'REFUTE': 160, 'NOT_ENTITLED': 200, 'SUPPORT': 160}
[stage60] bridge family counts: {'entity_attribute_bridge': 120, 'numeric_comparison_bridge': 120, 'temporal_comparison_bridge': 120, 'lexical_paraphrase_bridge': 120, 'distractor_evidence_bridge': 40}
[stage66] appended Stage66 bridge train rows: 720 from data/stage66_residual_bridge.jsonl
[stage66] bridge label counts: {'REFUTE': 320, 'NOT_ENTITLED': 40, 'SUPPORT': 360}
[stage66] bridge family counts: {'support_entitlement_recovery_bridge': 200, 'refute_entitlement_recovery_bridge': 160, 'polarity_disambiguation_bridge': 200, 'numeric_temporal_comparison_bridge': 120, 'strict_ne_frame_safety_bridge': 40}
[stage80a] appended Stage80A bridge train rows: 500 from data/stage80a_conservative_stage75v2_bridge.jsonl
[stage80a] bridge label counts: {'REFUTE': 170, 'NOT_ENTITLED': 160, 'SUPPORT': 170}
[stage80a] bridge family counts: {'numeric_temporal_polarity_repair_v2_conservative': 180, 'lexical_type_polarity_repair_v2_conservative': 160, 'strict_ne_false_support_safety_v2': 160}
Caching frozen Mamba token states for train/dev...
controlled v6b_minimal | backbone=mamba train=4620 dev=720 flag_source=controlled_heuristic freeze_encoder=True
run=single epoch=001 total=8.2929 label=0.9681 frame=0.7520 predicate=0.7601 sufficiency=0.6002 polarity=0.9728 intervention=4.2396 | train final=0.507 macroF1=0.353 frame=0.684 predicate=0.679 sufficiency=0.812 polarity=0.490 | dev final=0.624 macroF1=0.384 frame=0.500 predicate=0.583 sufficiency=0.832 polarity=0.500
run=single epoch=002 total=6.9975 label=1.0154 frame=0.7669 predicate=0.9398 sufficiency=0.4873 polarity=1.0066 intervention=2.7816 | train final=0.554 macroF1=0.238 frame=0.684 predicate=0.679 sufficiency=0.760 polarity=0.510 | dev final=0.750 macroF1=0.286 frame=0.500 predicate=0.583 sufficiency=0.753 polarity=0.500
run=single epoch=003 total=6.2822 label=1.0086 frame=0.8450 predicate=0.9040 sufficiency=0.4814 polarity=1.0418 intervention=2.0014 | train final=0.554 macroF1=0.238 frame=0.684 predicate=0.679 sufficiency=0.762 polarity=0.510 | dev final=0.750 macroF1=0.286 frame=0.500 predicate=0.583 sufficiency=0.754 polarity=0.500
run=single epoch=004 total=5.9410 label=0.9927 frame=0.7404 predicate=0.7462 sufficiency=0.4680 polarity=1.0524 intervention=1.9413 | train final=0.554 macroF1=0.238 frame=0.684 predicate=0.679 sufficiency=0.812 polarity=0.603 | dev final=0.750 macroF1=0.286 frame=0.500 predicate=0.583 sufficiency=0.833 polarity=0.761
run=single epoch=005 total=5.7417 label=0.9739 frame=0.6512 predicate=0.6493 sufficiency=0.4335 polarity=1.0562 intervention=1.9776 | train final=0.554 macroF1=0.238 frame=0.684 predicate=0.679 sufficiency=0.866 polarity=0.482 | dev final=0.750 macroF1=0.286 frame=0.500 predicate=0.583 sufficiency=0.921 polarity=0.500
run=single epoch=006 total=5.6334 label=0.9623 frame=0.6131 predicate=0.6265 sufficiency=0.4045 polarity=1.0559 intervention=1.9711 | train final=0.554 macroF1=0.238 frame=0.684 predicate=0.679 sufficiency=0.894 polarity=0.487 | dev final=0.750 macroF1=0.286 frame=0.500 predicate=0.583 sufficiency=0.965 polarity=0.500
run=single epoch=007 total=5.4922 label=0.9588 frame=0.6055 predicate=0.6280 sufficiency=0.3683 polarity=1.0543 intervention=1.8773 | train final=0.554 macroF1=0.238 frame=0.728 predicate=0.728 sufficiency=0.896 polarity=0.484 | dev final=0.750 macroF1=0.286 frame=0.572 predicate=0.661 sufficiency=0.964 polarity=0.500
run=single epoch=008 total=5.3573 label=0.9598 frame=0.6159 predicate=0.6492 sufficiency=0.3230 polarity=1.0515 intervention=1.7580 | train final=0.554 macroF1=0.238 frame=0.736 predicate=0.731 sufficiency=0.897 polarity=0.485 | dev final=0.750 macroF1=0.286 frame=0.582 predicate=0.667 sufficiency=0.967 polarity=0.539
run=single epoch=009 total=5.2216 label=0.9614 frame=0.6279 predicate=0.6757 sufficiency=0.2963 polarity=1.0476 intervention=1.6127 | train final=0.554 macroF1=0.238 frame=0.736 predicate=0.729 sufficiency=0.903 polarity=0.627 | dev final=0.750 macroF1=0.286 frame=0.583 predicate=0.667 sufficiency=0.981 polarity=0.872
run=single epoch=010 total=5.1464 label=0.9613 frame=0.6348 predicate=0.6797 sufficiency=0.2787 polarity=1.0414 intervention=1.5505 | train final=0.554 macroF1=0.238 frame=0.736 predicate=0.729 sufficiency=0.915 polarity=0.596 | dev final=0.750 macroF1=0.286 frame=0.583 predicate=0.667 sufficiency=0.997 polarity=0.722
run=single epoch=011 total=5.0474 label=0.9581 frame=0.6247 predicate=0.6581 sufficiency=0.2630 polarity=1.0325 intervention=1.5110 | train final=0.554 macroF1=0.238 frame=0.736 predicate=0.727 sufficiency=0.914 polarity=0.582 | dev final=0.750 macroF1=0.286 frame=0.583 predicate=0.667 sufficiency=1.000 polarity=0.678
run=single epoch=012 total=4.9691 label=0.9526 frame=0.5985 predicate=0.6329 sufficiency=0.2480 polarity=1.0208 intervention=1.5164 | train final=0.565 macroF1=0.276 frame=0.736 predicate=0.728 sufficiency=0.915 polarity=0.654 | dev final=0.750 macroF1=0.286 frame=0.583 predicate=0.667 sufficiency=1.000 polarity=0.906
run=single epoch=013 total=4.8412 label=0.9461 frame=0.5629 predicate=0.6159 sufficiency=0.2374 polarity=1.0063 intervention=1.4727 | train final=0.591 macroF1=0.342 frame=0.736 predicate=0.731 sufficiency=0.916 polarity=0.643 | dev final=0.751 macroF1=0.293 frame=0.583 predicate=0.667 sufficiency=1.000 polarity=0.906
run=single epoch=014 total=4.7421 label=0.9403 frame=0.5360 predicate=0.6036 sufficiency=0.2279 polarity=0.9881 intervention=1.4462 | train final=0.643 macroF1=0.526 frame=0.736 predicate=0.732 sufficiency=0.919 polarity=0.661 | dev final=0.792 macroF1=0.621 frame=0.583 predicate=0.667 sufficiency=1.000 polarity=0.933
run=single epoch=015 total=4.5897 label=0.9360 frame=0.5251 predicate=0.5839 sufficiency=0.2171 polarity=0.9570 intervention=1.3707 | train final=0.547 macroF1=0.540 frame=0.736 predicate=0.732 sufficiency=0.926 polarity=0.649 | dev final=0.586 macroF1=0.596 frame=0.583 predicate=0.667 sufficiency=1.000 polarity=0.928
run=single epoch=016 total=4.4096 label=0.9354 frame=0.5396 predicate=0.5570 sufficiency=0.2027 polarity=0.9157 intervention=1.2592 | train final=0.516 macroF1=0.523 frame=0.736 predicate=0.735 sufficiency=0.927 polarity=0.649 | dev final=0.558 macroF1=0.622 frame=0.583 predicate=0.668 sufficiency=1.000 polarity=0.900
run=single epoch=017 total=4.5898 label=0.9458 frame=0.5457 predicate=0.5306 sufficiency=0.1943 polarity=0.8362 intervention=1.5372 | train final=0.528 macroF1=0.533 frame=0.736 predicate=0.736 sufficiency=0.933 polarity=0.653 | dev final=0.571 macroF1=0.611 frame=0.583 predicate=0.669 sufficiency=1.000 polarity=0.950
run=single epoch=018 total=4.1329 label=0.9465 frame=0.5646 predicate=0.5256 sufficiency=0.1893 polarity=0.8095 intervention=1.0975 | train final=0.531 macroF1=0.544 frame=0.736 predicate=0.733 sufficiency=0.938 polarity=0.670 | dev final=0.579 macroF1=0.646 frame=0.583 predicate=0.667 sufficiency=1.000 polarity=0.983
run=single epoch=019 total=3.9807 label=0.9514 frame=0.5492 predicate=0.5253 sufficiency=0.1765 polarity=0.7792 intervention=0.9990 | train final=0.508 macroF1=0.499 frame=0.736 predicate=0.732 sufficiency=0.935 polarity=0.621 | dev final=0.544 macroF1=0.526 frame=0.583 predicate=0.667 sufficiency=1.000 polarity=0.844
run=single epoch=020 total=4.2698 label=0.9524 frame=0.5413 predicate=0.5348 sufficiency=0.1845 polarity=0.8008 intervention=1.2560 | train final=0.516 macroF1=0.522 frame=0.736 predicate=0.732 sufficiency=0.931 polarity=0.650 | dev final=0.572 macroF1=0.617 frame=0.583 predicate=0.667 sufficiency=1.000 polarity=0.956
run=single epoch=021 total=3.8530 label=0.9479 frame=0.5193 predicate=0.5302 sufficiency=0.1913 polarity=0.7762 intervention=0.8880 | train final=0.524 macroF1=0.531 frame=0.736 predicate=0.733 sufficiency=0.931 polarity=0.671 | dev final=0.569 macroF1=0.641 frame=0.583 predicate=0.668 sufficiency=1.000 polarity=0.944
run=single epoch=022 total=4.9199 label=0.9495 frame=0.4919 predicate=0.5079 sufficiency=0.1923 polarity=0.7651 intervention=2.0131 | train final=0.524 macroF1=0.527 frame=0.736 predicate=0.734 sufficiency=0.934 polarity=0.666 | dev final=0.565 macroF1=0.634 frame=0.583 predicate=0.671 sufficiency=1.000 polarity=0.928
run=single epoch=023 total=5.0149 label=0.9359 frame=0.4767 predicate=0.4936 sufficiency=0.1869 polarity=0.7642 intervention=2.1576 | train final=0.535 macroF1=0.548 frame=0.736 predicate=0.736 sufficiency=0.936 polarity=0.677 | dev final=0.583 macroF1=0.661 frame=0.583 predicate=0.672 sufficiency=1.000 polarity=0.994
run=single epoch=024 total=3.7426 label=0.9169 frame=0.4713 predicate=0.4916 sufficiency=0.1803 polarity=0.7517 intervention=0.9308 | train final=0.530 macroF1=0.509 frame=0.736 predicate=0.737 sufficiency=0.942 polarity=0.609 | dev final=0.556 macroF1=0.517 frame=0.583 predicate=0.674 sufficiency=1.000 polarity=0.800
run=single epoch=025 total=4.5147 label=0.9126 frame=0.4741 predicate=0.4963 sufficiency=0.1722 polarity=0.7938 intervention=1.6658 | train final=0.531 macroF1=0.484 frame=0.736 predicate=0.740 sufficiency=0.949 polarity=0.568 | dev final=0.539 macroF1=0.458 frame=0.583 predicate=0.674 sufficiency=1.000 polarity=0.667
run=single epoch=026 total=4.9929 label=0.9107 frame=0.4748 predicate=0.4920 sufficiency=0.1629 polarity=0.8172 intervention=2.1354 | train final=0.553 macroF1=0.531 frame=0.736 predicate=0.745 sufficiency=0.954 polarity=0.610 | dev final=0.589 macroF1=0.555 frame=0.583 predicate=0.678 sufficiency=1.000 polarity=0.850
run=single epoch=027 total=4.3042 label=0.8975 frame=0.4782 predicate=0.4805 sufficiency=0.1541 polarity=0.7918 intervention=1.5021 | train final=0.567 macroF1=0.571 frame=0.736 predicate=0.751 sufficiency=0.957 polarity=0.677 | dev final=0.597 macroF1=0.661 frame=0.583 predicate=0.688 sufficiency=1.000 polarity=0.983
run=single epoch=028 total=3.5118 label=0.8865 frame=0.4806 predicate=0.4626 sufficiency=0.1562 polarity=0.7567 intervention=0.7692 | train final=0.553 macroF1=0.549 frame=0.736 predicate=0.746 sufficiency=0.957 polarity=0.677 | dev final=0.581 macroF1=0.655 frame=0.583 predicate=0.682 sufficiency=1.000 polarity=0.972
run=single epoch=029 total=4.1304 label=0.8952 frame=0.4820 predicate=0.4665 sufficiency=0.1632 polarity=0.7614 intervention=1.3620 | train final=0.546 macroF1=0.534 frame=0.736 predicate=0.740 sufficiency=0.958 polarity=0.661 | dev final=0.560 macroF1=0.621 frame=0.583 predicate=0.674 sufficiency=1.000 polarity=0.894
run=single epoch=030 total=4.6416 label=0.9044 frame=0.4826 predicate=0.4803 sufficiency=0.1657 polarity=0.7805 intervention=1.8280 | train final=0.554 macroF1=0.548 frame=0.736 predicate=0.736 sufficiency=0.959 polarity=0.675 | dev final=0.572 macroF1=0.646 frame=0.583 predicate=0.671 sufficiency=1.000 polarity=0.956
run=single epoch=031 total=4.2146 label=0.9067 frame=0.4833 predicate=0.5002 sufficiency=0.1637 polarity=0.7707 intervention=1.3900 | train final=0.562 macroF1=0.562 frame=0.736 predicate=0.736 sufficiency=0.958 polarity=0.690 | dev final=0.581 macroF1=0.659 frame=0.583 predicate=0.669 sufficiency=1.000 polarity=0.989
run=single epoch=032 total=3.7152 label=0.8998 frame=0.4845 predicate=0.5199 sufficiency=0.1569 polarity=0.7479 intervention=0.9061 | train final=0.564 macroF1=0.570 frame=0.736 predicate=0.739 sufficiency=0.961 polarity=0.689 | dev final=0.586 macroF1=0.663 frame=0.583 predicate=0.672 sufficiency=1.000 polarity=0.994
run=single epoch=033 total=3.4462 label=0.8886 frame=0.4891 predicate=0.5094 sufficiency=0.1496 polarity=0.7377 intervention=0.6719 | train final=0.576 macroF1=0.580 frame=0.736 predicate=0.752 sufficiency=0.966 polarity=0.687 | dev final=0.596 macroF1=0.660 frame=0.583 predicate=0.685 sufficiency=1.000 polarity=0.983
run=single epoch=034 total=3.5022 label=0.8731 frame=0.4908 predicate=0.4649 sufficiency=0.1411 polarity=0.7461 intervention=0.7861 | train final=0.579 macroF1=0.582 frame=0.736 predicate=0.751 sufficiency=0.966 polarity=0.679 | dev final=0.600 macroF1=0.655 frame=0.583 predicate=0.682 sufficiency=1.000 polarity=0.978
run=single epoch=035 total=3.5537 label=0.8683 frame=0.4720 predicate=0.4671 sufficiency=0.1366 polarity=0.7502 intervention=0.8596 | train final=0.576 macroF1=0.580 frame=0.736 predicate=0.745 sufficiency=0.960 polarity=0.680 | dev final=0.596 macroF1=0.653 frame=0.583 predicate=0.674 sufficiency=1.000 polarity=0.978
run=single epoch=036 total=3.4904 label=0.8707 frame=0.4450 predicate=0.4916 sufficiency=0.1406 polarity=0.7462 intervention=0.7963 | train final=0.579 macroF1=0.586 frame=0.736 predicate=0.747 sufficiency=0.962 polarity=0.690 | dev final=0.597 macroF1=0.665 frame=0.583 predicate=0.672 sufficiency=1.000 polarity=0.989
run=single epoch=037 total=3.3457 label=0.8663 frame=0.4276 predicate=0.4960 sufficiency=0.1385 polarity=0.7318 intervention=0.6855 | train final=0.586 macroF1=0.586 frame=0.736 predicate=0.764 sufficiency=0.970 polarity=0.691 | dev final=0.603 macroF1=0.673 frame=0.583 predicate=0.686 sufficiency=1.000 polarity=0.994
run=single epoch=038 total=3.2196 label=0.8536 frame=0.4361 predicate=0.4561 sufficiency=0.1237 polarity=0.7125 intervention=0.6376 | train final=0.593 macroF1=0.587 frame=0.736 predicate=0.787 sufficiency=0.971 polarity=0.697 | dev final=0.614 macroF1=0.682 frame=0.583 predicate=0.710 sufficiency=1.000 polarity=1.000
run=single epoch=039 total=3.2334 label=0.8492 frame=0.4831 predicate=0.4241 sufficiency=0.1237 polarity=0.6966 intervention=0.6567 | train final=0.591 macroF1=0.586 frame=0.736 predicate=0.787 sufficiency=0.967 polarity=0.703 | dev final=0.607 macroF1=0.678 frame=0.583 predicate=0.707 sufficiency=1.000 polarity=1.000
run=single epoch=040 total=3.2109 label=0.8550 frame=0.5301 predicate=0.4259 sufficiency=0.1299 polarity=0.6821 intervention=0.5879 | train final=0.602 macroF1=0.599 frame=0.736 predicate=0.790 sufficiency=0.976 polarity=0.708 | dev final=0.601 macroF1=0.675 frame=0.583 predicate=0.708 sufficiency=1.000 polarity=1.000
run=single epoch=041 total=3.1142 label=0.8437 frame=0.5436 predicate=0.4221 sufficiency=0.1169 polarity=0.6697 intervention=0.5182 | train final=0.628 macroF1=0.627 frame=0.736 predicate=0.809 sufficiency=0.980 polarity=0.718 | dev final=0.631 macroF1=0.692 frame=0.583 predicate=0.725 sufficiency=1.000 polarity=1.000
run=single epoch=042 total=3.0736 label=0.8145 frame=0.5198 predicate=0.3847 sufficiency=0.1083 polarity=0.6649 intervention=0.5814 | train final=0.627 macroF1=0.631 frame=0.736 predicate=0.797 sufficiency=0.974 polarity=0.730 | dev final=0.636 macroF1=0.696 frame=0.583 predicate=0.715 sufficiency=1.000 polarity=1.000
run=single epoch=043 total=3.0252 label=0.8107 frame=0.4791 predicate=0.3974 sufficiency=0.1063 polarity=0.6577 intervention=0.5740 | train final=0.637 macroF1=0.635 frame=0.736 predicate=0.805 sufficiency=0.977 polarity=0.727 | dev final=0.650 macroF1=0.704 frame=0.583 predicate=0.721 sufficiency=1.000 polarity=1.000
run=single epoch=044 total=2.9532 label=0.7980 frame=0.4396 predicate=0.3892 sufficiency=0.0974 polarity=0.6457 intervention=0.5833 | train final=0.684 macroF1=0.672 frame=0.736 predicate=0.841 sufficiency=0.986 polarity=0.734 | dev final=0.685 macroF1=0.725 frame=0.585 predicate=0.778 sufficiency=1.000 polarity=1.000
run=single epoch=045 total=2.8989 label=0.7663 frame=0.4178 predicate=0.3412 sufficiency=0.0877 polarity=0.6310 intervention=0.6549 | train final=0.666 macroF1=0.662 frame=0.738 predicate=0.833 sufficiency=0.981 polarity=0.744 | dev final=0.664 macroF1=0.713 frame=0.588 predicate=0.756 sufficiency=1.000 polarity=1.000
run=single epoch=046 total=2.8531 label=0.7763 frame=0.4141 predicate=0.3613 sufficiency=0.0960 polarity=0.6230 intervention=0.5824 | train final=0.674 macroF1=0.669 frame=0.736 predicate=0.848 sufficiency=0.983 polarity=0.747 | dev final=0.674 macroF1=0.719 frame=0.583 predicate=0.778 sufficiency=1.000 polarity=1.000
run=single epoch=047 total=2.8018 label=0.7665 frame=0.4317 predicate=0.3314 sufficiency=0.0924 polarity=0.6124 intervention=0.5673 | train final=0.669 macroF1=0.668 frame=0.736 predicate=0.843 sufficiency=0.988 polarity=0.749 | dev final=0.667 macroF1=0.714 frame=0.583 predicate=0.775 sufficiency=1.000 polarity=1.000
run=single epoch=048 total=2.7180 label=0.7677 frame=0.4581 predicate=0.3329 sufficiency=0.0721 polarity=0.6052 intervention=0.4820 | train final=0.683 macroF1=0.679 frame=0.736 predicate=0.856 sufficiency=0.990 polarity=0.751 | dev final=0.676 macroF1=0.720 frame=0.583 predicate=0.786 sufficiency=1.000 polarity=1.000
run=single epoch=049 total=2.6657 label=0.7508 frame=0.4649 predicate=0.3067 sufficiency=0.0691 polarity=0.6018 intervention=0.4725 | train final=0.679 macroF1=0.678 frame=0.736 predicate=0.849 sufficiency=0.991 polarity=0.758 | dev final=0.669 macroF1=0.716 frame=0.583 predicate=0.774 sufficiency=1.000 polarity=1.000
run=single epoch=050 total=2.7030 label=0.7533 frame=0.4451 predicate=0.3278 sufficiency=0.0647 polarity=0.5995 intervention=0.5125 | train final=0.722 macroF1=0.708 frame=0.746 predicate=0.875 sufficiency=0.993 polarity=0.761 | dev final=0.724 macroF1=0.750 frame=0.592 predicate=0.817 sufficiency=1.000 polarity=1.000
run=single epoch=051 total=2.5957 label=0.7169 frame=0.4171 predicate=0.2737 sufficiency=0.0616 polarity=0.5919 intervention=0.5344 | train final=0.731 macroF1=0.717 frame=0.761 predicate=0.887 sufficiency=0.992 polarity=0.767 | dev final=0.733 macroF1=0.756 frame=0.615 predicate=0.833 sufficiency=0.999 polarity=1.000
run=single epoch=052 total=2.5031 label=0.7108 frame=0.4118 predicate=0.2553 sufficiency=0.0608 polarity=0.5854 intervention=0.4789 | train final=0.702 macroF1=0.696 frame=0.768 predicate=0.867 sufficiency=0.993 polarity=0.767 | dev final=0.694 macroF1=0.731 frame=0.618 predicate=0.786 sufficiency=0.999 polarity=1.000
run=single epoch=053 total=2.5569 label=0.7299 frame=0.4216 predicate=0.2822 sufficiency=0.0553 polarity=0.5662 intervention=0.5018 | train final=0.732 macroF1=0.715 frame=0.773 predicate=0.897 sufficiency=0.992 polarity=0.766 | dev final=0.735 macroF1=0.757 frame=0.632 predicate=0.844 sufficiency=0.999 polarity=1.000
run=single epoch=054 total=2.4680 label=0.7072 frame=0.4123 predicate=0.2342 sufficiency=0.0547 polarity=0.5648 intervention=0.4948 | train final=0.777 macroF1=0.744 frame=0.779 predicate=0.932 sufficiency=0.991 polarity=0.764 | dev final=0.799 macroF1=0.800 frame=0.647 predicate=0.899 sufficiency=0.999 polarity=1.000
run=single epoch=055 total=2.5209 label=0.6712 frame=0.3766 predicate=0.1982 sufficiency=0.0550 polarity=0.5635 intervention=0.6565 | train final=0.752 macroF1=0.724 frame=0.787 predicate=0.904 sufficiency=0.995 polarity=0.767 | dev final=0.764 macroF1=0.776 frame=0.661 predicate=0.863 sufficiency=1.000 polarity=1.000
run=single epoch=056 total=2.2952 label=0.6807 frame=0.3615 predicate=0.2148 sufficiency=0.0475 polarity=0.5575 intervention=0.4331 | train final=0.760 macroF1=0.737 frame=0.792 predicate=0.911 sufficiency=0.997 polarity=0.771 | dev final=0.765 macroF1=0.777 frame=0.665 predicate=0.869 sufficiency=1.000 polarity=1.000
run=single epoch=057 total=2.2619 label=0.6694 frame=0.3540 predicate=0.2053 sufficiency=0.0459 polarity=0.5418 intervention=0.4455 | train final=0.808 macroF1=0.775 frame=0.801 predicate=0.947 sufficiency=0.994 polarity=0.777 | dev final=0.838 macroF1=0.828 frame=0.678 predicate=0.915 sufficiency=0.999 polarity=1.000
run=single epoch=058 total=2.4923 label=0.6317 frame=0.3387 predicate=0.1776 sufficiency=0.0508 polarity=0.5347 intervention=0.7588 | train final=0.791 macroF1=0.758 frame=0.797 predicate=0.946 sufficiency=0.995 polarity=0.766 | dev final=0.817 macroF1=0.813 frame=0.672 predicate=0.913 sufficiency=1.000 polarity=1.000
run=single epoch=059 total=2.3025 label=0.6429 frame=0.3568 predicate=0.1691 sufficiency=0.0450 polarity=0.5413 intervention=0.5475 | train final=0.729 macroF1=0.715 frame=0.784 predicate=0.898 sufficiency=0.997 polarity=0.769 | dev final=0.732 macroF1=0.755 frame=0.653 predicate=0.829 sufficiency=1.000 polarity=1.000
run=single epoch=060 total=2.4160 label=0.7021 frame=0.4166 predicate=0.2225 sufficiency=0.0372 polarity=0.5342 intervention=0.5033 | train final=0.720 macroF1=0.709 frame=0.788 predicate=0.886 sufficiency=0.996 polarity=0.769 | dev final=0.717 macroF1=0.745 frame=0.657 predicate=0.810 sufficiency=1.000 polarity=1.000
run=single epoch=061 total=2.3782 label=0.7097 frame=0.4076 predicate=0.2400 sufficiency=0.0377 polarity=0.5266 intervention=0.4566 | train final=0.767 macroF1=0.743 frame=0.809 predicate=0.926 sufficiency=0.997 polarity=0.771 | dev final=0.772 macroF1=0.781 frame=0.689 predicate=0.865 sufficiency=1.000 polarity=1.000
run=single epoch=062 total=2.1412 label=0.6620 frame=0.3354 predicate=0.1840 sufficiency=0.0355 polarity=0.5295 intervention=0.3947 | train final=0.825 macroF1=0.791 frame=0.855 predicate=0.951 sufficiency=0.997 polarity=0.787 | dev final=0.857 macroF1=0.844 frame=0.758 predicate=0.929 sufficiency=1.000 polarity=1.000
run=single epoch=063 total=2.4377 label=0.6100 frame=0.2756 predicate=0.1666 sufficiency=0.0368 polarity=0.5101 intervention=0.8386 | train final=0.822 macroF1=0.777 frame=0.875 predicate=0.953 sufficiency=0.997 polarity=0.776 | dev final=0.865 macroF1=0.850 frame=0.788 predicate=0.928 sufficiency=1.000 polarity=1.000
run=single epoch=064 total=2.3566 label=0.6147 frame=0.2638 predicate=0.1609 sufficiency=0.0399 polarity=0.5317 intervention=0.7456 | train final=0.787 macroF1=0.741 frame=0.842 predicate=0.936 sufficiency=0.998 polarity=0.758 | dev final=0.812 macroF1=0.801 frame=0.742 predicate=0.882 sufficiency=1.000 polarity=0.989
run=single epoch=065 total=2.1739 label=0.6573 frame=0.2864 predicate=0.1633 sufficiency=0.0340 polarity=0.5718 intervention=0.4611 | train final=0.778 macroF1=0.738 frame=0.860 predicate=0.913 sufficiency=0.998 polarity=0.765 | dev final=0.800 macroF1=0.798 frame=0.774 predicate=0.857 sufficiency=1.000 polarity=1.000
run=single epoch=066 total=2.1231 label=0.6534 frame=0.2681 predicate=0.1958 sufficiency=0.0335 polarity=0.5419 intervention=0.4305 | train final=0.817 macroF1=0.783 frame=0.911 predicate=0.929 sufficiency=0.998 polarity=0.785 | dev final=0.842 macroF1=0.831 frame=0.838 predicate=0.865 sufficiency=1.000 polarity=1.000
run=single epoch=067 total=2.0441 label=0.6126 frame=0.2315 predicate=0.1717 sufficiency=0.0353 polarity=0.5011 intervention=0.4920 | train final=0.817 macroF1=0.788 frame=0.890 predicate=0.948 sufficiency=0.996 polarity=0.791 | dev final=0.840 macroF1=0.830 frame=0.810 predicate=0.907 sufficiency=1.000 polarity=1.000
run=single epoch=068 total=1.9838 label=0.6082 frame=0.2449 predicate=0.1469 sufficiency=0.0402 polarity=0.4929 intervention=0.4507 | train final=0.802 macroF1=0.776 frame=0.827 predicate=0.953 sufficiency=0.996 polarity=0.791 | dev final=0.819 macroF1=0.815 frame=0.725 predicate=0.915 sufficiency=0.997 polarity=1.000
