threshold,system,intervention_type,metric,mean,std,n,formatted
0.3,conservative_balanced_router,entity_swap,accuracy_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,classifier_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,classifier_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,classifier_accuracy,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,classifier_entitled_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,classifier_macro_f1,0.3333333333333333,0.0,3,0.333 +/- 0.000
0.3,conservative_balanced_router,entity_swap,downgrade_rate_among_classifier_entitled,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,downgraded_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,false_refute_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,false_refute_removed_rate_among_classifier_false_refute,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,false_support_removed_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,false_support_removed_rate_among_classifier_false_support,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,gold_NOT_ENTITLED_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,gold_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,gold_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,macro_f1_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,n_examples,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,pairwise_applicable_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,pre_router_candidate_gate_fail_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,pre_router_candidate_gate_fail_rate,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,raw_classifier_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,raw_classifier_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,refute_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,refute_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,refute_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,refute_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,refute_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,refute_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,routed_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,routed_SUPPORT_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,routed_accuracy,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,routed_entitled_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,routed_macro_f1,0.3333333333333333,0.0,3,0.333 +/- 0.000
0.3,conservative_balanced_router,entity_swap,router_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,router_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,self_routed_balanced_pairwise_success_count,58.666666666666664,2.309401076758503,3,58.667 +/- 2.309
0.3,conservative_balanced_router,entity_swap,self_routed_balanced_pairwise_success_rate,0.9777777777777779,0.03849001794597504,3,0.978 +/- 0.038
0.3,conservative_balanced_router,entity_swap,self_routed_classifier_pairwise_success_count,60.0,0.0,3,60.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,self_routed_classifier_pairwise_success_rate,1.0,0.0,3,1.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,support_precision_gain,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,support_precision_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,support_precision_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,support_recall_drop,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,support_recall_post_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,entity_swap,support_recall_pre_router,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,accuracy_delta,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,classifier_REFUTE_count,0.0,0.0,3,0.000 +/- 0.000
0.3,conservative_balanced_router,event_swap,classifier_SUPPORT_count,1.3333333333333333,1.1547005383792515,3,1.333 +/- 1.155
0.3,conservative_balanced_router,event_swap,classifier_accuracy,0.9777777777777779,0.01924500897298752,3,0.978 +/- 0.019
0.3,conservative_balanced_router,event_swap,classifier_entitled_count,1.3333333333333333,1.1547005383792515,3,1.333 +/- 1.155
0.3,conservative_balanced_router,event_swap,classifier_macro_f1,0.32956685499058386,0.0032618659276249743,3,0.330 +/- 0.003
